,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q3 2024,167193,53230,5.64,-,1723357,742850,980507,98.79,4086518,21.73,5.74,3.76,7.68%,20.98%,4.60%,-,700,2024-09-30 00:00:00,444.6,0700
Q2 2024,161117,47630,4.99,-,1654970,727373,927597,92.93,3429217,20.90,5.06,3.44,8.15%,19.06%,4.79%,-,700,2024-06-30 00:00:00,372.4,0700
Q1 2024,159501,41889,4.39,-,1646677,729908,916769,90.74,2829001,19.88,4.22,2.85,7.34%,13.07%,5.03%,-,700,2024-03-31 00:00:00,301.198,0700
Q4 2023,155196,27025,2.79,3.086,1577246,703565,873681,86.26,2745989,21.63,4.09,2.85,7.20%,17.60%,4.62%,1.17%,700,2023-12-31 00:00:00,291.086,0700
Q3 2023,154625,36182,3.75,-,1541233,710288,830945,81.31,2880533,13.80,4.48,3.23,5.94%,12.85%,7.25%,-,700,2023-09-30 00:00:00,303.578,0700
Q2 2023,149208,26171,2.69,-,1537503,696687,840816,82.32,3146008,14.69,4.98,3.46,6.15%,13.00%,6.81%,-,700,2023-06-30 00:00:00,328.76,0700
Q1 2023,149986,25838,2.64,-,1517206,675833,841373,82.09,3630534,16.66,5.58,3.78,5.34%,53.41%,6.00%,-,700,2023-03-31 00:00:00,379.794,0700
Q4 2022,144954,106268,10.95,2.123,1578131,795271,782860,76.07,3142538,14.77,5.01,3.55,5.04%,19.15%,6.77%,0.77%,700,2022-12-31 00:00:00,312.288,0700
Q3 2022,140093,39943,4.10,-,1478143,659737,818406,79.23,2510159,12.86,4.11,2.78,4.07%,9.33%,7.78%,-,700,2022-09-30 00:00:00,249.082,0700
Q2 2022,134034,18619,1.92,-,1459669,655788,803881,77.21,3385065,16.37,5.20,3.59,3.84%,11.03%,6.11%,-,700,2022-06-30 00:00:00,331.362,0700
Q1 2022,135471,23413,2.40,-,1494158,648881,845277,81.55,3569602,14.41,5.16,3.42,3.63%,42.35%,6.94%,-,700,2022-03-31 00:00:00,348.15,0700
Q4 2021,144188,94958,9.79,1.303,1612364,735671,876693,84.53,4357876,15.79,6.34,4.05,5.04%,17.25%,6.33%,0.39%,700,2021-12-31 00:00:00,412.506,0700
Q3 2021,142368,39510,4.07,-,1567584,636208,931376,89.82,4394595,19.23,6.62,3.91,5.64%,19.42%,5.20%,-,700,2021-09-30 00:00:00,416.66,0700
Q2 2021,138259,42587,4.39,-,1517772,590801,926971,88.84,5556400,24.55,8.67,4.98,6.59%,24.15%,4.07%,-,700,2021-06-30 00:00:00,527.372,0700
Q1 2021,135303,47767,4.92,-,1423133,577987,845146,80.07,5809651,27.40,9.61,5.79,6.05%,33.34%,3.65%,-,700,2021-03-31 00:00:00,549.226,0700
Q4 2020,133669,59302,6.11,1.347,1333425,555382,778043,74.01,5371043,28.29,9.38,5.81,6.67%,24.84%,3.53%,0.31%,700,2020-12-31 00:00:00,509.609,0700
Q3 2020,125447,38542,3.96,-,1190029,543532,646497,60.77,4866337,34.91,9.39,6.60,7.76%,23.19%,2.86%,-,700,2020-09-30 00:00:00,460.539,0700
Q2 2020,114883,33107,3.44,-,1159544,553271,606273,56.45,4725331,41.43,10.11,7.10,7.56%,23.47%,2.41%,-,700,2020-06-30 00:00:00,448.925,0700
Q1 2020,108065,28896,3.00,-,1014945,501402,513543,48.31,3610398,34.72,8.25,6.42,6.72%,19.24%,2.88%,-,700,2020-03-31 00:00:00,341.286,0700
Q4 2019,,,,,,,,,,,,,,,,,700,2019-12-31 00:00:00,337.157,0700
Q3 2024,260348,14555,5.65,-,1820966,678536,1142430,404.24,1540034,13.98,1.51,1.22,4.68%,9.22%,7.17%,-,9988,2024-09-30 00:00:00,110.0,9988
Q2 2024,224790,27847,10.77,-,1811590,641544,1170046,407.91,1727609,12.16,1.76,1.38,6.31%,11.63%,8.24%,-,9988,2024-06-30 00:00:00,70.5,9988
Q1 2024,234156,34242,13.30,-,1776804,629763,1147041,397.45,1675863,18.44,1.73,1.35,2.72%,7.88%,5.44%,-,9988,2024-03-31 00:00:00,70.174,9988
Q4 2023,208200,23644,9.00,6.869,1753044,630123,1122921,385.72,2058013,24.84,2.07,1.60,5.82%,16.69%,4.04%,8.10%,9988,2023-12-31 00:00:00,75.518,9988
Q3 2023,247756,46913,17.91,-,1772124,662341,1109783,377.18,1818497,49.11,1.86,1.45,3.67%,-8.25%,2.05%,-,9988,2023-09-30 00:00:00,85.358,9988
Q2 2023,207176,-20433,-7.77,-,1712544,630072,1082472,361.12,1662434,-,1.75,1.39,3.66%,7.45%,0.92%,-,9988,2023-06-30 00:00:00,80.971,9988
Q1 2023,205555,22659,8.48,-,1708368,612038,1096330,363.49,2397505,51.74,2.40,1.87,2.67%,-6.67%,1.95%,-,9988,2023-03-31 00:00:00,100.117,9988
Q4 2022,204052,-16116,-6.07,-,1695553,613360,1082193,355.28,2290068,-,2.17,1.71,4.62%,6.90%,3.36%,-,9988,2022-12-31 00:00:00,86.007,9988
Q3 2022,242580,27809,10.19,-,1760567,640413,1120154,362.53,2511099,28.13,2.45,1.83,2.18%,1.21%,3.57%,-,9988,2022-09-30 00:00:00,77.73,9988
Q2 2022,200690,5488,1.97,-,1725674,617357,1108317,357.23,3124544,20.78,3.17,2.33,4.53%,15.56%,4.82%,-,9988,2022-06-30 00:00:00,111.584,9988
Q1 2022,205740,45068,16.39,-,1715212,596595,1118617,358.74,4774621,26.85,5.16,3.55,1.84%,-2.84%,3.73%,-,9988,2022-03-31 00:00:00,111.784,9988
Q4 2021,187395,-5366,-2.02,-,1690218,606584,1083634,345.63,4779144,-,5.62,3.72,7.98%,30.47%,3.74%,-,9988,2021-12-31 00:00:00,118.564,9988
Q3 2021,221084,79535,28.85,-,1635266,561355,1073911,346.37,4892024,25.92,6.39,3.84,2.43%,11.20%,3.86%,-,9988,2021-09-30 00:00:00,141.799,9988
Q2 2021,155059,28876,10.47,-,1433626,460436,973190,317.53,6164413,40.97,9.24,5.55,6.47%,20.63%,2.44%,-,9988,2021-06-30 00:00:00,219.379,9988
