,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q3 2024,3031250,255545,1278.00,-,9876929,6310985,3565944,15398.21,11060000,10.41,0.87,3.10,-,64.92%,9.60%,-,KSV,2024-09-30 00:00:00,55.3,KSV
Q2 2024,3432454,493517,2468.00,-,10482585,7182994,3299591,13940.73,7080000,8.36,0.54,2.15,-,39.90%,11.96%,-,KSV,2024-06-30 00:00:00,35.04,KSV
Q1 2024,3291680,283130,1415.50,-,-,-,2907929,-,5620000,17.10,0.44,1.93,5.00%,5.63%,5.85%,-,KSV,2024-03-31 00:00:00,27.81,KSV
Q4 2023,3018731,30033,-,500.000,9332343,6424413,2907929,-,6000000,49.98,0.50,2.06,3.10%,5.00%,2.00%,1.68%,KSV,2023-12-31 00:00:00,29.69,KSV
Q3 2023,3343532,39914,1303.00,-,10684736,7812336,2872400,77281.25,7900000,-61.59,0.64,2.75,1.64%,-3.05%,-1.62%,-,KSV,2023-09-30 00:00:00,37.86,KSV
Q2 2023,3246351,-24402,-122.00,-,11330212,8497793,2832418,11636.18,5140000,-,0.42,1.81,4.33%,11.65%,-5.27%,-,KSV,2023-06-30 00:00:00,24.63,KSV
Q1 2023,2303346,74507,372.00,-,11453932,8258951,3194981,13192.54,5400000,-50.68,0.46,1.69,-,-,-1.97%,-,KSV,2023-03-31 00:00:00,25.88,KSV
Q4 2022,3459451,-218278,-1091.00,1200.000,10447702,7482665,2965037,12201.46,-,-,-,-,-,-,-,-,KSV,2022-12-31 00:00:00,28.75,KSV
Q3 2022,3157279,-102751,-514.00,-,-,-,-,-,-,-,-,-,-,-,-,-,KSV,2022-09-30 00:00:00,33.54,KSV
Q2 2022,2846300,139964,700.00,-,11063214,7897014,3166200,13182.27,-,-,-,-,-,-,-,-,KSV,2022-06-30 00:00:00,39.25,KSV
Q1 2022,2788051,160648,803.00,-,-,-,-,-,-,-,-,-,8.47%,32.42%,-,-,KSV,2022-03-31 00:00:00,47.98,KSV
Q4 2021,3255230,206756,1034.00,-,11230997,8046676,3184321,13510.85,-,-,-,-,-,-,-,-,KSV,2021-12-31 00:00:00,45.41,KSV
Q3 2021,1803651,152706,764.00,-,10138422,7202626,2935796,12377.78,-,-,-,-,-,-,-,-,KSV,2021-09-30 00:00:00,44.03,KSV
Q2 2021,2271077,229446,1147.00,-,-,-,-,-,-,-,-,-,-,39.14%,-,-,KSV,2021-06-30 00:00:00,29.46,KSV
Q1 2021,1875807,170481,852.50,-,-,-,2461213,10802.72,-,-,-,-,-,-,-,-,KSV,2021-03-31 00:00:00,16.26,KSV
Q4 2020,2180329,80031,400.00,-,8571269,6110057,2461213,10802.72,-,-,-,-,-,-,-,-,KSV,2020-12-31 00:00:00,12.02,KSV
Q3 2020,1923137,38706,194.00,-,-,-,-,-,-,-,-,-,5.53%,11.58%,-,-,KSV,2020-09-30 00:00:00,8.58,KSV
Q2 2020,,,,,,,,,,,,,,,,,KSV,2020-06-30 00:00:00,9.31,KSV
Q1 2020,,,,,,,,,,,,,,,,,KSV,2020-03-31 00:00:00,9.31,KSV
Q4 2019,,,,,,,,,,,,,,,,,KSV,2019-12-31 00:00:00,9.31,KSV
Q3 2024,2275727,511014,1549.00,-,18134916,11444210,6690707,15965.54,19007996,8.68,2.08,2.84,10.31%,36.98%,11.52%,-,IDC,2024-09-30 00:00:00,57.6,IDC
Q2 2024,2149652,432485,1311.00,2000.000,17544497,11406445,6138053,14417.01,19700996,10.71,2.37,3.21,14.32%,50.23%,9.34%,9.21%,IDC,2024-06-30 00:00:00,59.7,IDC
Q1 2024,2467137,695138,2106.48,-,17386392,10894297,6492095,15675.27,19469996,10.06,2.27,3.00,10.30%,42.23%,9.97%,-,IDC,2024-03-31 00:00:00,56.69,IDC
Q4 2023,2240030,551296,1671.07,1500.000,17720446,11515531,6204915,15068.79,17192996,12.49,2.38,2.77,4.65%,13.17%,8.11%,7.20%,IDC,2023-12-31 00:00:00,48.63,IDC
Q3 2023,1443473,160943,471.00,2000.000,16898218,11287373,5610845,13398.19,15278997,31.73,2.88,2.72,11.62%,42.47%,3.31%,9.26%,IDC,2023-09-30 00:00:00,43.21,IDC
