Quarter,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q3 2024,16510377,8566598,1533,-,1932361908,1742064907,190297001,34028.11,514196396,16.05,7.92,2.7,1.77%,18.29%,6.73%,-,VCB,9/30/2024 0:00,61.54,VCB
Q2 2024,15238068,8119414,1453,-,1905638845,1723936056,181702789,32491.34,476190576,15.49,7.59,2.62,1.90%,20.28%,7.00%,-,VCB,6/30/2024 0:00,56.99,VCB
Q1 2024,15772188,8579996,1535.13,-,1773713584,1600099458,173614126,31045.04,530404761,17.65,8.5,3.06,2.10%,23.09%,6.15%,-,VCB,3/31/2024 0:00,63.48,VCB
Q4 2023,17421105,9355026,1213.07,-,1839613198,1674600532,165012666,29507.24,448804028,14.74,7.11,2.72,1.69%,18.70%,7.36%,-,VCB,12/31/2023 0:00,53.71,VCB
Q3 2023,14283670,7268919,1301,-,1731305572,1572062054,159243518,28473.12,489045485,16.16,7.81,3.07,1.67%,20.03%,6.87%,-,VCB,9/30/2023 0:00,58.53,VCB
Q2 2023,14933787,7422823,1328,-,1704273133,1552272005,152001128,27178.39,473251657,16.28,7.6,3.11,1.97%,25.66%,6.85%,-,VCB,6/30/2023 0:00,56.64,VCB
Q1 2023,16495598,8986435,1607.85,-,1846431290,1701772932,144658358,25865.45,432552015,15.68,7.14,2.99,2.30%,30.12%,7.15%,-,VCB,3/31/2023 0:00,51.77,VCB
Q4 2022,16941066,9935006,1179.24,-,1813815170,1678169085,135646085,24253.93,378601326,14.26,6.46,2.79,1.49%,19.32%,7.90%,-,VCB,12/31/2022 0:00,45.31,VCB
Q3 2022,13936227,6064870,1085,-,1649664327,1521274777,128389550,22953.12,346420213,14.31,6.54,2.7,1.55%,19.80%,7.65%,-,VCB,9/30/2022 0:00,41.46,VCB
Q2 2022,13238889,5936954,1062.66,-,1601680964,1478691267,122989697,21987.78,353992239,15.57,7.11,2.88,2.21%,28.17%,7.07%,-,VCB,6/30/2022 0:00,42.36,VCB
Q1 2022,14459422,7962184,1424.59,-,1462748158,1345670470,117077688,20930.96,388539610,18.72,8.41,3.32,1.87%,23.94%,5.93%,-,VCB,3/31/2022 0:00,46.5,VCB
Q4 2021,11322689,6539788,758.55,-,1414986259,1305799830,109186429,19519.96,372923177,18.93,8.26,3.42,1.37%,17.16%,5.90%,-,VCB,12/31/2021 0:00,44.63,VCB
Q3 2021,10740248,4594130,822.18,-,1385235404,1275708552,109526852,19578.78,360502888,19.27,8.13,3.29,1.23%,15.40%,5.86%,-,VCB,9/30/2021 0:00,42.62,VCB
Q2 2021,9678144,3960105,708.54,-,1303633378,1198698174,104935204,18758.02,431713335,23.85,10,4.11,2.12%,28.32%,4.75%,-,VCB,6/30/2021 0:00,51.04,VCB
Q1 2021,13410687,6902578,1235.01,-,1278965858,1177958179,101007679,18056.12,351601582,18.75,8.3,3.48,1.81%,24.21%,6.02%,-,VCB,3/31/2021 0:00,41.57,VCB
Q4 2020,10515538,5672154,581.24,796.307,1326230092,1232135113,94094979,16820.19,363099102,22.65,9.29,3.86,1.35%,17.45%,5.08%,1.24%,VCB,12/31/2020 0:00,42.93,VCB
