,STT,Comp_code,Time,Total Assets,Total Debt,EPS,BVPS,ROA,ROE,DY,Price,DIV,Market Cap,DAR,SIZE
0,0,600000,9/30/2024,9416535.0,8685534.0,0.23,24.62,0.0042,0.0514,0.0,9.869999886,0.0,297338,0.92237049,12.60262482
1,1,600000,6/30/2024,9253778.0,8500022.0,0.36,21.65,0.0078,0.0952,0.0,7.937761784,0.0,241568,0.918546133,12.39490629
2,2,600000,3/31/2024,9053468.0,8302126.0,0.57,25.31,0.004,0.0485,0.0,6.876821995,0.0,209281,0.917010586,12.25143313
3,3,600000,12/31/2023,9007247.0,8274363.0,0.15,20.94,0.0022,0.0276,0.0503,6.384931087,0.321,194311,0.918633962,12.17721525
4,4,600000,9/30/2023,8808320.0,8084504.0,0.12,24.38,0.0034,0.0414,0.0,6.847887039,0.0,208400,0.917825874,12.24721459
5,5,600000,6/30/2023,8932519.0,8211439.0,0.3,20.55,0.0074,0.0904,0.0,6.626391411,0.0,212510,0.919274731,12.26674433
6,6,600000,3/31/2023,8862440.0,8140690.0,0.51,24.32,0.0051,0.0618,0.0,6.635621071,0.0,211042,0.918560803,12.25981244
7,7,600000,12/31/2022,8704651.0,7997876.0,0.22,20.03,0.005,0.0604,0.0476,6.718681812,0.32,213684,0.918804901,12.27225357
8,8,600000,9/30/2022,8425347.0,7724521.0,0.3,19.83,0.0052,0.0633,0.0,6.451041222,0.0,206639,0.916819331,12.23872859
9,9,600000,6/30/2022,8505959.0,7812093.0,0.38,19.6,0.0095,0.1141,0.0,7.038295269,0.0,235111,0.918425894,12.36781302
10,10,600000,3/31/2022,8423074.0,7727317.0,0.64,19.67,0.0057,0.069,0.0,6.924633026,0.0,234817,0.917398684,12.36656177
11,11,600000,12/31/2021,8136757.0,7458539.0,0.25,19.08,0.0059,0.0717,0.055,7.466713428,0.41,250374,0.916647628,12.43071108
12,12,600000,9/30/2021,8064383.0,7393760.0,0.35,18.83,0.0056,0.0686,0.0,7.886388779,0.0,264169,0.916841375,12.48434433
13,13,600000,6/30/2021,8123120.0,7462659.0,0.39,18.49,0.0094,0.1152,0.0,8.306482315,0.0,293521,0.918693679,12.58970447
14,14,600000,3/31/2021,8066995.0,7403530.0,0.61,18.59,0.0071,0.0901,0.0,9.163764954,0.0,322580,0.91775562,12.68410645
15,15,600000,12/31/2020,7950218.0,7304401.0,0.42,18.0,0.0084,0.1106,0.0596,7.906972885,0.48,284129,0.918767385,12.55718364
16,16,600000,9/30/2020,7674479.0,7094122.0,0.49,17.48,0.0063,0.0812,0.0,7.848711491,0.0,275617,0.924378319,12.5267675
