Comp_data,Year,Quarter,EPS,BVPS,ROA,ROE,P/E Ratio,DAR,MB,DY,DIV,Market Cap,Total Assets,Stock Price,Time,SIZE
CEO,2024,1,70.24066374,11622.11319,0.018367947,0.030306512,47.9902444,0.307068073,1.514354552,0.056818182,1.239204545,9060000000000.0,9060000000000.0,21.81,2024-03-31,29.834890235983437
CEO,2024,2,81.38064204,11129.40501,0.017694232,0.027467542,48.60679716,0.30333051,1.356766151,0.066225166,1.040397352,8160000000000.0,9020000000000.0,15.71,2024-06-30,29.830465450003082
CEO,2024,3,81.81205384,11205.60633,0.018732765,0.028453807,41.15184847,0.293005196,1.160133563,0.076923077,1.23076923,7030000000000.0,8950000000000.0,16.0,2024-09-30,29.822674648215312
CEO,2023,1,111.7435439,12793.82203,0.037485859,0.085764854,19.49713726,0.432562153,1.610152146,0.0,0.0,5300000000000.0,6590000000000.0,15.45,2023-03-31,29.516574464442964
CEO,2023,2,78.86798114,11474.77155,0.04020624,0.088144185,22.91164498,0.454600928,1.795242712,0.048543689,0.822815534,10600000000000.0,6920000000000.0,16.95,2023-06-30,29.565436885558125
CEO,2023,3,72.5280635,11492.49506,0.039208251,0.074705447,22.99111135,0.334170365,1.914292752,0.045454546,0.922272728,11300000000000.0,9540000000000.0,20.29,2023-09-30,29.886514601388743
CEO,2023,4,90.10349067,11557.06681,0.018290646,0.032722519,55.71624429,0.338221658,1.946860772,0.044444444,0.960888888,11600000000000.0,9420000000000.0,21.62,2023-12-31,29.87385620451682
CEO,2022,1,136.5936533,11792.37572,0.02082501,0.043166072,50.46865623,0.49715412,2.44225597,0.0,0.0,7410000000000.0,7080000000000.0,46.93,2022-03-31,29.588295023634178
CEO,2022,2,104.1057127,11845.97492,0.034833019,0.072139645,16.09458172,0.533045633,1.316903008,0.0,0.0,4010000000000.0,7510000000000.0,18.73,2022-06-30,29.647256581704593
CEO,2022,3,108.2404598,11950.71172,0.042270362,0.088049495,16.27431406,0.547591679,1.648437386,0.0,0.0,5070000000000.0,7850000000000.0,15.45,2022-09-30,29.691534647722865
CEO,2022,4,732.4756517,12693.32317,0.03953175,0.076902703,21.31373691,0.473245264,1.819854398,0.0,0.0,5940000000000.0,7060000000000.0,12.68,2022-12-31,29.585466167433697
CEO,2021,1,-72.08349278,11235.5087,-0.012459425,-0.026809756,-21.73568047,0.525523395,0.703127932,0.0,0.0,2030000000000.0,7200000000000.0,8.76,2021-03-31,29.605102141950557
CEO,2021,2,-294.5133689,10937.74621,-0.014467063,-0.030890265,-26.26111091,0.535684611,0.987406345,0.0,0.0,2780000000000.0,7080000000000.0,7.05,2021-06-30,29.588295023634178
CEO,2021,3,-132.9857308,10801.80224,-0.02172345,-0.046615126,-94.99934861,0.539526712,5.332443486,0.0,0.0,14800000000000.0,7010000000000.0,7.33,2021-09-30,29.578358816975047
CEO,2021,4,861.5566615,11660.1976,0.012858688,0.026649816,113.8203079,0.497978661,3.533387804,0.0,0.0,10600000000000.0,7040000000000.0,50.49,2021-12-31,29.5826292860985
CEO,2020,1,30.37880131,11601.17963,0.046086524,0.112657115,4.207200118,0.541757634,0.58614729,0.0,0.0,1750000000000.0,7960000000000.0,4.27,2020-03-31,29.70545011578484
CEO,2020,2,-246.7165505,11354.61598,0.011872012,0.026635535,18.91960096,0.549083414,0.616489365,0.0,0.0,1800000000000.0,7840000000000.0,5.2,2020-06-30,29.690259950290866
CEO,2020,3,62.07971746,11416.6957,0.009188853,0.020034421,31.76514037,0.530135922,0.779560061,0.0,0.0,2290000000000.0,7540000000000.0,5.2,2020-09-30,29.65124329794841
CEO,2020,4,-106.7373544,11309.95835,-0.00868004,-0.018860884,-38.6980021,0.535329409,0.89301832,0.0,0.0,2600000000000.0,7440000000000.0,8.9,2020-12-31,29.637891964773548
HUT,2024,1,29.15932964,9552.490513,0.002896169,0.008910259,180.7784229,0.570317272,1.852919925,0.0,0.0,15800000000000.0,26400000000000.0,19.4,2024-03-31,30.90438512608082
HUT,2024,2,4.649306405,9589.313792,0.002143142,0.006677025,232.1094728,0.573186766,1.710237078,0.0,0.0,14600000000000.0,27300000000000.0,17.0,2024-06-30,30.937907818119463
HUT,2024,3,19.97864461,9813.228474,0.002468893,0.007828001,210.2254148,0.565598339,1.610071552,0.0,0.0,14100000000000.0,28100000000000.0,16.5,2024-09-30,30.966790692268248
HUT,2023,1,2.662371604,11154.89066,0.004413893,0.013002942,137.03241,0.666020241,1.792935549,0.0,0.0,6970000000000.0,11600000000000.0,15.8,2023-03-31,30.082026214040866
HUT,2023,2,14.25210211,4371.704999,0.004337919,0.012915547,192.0261006,0.66695259,5.375477075,0.0,0.0,21000000000000.0,11700000000000.0,19.3,2023-06-30,30.09060995773226
HUT,2023,3,8.281773129,9426.086883,0.003197735,0.009550887,165.6637443,0.552717714,2.142988947,0.0,0.0,18000000000000.0,25100000000000.0,24.5,2023-09-30,30.853888962066286
HUT,2023,4,21.37014034,9523.402891,0.00245931,0.00761964,211.2883817,0.581691248,1.974084286,0.0,0.0,16800000000000.0,26900000000000.0,20.2,2023-12-31,30.92314740253634
HUT,2022,1,255.4933009,11362.53502,0.015438844,0.047627016,49.3734537,0.63676068,2.385031154,0.0,0.0,9450000000000.0,10900000000000.0,38.7,2022-03-31,30.019783905163646
HUT,2022,2,37.78404339,11289.95378,0.020626026,0.060970199,26.99106875,0.652358996,1.691769547,0.0,0.0,6660000000000.0,11300000000000.0,25.0,2022-06-30,30.055823841646845
HUT,2022,3,28.28607399,11315.8324,0.026422809,0.075491716,16.59807918,0.661117374,1.299064839,0.0,0.0,5120000000000.0,11600000000000.0,22.0,2022-09-30,30.082026214040866
HUT,2022,4,77.21838494,11152.72182,0.012880142,0.037642299,38.34426724,0.667491155,1.425660951,0.0,0.0,5540000000000.0,11600000000000.0,14.1,2022-12-31,30.082026214040866
HUT,2021,1,-85.84777767,10985.71416,-0.025268041,-0.087381497,-6.750507974,0.709211678,0.609882972,0.0,0.0,1800000000000.0,10100000000000.0,6.6,2021-03-31,29.943556539775763
HUT,2021,2,-176.6562695,10808.95655,-0.029305007,-0.101283694,-9.187325828,0.710014553,0.952913443,0.0,0.0,2770000000000.0,9960000000000.0,7.9,2021-06-30,29.929598187525055
HUT,2021,3,-182.9318572,10440.59656,-0.028585615,-0.098716705,-18.4945959,0.714045657,1.838975378,0.0,0.0,6690000000000.0,9840000000000.0,10.4,2021-09-30,29.91747682699271
HUT,2021,4,522.871227,11010.63925,0.00587243,0.018197558,136.789803,0.648870512,2.815458694,0.0,0.0,10800000000000.0,10800000000000.0,20.8,2021-12-31,30.010567250058724
HUT,2020,1,31.63789557,11985.89427,0.006585646,0.022661499,7.803305456,0.708690618,0.175205951,0.0,0.0,564000000000.0,11000000000000.0,1.4,2020-03-31,30.02891638872692
HUT,2020,2,-48.06448099,11942.12502,0.005163578,0.01778051,11.32434147,0.710715328,0.200969258,0.0,0.0,645000000000.0,11100000000000.0,2.6,2020-06-30,30.037966224246837
HUT,2020,3,-292.8972847,11617.257,-0.00500013,-0.017273985,-22.95835367,0.714588309,0.404570546,0.0,0.0,1260000000000.0,10900000000000.0,2.7,2020-09-30,30.019783905163646
HUT,2020,4,-565.7083569,11070.97602,-0.022200265,-0.076124056,-6.971171817,0.708536249,0.550990264,0.0,0.0,1640000000000.0,10200000000000.0,4.2,2020-12-31,29.953408836218774
IDC,2024,1,2106.480741,15675.26578,0.112591174,0.398272193,10.40861074,0.626599066,3.90424002,0.065359477,3.705228757,20200000000000.0,17400000000000.0,56.69,2024-03-31,30.487491322149033
IDC,2024,2,1310.560416,14417.00962,0.105759205,0.380706298,10.03001493,0.650143714,3.877364409,0.071556351,4.271914131,18400000000000.0,17500000000000.0,59.7,2024-06-30,30.493221996858015
IDC,2024,3,1548.52674,15965.53636,0.123690419,0.434136122,8.33573108,0.631059412,3.463710754,0.072332731,4.166365283,18200000000000.0,18100000000000.0,57.6,2024-09-30,30.526933054200327
IDC,2023,1,447.8369316,15435.94199,0.132239666,0.42085944,6.56203195,0.639847481,2.837533338,0.091324201,3.100456621,14500000000000.0,17400000000000.0,33.95,2023-03-31,30.487491322149033
IDC,2023,2,1617.03577,14912.37973,0.077859154,0.255927403,12.84902359,0.633331876,3.419977289,0.078431373,2.974117645,16800000000000.0,16900000000000.0,37.92,2023-06-30,30.458334737857577
