Comp_code,Time,Total Assets,Total Debt,EPS,BVPS,ROA,ROE,DY,Stock Price,DIV,Market Cap,DAR,SIZE
600000,9/30/2024,9416535.0,8685534.0,0.23,24.62,0.00,0.05,0.00,9.87,0.00,297338.0,0.9223704897820695,16.057977744489975
600000,6/30/2024,9253778.0,8500022.0,0.36,21.65,0.01,0.10,0.00,7.94,0.00,241568.0,0.9185461332657862,16.040542458535217
600000,3/31/2024,9053468.0,8302126.0,0.57,25.31,0.00,0.05,0.00,6.88,0.00,209281.0,0.9170105864404668,16.018658446691937
600000,12/31/2023,9007247.0,8274363.0,0.15,20.94,0.00,0.03,0.05,6.38,0.32,194311.0,0.9186339621862263,16.01354003350523
600000,9/30/2023,8808320.0,8084504.0,0.12,24.38,0.00,0.04,0.00,6.85,0.00,208400.0,0.9178258737193926,15.99120728733325
600000,6/30/2023,8932519.0,8211439.0,0.30,20.55,0.01,0.09,0.00,6.63,0.00,212510.0,0.9192747309017758,16.00520899594153
600000,3/31/2023,8862440.0,8140690.0,0.51,24.32,0.01,0.06,0.00,6.64,0.00,211042.0,0.9185608026683396,15.997332679700872
600000,12/31/2022,8704651.0,7997876.0,0.22,20.03,0.01,0.06,0.05,6.72,0.32,213684.0,0.9188049009661616,15.97936803847952
600000,9/30/2022,8425347.0,7724521.0,0.30,19.83,0.01,0.06,0.00,6.45,0.00,206639.0,0.9168193310020347,15.946755220298162
600000,6/30/2022,8505959.0,7812093.0,0.38,19.60,0.01,0.11,0.00,7.04,0.00,235111.0,0.9184258941290453,15.95627753465713
600000,3/31/2022,8423074.0,7727317.0,0.64,19.67,0.01,0.07,0.00,6.92,0.00,234817.0,0.9173986836634701,15.94648540272727
600000,12/31/2021,8136757.0,7458539.0,0.25,19.08,0.01,0.07,0.06,7.47,0.41,250374.0,0.9166476275498949,15.91190225564678
600000,9/30/2021,8064383.0,7393760.0,0.35,18.83,0.01,0.07,0.00,7.89,0.00,264169.0,0.916841375217422,15.902967763205115
600000,6/30/2021,8123120.0,7462659.0,0.39,18.49,0.01,0.12,0.00,8.31,0.00,293521.0,0.9186936792759433,15.91022487479114
600000,3/31/2021,8066995.0,7403530.0,0.61,18.59,0.01,0.09,0.00,9.16,0.00,322580.0,0.9177556202774391,15.903291604109821
600000,12/31/2020,7950218.0,7304401.0,0.42,18.00,0.01,0.11,0.06,7.91,0.48,284129.0,0.918767384743412,15.888709907638203
