,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,835,749,869,945,796,1100,999,1607,1694,2505,2259,Upgrade
1,Market Cap Growth,-8.85%,-20.69%,9.09%,-14.14%,-20.29%,-31.53%,-41.03%,-35.84%,-25.00%,1.76%,-21.21%,Upgrade
2,Enterprise Value,862,695,874,1358,1228,1508,1450,1975,1998,2661,2637,Upgrade
3,Last Close Price,0.77,0.69,0.79,0.86,1.07,1.48,1.35,2.16,2.28,3.37,3.04,Upgrade
4,PE Ratio,29.06,21.59,60.50,-12.06,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,0.51,0.46,0.55,0.65,0.55,0.74,0.68,1.12,1.42,2.28,1.84,Upgrade
6,PB Ratio,0.46,0.40,0.45,0.50,0.50,0.67,0.58,0.92,0.94,1.44,1.25,Upgrade
7,P/TBV Ratio,0.44,0.41,0.46,0.51,0.51,0.67,0.59,0.95,0.97,1.47,1.27,Upgrade
8,P/FCF Ratio,-,-,5.42,15.06,-,-,15.38,-,-14.58,-,28.00,Upgrade
9,P/OCF Ratio,-,-,2.44,4.80,11.31,-,4.55,12.07,-107.50,-,12.81,Upgrade
10,EV/Sales Ratio,0.53,0.43,0.56,0.93,0.85,1.01,0.99,1.38,1.67,2.42,2.15,Upgrade
11,EV/EBITDA Ratio,4.62,3.98,6.13,17.22,17.68,12.14,16.71,20.85,23.09,41.16,25.41,Upgrade
12,EV/EBIT Ratio,8.83,7.97,15.22,433.16,-,80.94,-124.00,-,-90.95,-,-,Upgrade
13,EV/FCF Ratio,-,-,5.45,21.66,-,-,22.32,-,-17.19,-,32.69,Upgrade
14,Debt / Equity Ratio,0.44,0.45,0.42,0.43,0.62,0.58,0.57,0.56,0.54,0.47,0.44,Upgrade
15,Debt / FCF Ratio,-,-,4.98,12.74,-,-,14.96,-,-8.38,-,9.90,Upgrade
16,Return on Capital Employed (ROCE),3.63%,3.51%,2.32%,0.14%,-,0.91%,-0.54%,-,-0.96%,-,-,Upgrade
17,Earnings Yield,3.44%,4.63%,1.65%,-8.29%,-15.52%,-9.75%,-13.74%,-7.21%,-6.61%,-3.22%,0.06%,Upgrade
18,FCF Yield,-1.60%,18.45%,6.64%,-8.48%,2.80%,6.50%,0.44%,-6.86%,-4.34%,3.57%,Upgrade,
19,Buyback Yield / Dilution,-17.53%,-43.09%,-50.37%,-4.83%,-,-,0.00%,-,-,-,-,Upgrade
20,Total Shareholder Return,-14.93%,-43.09%,-50.37%,-4.83%,-,-,0.00%,-,-,-,-,Upgrade
