,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Revenue,116.27,66.67,72.54,70.78,70.76,67.69,70.65,74.75,53.33,33.15,Upgrade
1,Revenue Growth (YoY),60.30%,-5.81%,2.52%,4.56%,0.14%,-9.45%,32.49%,125.47%,-19.27%,-45.91%,Upgrade
2,Cost of Revenue,70.79,49.54,54.38,54.09,51.82,68.78,49.26,65.65,52.7,49.34,Upgrade
3,Gross Profit,45.48,17.12,18.15,16.69,18.94,-1.09,21.4,9.11,0.62,-16.19,Upgrade
4,"Selling, General & Admin",31.37,34.76,26.42,36.82,26.46,33.34,30.41,24.26,22.15,25.88,Upgrade
5,Other Operating Expenses,-0.13,-0.47,-0.27,-1.05,-1.99,-1.7,-4.4,-1.64,-3.5,-6.3,Upgrade
6,Operating Expenses,31.24,34.58,26.14,35.7,24.81,29.26,26.3,24.87,21.08,21,Upgrade
7,Operating Income,14.24,-17.46,-7.99,-19.01,-5.87,-30.35,-4.91,-15.77,-20.46,-37.18,Upgrade
8,Interest Expense,-0.01,-0.02,-0.01,-0.01,-0.01,-0.03,-0.04,-0.05,-0.07,-0.09,Upgrade
9,Interest & Investment Income,1.13,1.43,1.45,1.8,1.99,2.16,2.12,2.14,2.2,2.2,Upgrade
10,Currency Exchange Gain (Loss),0.1,-1.06,0.88,-3.53,0.81,-1.6,0.84,0.51,4.8,-1.37,Upgrade
11,EBT Excluding Unusual Items,15.46,-17.11,-5.68,-20.75,-3.09,-29.82,-1.98,-13.17,-13.53,-36.44,Upgrade
12,Gain (Loss) on Sale of Assets,0.35,-0.05,0,-,-,-0.01,-0.02,0.08,-0.07,-0.26,Upgrade
13,Asset Writedown,-,-10.42,-,2.04,-,-3.79,-,-0.66,-,-40.16,Upgrade
14,Other Unusual Items,-,-,-,0.04,-,0.28,-,0.22,-,-,Upgrade
15,Pretax Income,15.81,-27.59,-5.68,-18.67,-3.09,-33.35,-2,-13.54,-13.6,-76.86,Upgrade
16,Income Tax Expense,-,-0.53,-,0.94,-,0.54,-,-1.24,-,-8.59,Upgrade
17,Net Income,15.81,-27.06,-5.68,-19.61,-3.09,-33.89,-2,-12.3,-13.6,-68.28,Upgrade
18,Net Income to Common,15.81,-27.06,-5.68,-19.61,-3.09,-33.89,-2,-12.3,-13.6,-68.28,Upgrade
19,Shares Outstanding (Basic),1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,Upgrade
20,Shares Outstanding (Diluted),1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,Upgrade
21,EPS (Basic),0.02,-0.03,-0.01,-0.02,-0.00,-0.03,-0.00,-0.01,-0.01,-0.07,Upgrade
22,EPS (Diluted),0.02,-0.03,-0.01,-0.02,-0.00,-0.03,-0.00,-0.01,-0.01,-0.07,Upgrade
23,Free Cash Flow,23.3,2.03,-9.32,-0.75,1.99,7.52,2.6,-18.5,-28.69,24.08,Upgrade
24,Free Cash Flow Per Share,0.02,0.00,-0.01,-0.00,0.00,0.01,0.00,-0.02,-0.03,0.02,Upgrade
25,Operating Margin,12.25%,-26.19%,-11.02%,-26.85%,-8.30%,-44.83%,-6.95%,-21.09%,-38.36%,-112.15%,Upgrade
26,Profit Margin,13.60%,-40.58%,-7.83%,-27.70%,-4.36%,-50.06%,-2.83%,-16.45%,-25.51%,-205.94%,Upgrade
27,Free Cash Flow Margin,20.04%,3.04%,-12.85%,-1.06%,2.81%,11.10%,3.68%,-24.75%,-53.80%,72.63%,Upgrade
28,EBITDA,25.54,-6.06,3.31,-6.74,5.57,-18.24,6.97,-6.74,-0.54,-15.77,Upgrade
29,D&A For EBITDA,11.31,11.4,11.3,12.26,11.44,12.11,11.88,9.03,19.91,21.41,Upgrade
30,EBIT,14.24,-17.46,-7.99,-19.01,-5.87,-30.35,-4.91,-15.77,-20.46,-37.18,Upgrade
