,Fiscal Quarter,Current,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019,H2 2018,+2 Quarters
,Period Ending,"Mar '24 Mar 27, 2024","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019","Dec '18 Dec 31, 2018",+2 Quarters
0,Market Capitalization,121,221,315,332,352,538,532,532,708,806,967,Upgrade
1,Market Cap Growth,-33.57%,-33.57%,-10.67%,-38.24%,-33.81%,1.14%,-24.84%,-33.99%,-26.81%,-20.14%,-28.87%,Upgrade
2,Enterprise Value,120,194,427,453,440,690,597,558,680,798,915,Upgrade
3,Last Close Price,0.10,0.19,0.27,0.28,0.38,0.58,0.63,0.63,0.87,0.99,1.18,Upgrade
4,PE Ratio,1.33,-,2.90,-,-,-2.51,-,-,-,-7.54,-,Upgrade
5,PS Ratio,0.77,1.40,2.13,2.80,4.10,9.33,10.38,39.81,39.19,28.19,41.07,Upgrade
6,PB Ratio,0.32,0.69,0.89,2.54,8.51,3.89,7.62,1.55,2.04,1.67,1.97,Upgrade
7,P/TBV Ratio,0.72,0.72,0.93,1.47,2.70,2.95,5.22,1.63,2.05,2.05,2.48,Upgrade
8,P/FCF Ratio,-,-,-4.12,-,-,-7.35,-,-,-,78.97,-,Upgrade
9,P/OCF Ratio,9.14,-,-9.92,-,-,-7.41,-,-,-,66.22,-,Upgrade
10,EV/Sales Ratio,0.76,1.23,2.89,3.81,5.12,11.96,11.65,41.75,37.62,27.91,38.85,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-5.45,-,-,-,-26.63,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-4.53,-,-,-,-7.42,-,Upgrade
13,EV/FCF Ratio,-11.31,-,-5.59,-,-,-9.42,-,-,-,78.17,-,Upgrade
14,Debt / Equity Ratio,0.39,0.39,0.35,2.80,9.02,2.32,4.87,0.78,0.75,0.51,0.45,Upgrade
15,Debt / FCF Ratio,-,-,-1.63,-,-,-4.39,-,-,-,24.00,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-107.44%,-,-,-,-22.14%,-,Upgrade
17,Earnings Yield,74.97%,41.11%,34.47%,-25.42%,-12.17%,-39.86%,-50.54%,-21.66%,-12.49%,-13.26%,-14.81%,Upgrade
18,FCF Yield,-8.79%,-4.82%,-24.26%,-35.32%,-6.69%,-13.60%,-20.16%,-18.47%,-5.26%,1.27%,-12.34%,Upgrade
19,Buyback Yield / Dilution,-19.15%,-8.69%,-31.82%,-24.81%,-23.62%,-20.79%,-4.00%,-3.36%,-,-,-,Upgrade
20,Total Shareholder Return,-19.15%,-8.69%,-31.82%,-24.81%,-23.62%,-20.79%,-4.00%,-3.36%,-,-,-,Upgrade
