,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,1907,2883,1673,2522,1869,2295,1550,3077,1793,1890,Upgrade
1,Short-Term Investments,-,594.65,-,867.82,-,572.14,-,761.42,-,917.17,Upgrade
2,Trading Asset Securities,300.13,320.33,492.69,742.6,674.35,886.58,1058,1122,685.79,929.09,Upgrade
3,Cash & Short-Term Investments,2207,3798,2165,4132,2544,3754,2608,4961,2479,3736,Upgrade
4,Cash Growth,1.92%,-8.09%,-14.87%,10.09%,-2.47%,-24.33%,5.21%,32.76%,13.79%,-8.92%,Upgrade
5,Accounts Receivable,7792,7653,7179,6887,6891,6099,7297,6090,6987,5944,Upgrade
6,Receivables,7792,7846,7179,7277,6891,6496,7297,6458,6987,6335,Upgrade
7,Inventory,1397,1395,1840,1752,1999,2696,2581,3309,1288,1874,Upgrade
8,Prepaid Expenses,1451,488.37,1546,395.49,1624,129.31,1398,210.92,1354,191.69,Upgrade
9,Restricted Cash,41.61,224.77,42.33,54.88,45.78,72.02,119.59,228.29,42.87,115.49,Upgrade
10,Other Current Assets,-,-,-,-,-,-,-,-,343.1,565.12,Upgrade
11,Total Current Assets,12888,13752,12773,13611,13103,13147,14003,15167,12494,12817,Upgrade
12,"Property, Plant & Equipment",881.06,901.12,889.18,896.59,936.19,996.41,1235,1195,1155,1261,Upgrade
13,Long-Term Investments,1053,1072,2045,2280,2428,2537,3242,3219,3550,3745,Upgrade
14,Goodwill,1490,1490,1587,1587,1587,1587,1901,1878,1848,1888,Upgrade
15,Other Intangible Assets,235.23,167.24,217.7,139.45,201.06,126.25,203.9,135.8,153.48,88.52,Upgrade
16,Long-Term Accounts Receivable,139.99,150.79,124.46,121.07,114.23,114.12,136.97,131.3,1.28,2.31,Upgrade
17,Long-Term Deferred Tax Assets,257.08,231.11,290.6,251.4,228.84,210.26,250.75,225.21,151.47,173.13,Upgrade
18,Long-Term Deferred Charges,-,68.34,-,58.34,-,64.43,-,59.9,-,69.25,Upgrade
19,Other Long-Term Assets,4527,4528,5032,4975,4932,4822,5252,5127,4549,4599,Upgrade
20,Total Assets,21911,22800,23806,24768,24378,24451,27239,28021,24791,25551,Upgrade
21,Accounts Payable,3312,3952,3288,3490,3682,3602,4039,3620,4181,3833,Upgrade
22,Accrued Expenses,-,802.06,-,988.4,-,1119,-,1412,-,1045,Upgrade
23,Short-Term Debt,1670,1175,43.5,1636,43.51,1217,52.11,1875,50.42,2826,Upgrade
24,Current Portion of Long-Term Debt,639.81,226.56,1429,196.45,1513,288.64,1501,202.32,2145,642.54,Upgrade
25,Current Portion of Leases,63.62,60.82,64.83,68.4,82.64,91.13,104.93,83.22,84.85,103.07,Upgrade
26,Current Income Taxes Payable,44.75,67.01,46.25,74.3,55.47,84.63,71.65,120.22,22,66.46,Upgrade
27,Current Unearned Revenue,1801,2273,2184,2118,2072,1930,1957,2421,974.12,1401,Upgrade
28,Other Current Liabilities,1057,624.28,1125,704.96,1496,671.11,2050,1093,2143,996.47,Upgrade
