,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Market Capitalization,28881,33443,36531,33557,39137,37194,40541,45548,26387,27872,29883,33163,33944,63619,78717,67667,64237,69330,61221,99770,79504,Upgrade
1,Market Cap Growth,-10.08%,-10.08%,-9.89%,-26.33%,48.32%,33.45%,35.66%,37.35%,-22.26%,-56.19%,-62.04%,-50.99%,-47.16%,-8.24%,28.58%,-32.18%,-19.20%,-23.76%,-36.27%,12.49%,-14.94%,Upgrade
2,Enterprise Value,64588,70469,73608,72615,78195,78142,81515,83845,64683,62927,64971,66119,66900,94225,109359,95339,91909,94344,86291,123379,103113,Upgrade
3,Last Close Price,5.52,6.31,6.82,6.28,7.32,6.96,7.56,8.49,4.92,5.20,5.60,6.22,6.36,11.93,14.76,12.71,12.07,13.02,11.50,18.74,14.94,Upgrade
4,PE Ratio,10.76,12.30,15.22,21.59,-,-21.97,-,-,-,-,-,-,-,-,-,-,-,-,-,32.47,25.79,Upgrade
5,Forward PE,10.89,10.09,15.96,16.10,20.93,38.69,-,-,-,-,-,-,-,-,-,-,-,-,23.26,17.38,13.49,Upgrade
6,PS Ratio,1.02,1.47,1.71,2.30,4.36,4.50,12.92,16.06,6.87,6.91,4.49,4.90,4.60,8.92,20.80,17.54,6.67,6.51,3.10,4.87,3.66,Upgrade
7,PB Ratio,-2.30,-2.30,-2.51,-2.12,-,-2.19,-,-2.66,-,-2.06,-,-3.31,-,-8.96,-,-13.38,-,-37.19,-,50.22,-,Upgrade
8,P/TBV Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62.85,-,Upgrade
9,P/FCF Ratio,4.49,10.49,22.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,P/OCF Ratio,4.41,8.79,19.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
11,PEG Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.34,1.28,1.07,Upgrade
12,EV/Sales Ratio,2.29,3.10,3.44,4.97,8.72,9.45,25.98,29.56,16.85,15.59,9.76,9.76,9.07,13.21,28.89,24.72,9.54,8.86,4.37,6.02,4.75,Upgrade
13,EV/EBITDA Ratio,8.23,10.96,12.42,18.21,63.25,81.69,-55.48,-,-,-,-,-,-,189.18,-76.90,-65.41,-,-,-,23.43,18.43,Upgrade
14,EV/EBIT Ratio,11.81,15.31,17.94,26.96,-2047.66,-238.86,-29.91,-,-,-,-,-,-,-,-,-,-,-,-,33.34,25.49,Upgrade
15,EV/FCF Ratio,10.04,22.10,46.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Debt / Equity Ratio,-3.47,-3.47,-3.47,-3.34,-,-3.12,-,-2.82,-,-3.47,-,-4.66,-,-6.53,-,-9.78,-,-24.96,-,19.71,-,Upgrade
17,Debt / EBITDA Ratio,6.42,6.14,6.14,6.22,-,8.52,-,-,-,-,-,-,-,35.18,-,44.02,-,-,-,4.11,-,Upgrade
18,Debt / FCF Ratio,7.84,15.81,31.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
19,Asset Turnover,0.69,0.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
20,Inventory Turnover,60.66,60.62,60.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
21,Quick Ratio,1.08,1.08,1.08,1.55,-,2.58,-,1.68,-,2.18,-,2.43,-,0.95,-,1.77,-,1.90,-,1.44,-,Upgrade
22,Current Ratio,1.11,1.11,1.11,1.59,-,2.65,-,1.75,-,2.27,-,2.50,-,0.98,-,1.80,-,1.94,-,1.48,-,Upgrade
23,Return on Assets (ROA),8.46%,8.29%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
24,Return on Capital (ROIC),10.15%,9.99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
25,Return on Capital Employed (ROCE),19.33%,16.27%,14.50%,7.95%,-,-0.87%,-,-,-,-,-,-,-,-,-,-,-,-,-,9.43%,-,Upgrade
26,Earnings Yield,9.27%,8.13%,6.57%,4.63%,-3.72%,-4.55%,-10.58%,-9.72%,-15.79%,-14.72%,-9.67%,-8.63%,-6.97%,-3.88%,-5.45%,-6.32%,-2.66%,-1.91%,4.46%,3.08%,3.88%,Upgrade
27,FCF Yield,22.26%,9.54%,4.36%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Dividend Yield,1.36%,2.38%,1.65%,1.19%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.80%,-,Upgrade
