,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,47.05,62.56,76.41,225.43,956.24,113.09,179.9,369.61,215.78,80.06,Upgrade
1,Short-Term Investments,88.04,124.66,125.47,197.24,153.9,88.77,74.52,83.51,67.47,73.21,Upgrade
2,Trading Asset Securities,3.17,0.92,-,-,-,-,-,-,-,0.01,Upgrade
3,Cash & Short-Term Investments,138.26,188.15,201.88,422.67,1110,201.86,254.42,453.12,283.25,153.28,Upgrade
4,Cash Growth,-31.51%,-55.49%,-81.82%,109.39%,336.33%,-55.45%,-10.18%,195.62%,173.69%,24.32%,Upgrade
5,Accounts Receivable,41.55,36.53,74.63,82.13,235.98,296.97,397.61,337.68,368.36,317.64,Upgrade
6,Other Receivables,-,-,2.81,-,2.96,2.06,1.74,1.92,4.29,3.34,Upgrade
7,Receivables,41.55,36.53,77.44,82.13,238.94,299.03,399.35,339.6,372.65,320.97,Upgrade
8,Inventory,1637,1774,1844,1728,1487,4134,3361,3203,2582,2386,Upgrade
9,Other Current Assets,528.64,507.3,497.16,389.43,106.93,702.93,579.13,857.83,1176,2135,Upgrade
10,Total Current Assets,2345,2506,2621,2622,2943,5338,4594,4853,4413,4995,Upgrade
11,"Property, Plant & Equipment",805.84,6766,6209,5431,5292,5271,5196,4927,4899,4509,Upgrade
12,Long-Term Investments,16.12,22.58,9.68,15.45,9.02,8.93,8.43,8.34,19.42,7.77,Upgrade
13,Other Intangible Assets,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,Upgrade
14,Long-Term Deferred Tax Assets,82.36,81.01,80.38,71.31,32.92,44.7,40.84,38.99,35.06,27.88,Upgrade
15,Other Long-Term Assets,6277,10.13,32.42,9.67,9.33,11.02,43.96,11.89,-,10.11,Upgrade
16,Total Assets,9528,9386,8953,8150,8286,10674,9884,9840,9367,9550,Upgrade
17,Accounts Payable,99.16,60.87,43.86,47.38,20.02,91.05,244.35,203.04,119.76,103.25,Upgrade
18,Current Portion of Long-Term Debt,1284,1657,1149,770.95,674.92,4908,1382,2530,615.62,664.5,Upgrade
19,Current Income Taxes Payable,16.6,274.65,269.91,265.82,281.82,1.94,29.6,34.57,26.57,23.73,Upgrade
20,Current Unearned Revenue,41.31,24.94,1.42,1.01,6.03,3312,3125,2878,2286,2159,Upgrade
21,Other Current Liabilities,185.29,106.36,145.59,150.53,203.48,172.61,202.3,156.3,183.99,503.76,Upgrade
22,Total Current Liabilities,1626,2124,1610,1236,1186,8486,4983,5802,3232,3454,Upgrade
23,Long-Term Debt,4731,4221,4437,3859,3859,0.84,2627,1508,3638,3641,Upgrade
24,Long-Term Deferred Tax Liabilities,95.06,88.7,81.74,73.62,63.73,61,55.95,53.12,51.39,48.83,Upgrade
25,Total Liabilities,6452,6433,6129,5168,5109,8548,7666,7363,6921,7144,Upgrade
26,Common Stock,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,7.1,Upgrade
27,Additional Paid-In Capital,95.05,95.05,95.05,92.93,91.54,91.54,91.54,91.54,91.54,98.64,Upgrade
28,Retained Earnings,2880,2828,2697,2869,3089,2019,2128,2399,2377,2335,Upgrade
29,Comprehensive Income & Other,86.19,16,17.86,5.9,-16.91,0.6,-15.25,-27.33,-37.21,-35.65,Upgrade
30,Shareholders' Equity,3076,2953,2824,2982,3178,2126,2218,2478,2446,2405,Upgrade
31,Total Liabilities & Equity,9528,9386,8953,8150,8286,10674,9884,9840,9367,9550,Upgrade
32,Total Debt,6014,5878,5587,4630,4534,4909,4009,4038,4254,4306,Upgrade
33,Net Cash (Debt),-5876,-5690,-5385,-4207,-3424,-4707,-3754,-3585,-3971,-4152,Upgrade
34,Net Cash Per Share,-4.14,-4.01,-3.79,-2.96,-2.41,-3.32,-2.64,-2.53,-2.80,-2.93,Upgrade
35,Filing Date Shares Outstanding,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,Upgrade
36,Total Common Shares Outstanding,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,Upgrade
37,Working Capital,719.44,381.87,1011,1386,1757,-3149,-388.77,-948.25,1181,1540,Upgrade
38,Book Value Per Share,2.17,2.08,1.99,2.10,2.24,1.50,1.56,1.75,1.72,1.69,Upgrade
39,Tangible Book Value,3075,2953,2823,2981,3177,2125,2218,2477,2445,2405,Upgrade
40,Tangible Book Value Per Share,2.17,2.08,1.99,2.10,2.24,1.50,1.56,1.74,1.72,1.69,Upgrade
41,Buildings,-,922.64,-,922.94,-,868.71,-,868.38,-,867.81,Upgrade
42,Machinery,-,37.51,-,36.49,-,64.36,-,60.58,-,58.81,Upgrade
43,Order Backlog,2060,-,-,-,-,-,-,-,-,-,Upgrade
