,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,475,40,59,63,144,161,166,144,190,120,225
1,Market Cap Growth,-36.57%,-36.57%,-59.38%,-60.89%,-13.04%,11.87%,-12.80%,20.30%,-15.60%,-91.69%,-
2,Enterprise Value,802,389,409,468,427,379,438,392,421,377,432
3,Last Close Price,0.88,0.14,0.24,0.26,0.59,0.66,0.68,0.59,0.78,0.49,0.92
4,PE Ratio,5.91,3.01,1.27,1.26,4.93,4.40,2.87,2.68,9.96,12.46,12.92
5,PS Ratio,0.09,0.05,0.05,0.05,0.14,0.13,0.12,0.11,0.20,0.14,0.21
6,PB Ratio,0.22,0.09,0.14,0.15,0.39,0.46,0.49,0.45,0.66,0.47,0.88
7,P/TBV Ratio,0.09,0.09,0.14,0.15,0.39,0.46,0.49,0.45,0.66,0.47,0.88
8,P/FCF Ratio,-,-,-,-0.60,-,-,5.61,-,8.84,-16.89,-
9,P/OCF Ratio,1.22,1.22,0.61,-14.09,-,2.05,2.73,-,5.70,7.69,-
10,EV/Sales Ratio,0.94,0.45,0.38,0.40,0.41,0.32,0.31,0.30,0.45,0.44,0.40
11,EV/EBITDA Ratio,14.89,7.73,5.11,5.85,7.57,6.20,4.74,4.70,9.99,8.98,8.51
12,EV/EBIT Ratio,26.66,13.36,7.33,8.09,11.09,7.70,5.39,5.42,14.43,14.11,11.77
13,EV/FCF Ratio,-37.81,-,-,-4.46,-,-,14.84,-,19.62,-53.13,-
14,Debt / Equity Ratio,0.88,0.88,0.99,1.04,1.18,0.92,0.75,0.96,1.00,1.09,1.22
15,Debt / FCF Ratio,-,-,-,-4.01,-,-,8.68,-,13.39,-39.31,-
16,Return on Capital Employed (ROCE),4.20%,4.22%,7.64%,7.95%,6.84%,9.70%,16.79%,15.29%,6.36%,6.44%,9.02%
17,Earnings Yield,2.80%,33.25%,78.45%,79.67%,20.29%,22.74%,34.88%,37.32%,10.04%,8.03%,7.74%
18,FCF Yield,-4.46%,-53.07%,45.44%,-166.57%,-138.49%,0.57%,17.82%,-16.14%,11.31%,-5.92%,-12.12%
19,Buyback Yield / Dilution,6.10%,2.80%,9.09%,9.09%,8.33%,-10.00%,-20.00%,-,-0.04%,-7.87%,-29.44%
20,Total Shareholder Return,6.10%,2.80%,9.09%,9.09%,8.33%,-10.00%,-20.00%,-,-0.04%,-7.87%,-29.44%
