,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","May '21 May 31, 2021"
0,Revenue,33.8,38.53,34.99,70.22,57.19,34.42
1,Revenue Growth (YoY),-3.40%,-45.13%,-38.83%,103.99%,-,-
2,Cost of Revenue,21.45,21.34,19.52,24.7,24.46,14.74
3,Gross Profit,12.35,17.19,15.47,45.51,32.73,19.69
4,"Selling, General & Admin",28.67,23.66,19.94,18.58,17.13,8.38
5,Other Operating Expenses,-,-,-,-,-,0.05
6,Operating Expenses,28.67,23.66,19.94,18.58,17.1,8.39
7,Operating Income,-16.32,-6.47,-4.47,26.93,15.63,11.3
8,Interest Expense,-0.79,-0.79,-0.85,-0.9,-0.99,-0.9
9,Interest & Investment Income,2.88,2.2,2.77,0.86,0.79,0.58
10,Currency Exchange Gain (Loss),-,0.06,-,-,-,-
11,Other Non Operating Income (Expenses),-0.21,0.28,-0.21,-0.83,-0.01,0.15
12,EBT Excluding Unusual Items,-14.43,-4.73,-2.75,26.06,15.42,11.12
13,Other Unusual Items,-,0.32,-,-1.28,-,-
14,Pretax Income,-14.43,-4.41,-2.75,24.78,15.42,11.12
15,Income Tax Expense,0.7,7.08,-0.63,7.08,4.55,3.12
16,Earnings From Continuing Operations,-15.14,-11.49,-2.12,17.7,10.87,8
17,Minority Interest in Earnings,0.06,0.01,-0,-0.1,-0.01,-0.02
18,Net Income,-15.07,-11.47,-2.12,17.59,10.86,7.98
19,Net Income to Common,-15.07,-11.47,-2.12,17.59,10.86,7.98
20,Net Income Growth,-,-,-,120.60%,-,-
21,Shares Outstanding (Basic),600,600,600,465,450,-
22,Shares Outstanding (Diluted),600,600,600,465,450,-
23,Shares Change (YoY),-0.03%,29.09%,33.33%,-,-,-
24,EPS (Basic),-0.03,-0.02,-0.00,0.04,0.02,-
25,EPS (Diluted),-0.03,-0.02,-0.00,0.04,0.02,-
26,Free Cash Flow,-7.56,13.95,-13.9,9.23,14.94,-0.46
27,Free Cash Flow Per Share,-0.01,0.02,-0.02,0.02,0.03,-
28,Operating Margin,-48.29%,-16.80%,-12.78%,38.35%,27.33%,32.82%
29,Profit Margin,-44.60%,-29.78%,-6.07%,25.05%,18.99%,23.17%
30,Free Cash Flow Margin,-22.36%,36.20%,-39.73%,13.15%,26.12%,-1.34%
31,EBITDA,-12.88,-3.53,-0.13,29.7,18.99,13
32,D&A For EBITDA,3.44,2.95,4.34,2.77,3.36,1.71
33,EBIT,-16.32,-6.47,-4.47,26.93,15.63,11.3
