,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,290.55,259.46,204.42,190.45,162.07
1,Revenue Growth (YoY),42.13%,36.24%,26.14%,-,-
2,Cost of Revenue,141.6,115.24,91.53,84.2,68.99
3,Gross Profit,148.96,144.22,112.9,106.25,93.08
4,"Selling, General & Admin",21.22,19.16,14.51,13.67,12.09
5,Research & Development,70.81,61.74,57.41,45.6,39.28
6,Other Operating Expenses,-0.39,-0.39,-0.49,-6.63,-0.26
7,Operating Expenses,95.16,80.51,70.38,52.64,51.11
8,Operating Income,53.8,63.71,42.51,53.61,41.97
9,Interest Expense,-3.38,-2.47,-1.8,-1.04,-0.61
10,Interest & Investment Income,8.05,1.12,0.63,0.34,0.16
11,Currency Exchange Gain (Loss),2.31,-0.92,-,-,-
12,EBT Excluding Unusual Items,60.78,61.43,41.34,52.91,41.51
13,Gain (Loss) on Sale of Investments,-,-,0.24,0.8,0.93
14,Gain (Loss) on Sale of Assets,-,0,-,-,-
15,Other Unusual Items,6.34,1.87,4.28,0.36,0.32
16,Pretax Income,67.12,63.29,45.86,54.06,42.76
17,Income Tax Expense,-,-,-,1.56,-
18,Net Income,67.12,63.29,45.86,52.5,42.76
19,Net Income to Common,67.12,63.29,45.86,52.5,42.76
20,Net Income Growth,46.34%,20.56%,7.26%,-,-
21,Shares Outstanding (Basic),60,45,45,-,-
22,Shares Outstanding (Diluted),60,45,45,-,-
23,Shares Change (YoY),33.33%,-,-,-,-
24,EPS (Basic),1.12,1.40,1.02,-,-
25,EPS (Diluted),1.12,1.40,1.02,-,-
26,EPS Growth,9.75%,-,-,-,-
27,Free Cash Flow,-123.91,-57.46,44.9,-52.31,2.17
28,Free Cash Flow Per Share,-2.07,-1.27,1.00,-,-
29,Operating Margin,18.52%,24.55%,20.80%,28.15%,25.89%
30,Profit Margin,23.10%,24.39%,22.44%,27.57%,26.39%
31,Free Cash Flow Margin,-42.65%,-22.14%,21.96%,-27.46%,1.34%
32,EBITDA,56.02,65.9,44.02,54.24,42.49
33,D&A For EBITDA,2.22,2.2,1.51,0.62,0.53
34,EBIT,53.8,63.71,42.51,53.61,41.97
