,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,613.3,833.98,901.93,1255,1124,1552,1481,1539,1262
1,Revenue Growth (YoY),-32.00%,-33.53%,-19.79%,-19.16%,-24.08%,0.85%,17.37%,-,-
2,Cost of Revenue,429.58,618.67,660.57,959.26,850.59,1128,1004,1052,861.19
3,Gross Profit,183.72,215.3,241.35,295.37,273.8,424.16,476.65,487.38,400.73
4,"Selling, General & Admin",160.89,200.92,232.68,365.7,308.83,434.08,410.95,414.96,323.47
5,Research & Development,2.25,2.09,1.78,2.05,2.76,2.97,3.57,4.54,4.22
6,Other Operating Expenses,0.4,5.19,-5.95,-11.45,-0.09,-7.54,-5.38,0.03,-7.57
7,Operating Expenses,167.08,226.66,233.13,354.77,314.95,428.58,409.23,424.9,320.13
8,Operating Income,16.64,-11.36,8.22,-59.4,-41.16,-4.42,67.42,62.48,80.61
9,Interest Expense,-2.7,-3.98,-8.69,-7.62,-7.58,-9.56,-18,-14.1,-8.53
10,Interest & Investment Income,5.54,4.24,0.56,0.44,0.43,3.29,0.27,5.63,0.29
11,Earnings From Equity Investments,9.02,-0.65,1.29,-0.29,4.93,2.84,3.54,3.12,6.17
12,Currency Exchange Gain (Loss),-,-5.52,-,-27,-,-0.26,-,-6.82,-
13,Other Non Operating Income (Expenses),-0.21,0.21,-0.09,1.71,-0.01,-1.08,-0.77,87.97,-88.63
14,EBT Excluding Unusual Items,28.29,-17.06,1.29,-92.17,-43.38,-9.18,52.46,138.28,-10.11
15,Gain (Loss) on Sale of Investments,-,-,-,0.15,-,0.14,-,-82.02,-6.22
16,Gain (Loss) on Sale of Assets,-,0.32,-,-0.17,-,0.01,-,0.01,-
17,Other Unusual Items,-,-,-,-,-,-,-,3.05,-
18,Pretax Income,28.29,-16.74,1.29,-92.19,-43.38,-9.03,52.46,59.32,-16.32
19,Income Tax Expense,4.58,2.98,-0.91,-6.99,-11.74,-4.04,17.47,20.93,23.98
20,Earnings From Continuing Operations,23.71,-19.72,2.19,-85.2,-31.64,-4.99,35,38.39,-40.31
21,Minority Interest in Earnings,0.71,-0.17,-0.52,-0.18,-0.9,0.64,-0.17,0.59,0.24
22,Net Income,24.42,-19.9,1.68,-85.38,-32.54,-4.35,34.83,38.98,-40.07
23,Net Income to Common,24.42,-19.9,1.68,-85.38,-32.54,-4.35,34.83,38.98,-40.07
24,Net Income Growth,1355.42%,-,-,-,-,-,-,-,-
25,Shares Outstanding (Basic),166,166,166,166,166,163,135,1,84
26,Shares Outstanding (Diluted),166,166,166,166,166,163,135,1,84
27,Shares Change (YoY),-,-,-,1.53%,22.70%,14815.19%,61.72%,-,-
28,EPS (Basic),0.15,-0.12,0.01,-0.51,-0.20,-0.03,0.26,35.58,-0.48
29,EPS (Diluted),0.15,-0.12,0.01,-0.51,-0.20,-0.03,0.26,35.58,-0.48
30,EPS Growth,1372.13%,-,-,-,-,-,-,-,-
31,Free Cash Flow,88.65,142.87,0.2,246.91,12.78,-89.4,-39.43,-138.78,-237.98
32,Free Cash Flow Per Share,0.53,0.86,0.00,1.49,0.08,-0.55,-0.29,-126.68,-2.85
33,Dividend Per Share,0.233,-,0.111,-,-,-,-,-,-
34,Dividend Growth,109.51%,-,-,-,-,-,-,-,-
35,Operating Margin,2.71%,-1.36%,0.91%,-4.73%,-3.66%,-0.28%,4.55%,4.06%,6.39%
36,Profit Margin,3.98%,-2.39%,0.19%,-6.81%,-2.89%,-0.28%,2.35%,2.53%,-3.18%
37,Free Cash Flow Margin,14.45%,17.13%,0.02%,19.68%,1.14%,-5.76%,-2.66%,-9.02%,-18.86%
38,EBITDA,20.5,-15.16,13.37,-63.68,-30.18,-7.2,76.59,58.93,88.07
39,D&A For EBITDA,3.86,-3.8,5.15,-4.28,10.98,-2.78,9.17,-3.56,7.47
40,EBIT,16.64,-11.36,8.22,-59.4,-41.16,-4.42,67.42,62.48,80.61
