,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,"Property, Plant & Equipment",7265,7402,13.71,7392,7370
1,Cash & Equivalents,164.99,190.25,221.05,274.14,360.48
2,Accounts Receivable,9.53,9.98,12.47,8.02,12.04
3,Other Receivables,-,15.93,-,18.96,-
4,Investment In Debt and Equity Securities,34.35,-,54.12,-,32.57
5,Other Intangible Assets,0.65,0.71,0.75,0.82,0.91
6,Restricted Cash,38.9,35.65,56.52,65.91,26.66
7,Other Current Assets,17.74,4.86,24.89,6.67,27.04
8,Trading Asset Securities,0.96,-,-,-,-
9,Other Long-Term Assets,-,32.95,7378,51.21,-
10,Total Assets,7532,7692,7761,7817,7830
11,Current Portion of Long-Term Debt,46.41,47.46,46.67,48.21,50.51
12,Long-Term Debt,2485,2516,2565,2602,2648
13,Accounts Payable,0.35,0.86,1.45,1.15,3.21
14,Accrued Expenses,38.14,37.71,29.26,33.7,24.95
15,Current Income Taxes Payable,2.71,3.26,2.86,5.07,1.88
16,Current Unearned Revenue,8.07,7.88,7.97,8.27,8.56
17,Other Current Liabilities,99.12,111.06,114.35,161.65,212.6
18,Long-Term Unearned Revenue,36.46,37.75,37.55,39.26,33.4
19,Long-Term Deferred Tax Liabilities,687.34,696.73,687.99,658.28,616.42
20,Total Liabilities,3404,3459,3493,3557,3600
21,Common Stock,4128,4234,4268,4260,4230
22,Shareholders' Equity,4128,4234,4268,4260,4230
23,Total Liabilities & Equity,7532,7692,7761,7817,7830
24,Total Debt,2532,2563,2612,2650,2699
25,Net Cash / Debt,-2366,-2373,-2391,-2376,-2338
26,Net Cash Per Share,-2.91,-2.93,-2.97,-2.97,-2.92
27,Filing Date Shares Outstanding,811,804.76,800,800,800
28,Total Common Shares Outstanding,811,804.76,800,800,800
29,Book Value Per Share,5.09,5.26,5.34,5.32,5.29
30,Tangible Book Value,4128,4233,4267,4259,4229
31,Tangible Book Value Per Share,5.09,5.26,5.33,5.32,5.29
32,Buildings,-,8.26,-,8.39,-
