,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,10334,5423,6165,5035,6119,8236,19400,-,-,-
1,Market Cap Growth,7.71%,7.71%,0.75%,-38.87%,-68.46%,-,-,-,-,-
2,Enterprise Value,6249,631,1443,310,1384,3477,19201,-,-,-
3,Last Close Price,14.10,7.35,8.20,6.67,8.06,10.90,25.63,-,-,-
4,PE Ratio,33.25,17.39,23.09,24.65,46.14,146.66,389.12,-,-,-
5,Forward PE,34.51,24.78,47.25,32.54,45.73,48.65,6.21,-,-,-
6,PS Ratio,19.78,10.47,13.58,13.10,17.23,24.61,55.56,-,-,-
7,PB Ratio,2.04,1.07,1.20,1.00,1.22,1.68,3.98,-,-,-
8,P/TBV Ratio,1.14,1.14,1.28,1.06,1.27,1.74,4.08,-,-,-
9,P/FCF Ratio,106.49,55.89,55.34,59.42,71.37,206.98,372.18,-,-,-
10,P/OCF Ratio,54.90,54.90,54.93,59.03,70.12,193.72,355.69,-,-,-
11,EV/Sales Ratio,12.07,1.22,3.18,0.81,3.90,10.39,55.00,-,-,-
12,EV/EBITDA Ratio,52.93,5.65,19.00,3.87,19.84,80.54,245.44,-,-,-
13,EV/EBIT Ratio,58.59,5.92,20.15,4.01,20.47,85.11,253.93,-,-,-
14,EV/FCF Ratio,64.40,6.50,12.96,3.66,16.15,87.39,368.37,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.08,-
16,Debt / FCF Ratio,0.18,0.18,0.08,0.11,0.15,0.41,0.31,0.18,0.11,-
17,Return on Capital Employed (ROCE),2.07%,2.07%,1.38%,1.54%,1.34%,0.83%,1.54%,49.90%,63.51%,-
18,Earnings Yield,3.02%,5.75%,4.33%,4.06%,2.17%,0.68%,0.26%,-,-,-
19,FCF Yield,0.94%,1.79%,1.81%,1.68%,1.40%,0.48%,0.27%,-,-,-
20,Dividend Yield,1.91%,3.59%,3.11%,1.73%,-,-,-,-,-,-
21,Buyback Yield / Dilution,-0.03%,-0.33%,0.28%,0.25%,-1.47%,-34.80%,-35.21%,-2.43%,-,-
22,Total Shareholder Return,1.88%,3.25%,3.38%,1.97%,-1.47%,-34.80%,-35.21%,-2.43%,-,-
