,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,221.05,507.71,704.6,747.96,1477,1941,986.15,1497,-
1,Cash & Short-Term Investments,221.05,507.71,704.6,747.96,1477,1941,986.15,1497,-
2,Cash Growth,-68.63%,-32.12%,-52.29%,-61.46%,49.77%,29.62%,-,-,-
3,Accounts Receivable,29.66,4.97,0.04,-,-,0.09,-,-,-
4,Other Receivables,39.9,36.99,19.46,73.33,16.41,7.96,22.04,11.16,-
5,Receivables,69.56,41.96,19.5,73.33,16.41,8.05,22.04,11.16,-
6,Inventory,243.43,229.51,271.35,250.48,193.9,109.88,56.26,-,-
7,Other Current Assets,9.19,14.87,14.85,27.05,32.83,35.48,28.79,6.57,-
8,Total Current Assets,543.22,794.05,1010,1099,1720,2094,1093,1515,-
9,"Property, Plant & Equipment",351.1,367.02,409,491.58,434.89,361,87.84,38.71,-
10,Long-Term Investments,180.27,215.2,271.85,284.76,326.43,260.12,209.36,123.8,-
11,Goodwill,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,-
12,Other Intangible Assets,7.39,9.54,5.83,7.05,3.15,3.07,0.87,0.57,-
13,Other Long-Term Assets,39.42,40.63,45.55,46.44,52.4,71.98,59.93,24.75,-
14,Total Assets,1123,1428,1744,1930,2538,2792,1453,1704,-
15,Accounts Payable,77.06,74.25,67.77,124.54,184.08,83.6,52.61,28.35,-
16,Accrued Expenses,46.71,78.66,49.8,64.09,53.32,39.41,21.91,13.92,-
17,Short-Term Debt,-,0.36,-,0.36,20,0.36,0.36,0.36,-
18,Current Portion of Long-Term Debt,194.76,375.36,359.36,-,-,-,-,-,-
19,Current Portion of Leases,47.96,47.88,43.66,58.22,51.84,52.86,14,7.29,-
20,Current Unearned Revenue,16.81,11.12,9.68,8.49,0.03,-,-,-,-
21,Other Current Liabilities,87.34,97.65,56,69.61,72.51,58.24,46.29,179,-
22,Total Current Liabilities,470.64,685.28,586.27,325.31,381.78,234.47,135.18,228.91,-
23,Long-Term Debt,237.73,99.7,99.8,33.1,-,-,-,-,-
24,Long-Term Leases,60.52,72.51,90.76,128.63,156.11,151.81,32.84,11.59,-
25,Long-Term Unearned Revenue,96.26,68.59,28.92,34.8,15.62,15.05,22.4,22.4,-
26,Other Long-Term Liabilities,-,0.08,0.01,0.4,0.4,0.4,-,-,-
27,Total Liabilities,865.15,926.15,805.76,522.25,553.91,401.73,190.42,262.9,-
28,Common Stock,958.59,958.59,958.59,958.59,958.59,958.59,916.96,900,-
29,Additional Paid-In Capital,2006,2006,2006,2006,2006,2006,630.44,618.75,-
30,Retained Earnings,-3147,-2870,-2397,-1858,-1177,-717.99,-377.03,-135.07,-
31,Comprehensive Income & Other,457.32,424.74,385.19,310.74,204.09,146.42,93.95,59.17,-
32,Total Common Equity,274.9,519.48,953.09,1418,1992,2393,1264,1443,-
33,Minority Interest,-17.17,-17.73,-14.83,-9.78,-7.2,-2.99,-2,-1.4,-
34,Shareholders' Equity,257.73,501.76,938.26,1408,1985,2390,1262,1441,-
35,Total Liabilities & Equity,1123,1428,1744,1930,2538,2792,1453,1704,-
36,Total Debt,540.98,595.8,593.57,220.31,227.95,205.03,47.2,19.24,-
37,Net Cash (Debt),-319.92,-88.09,111.03,527.66,1249,1736,938.96,1478,-
38,Net Cash Growth,-,-,-91.11%,-69.60%,33.02%,17.43%,-,-,-
39,Net Cash Per Share,-0.33,-0.09,0.12,0.55,1.30,1.87,1.03,1.83,-
40,Filing Date Shares Outstanding,958.59,958.59,958.59,958.59,958.59,958.59,916.96,900,705.12
41,Total Common Shares Outstanding,958.59,958.59,958.59,958.59,958.59,958.59,916.96,900,705.12
42,Working Capital,72.58,108.77,424.03,773.51,1338,1860,958.06,1286,-
43,Book Value Per Share,0.29,0.54,0.99,1.48,2.08,2.50,1.38,1.60,-
44,Tangible Book Value,266.03,508.46,945.78,1409,1987,2389,1262,1441,-
45,Tangible Book Value Per Share,0.28,0.53,0.99,1.47,2.07,2.49,1.38,1.60,-
46,Machinery,-,290.92,-,238.76,-,100,25.45,12.09,-
47,Construction In Progress,-,9.98,-,34.28,-,12.74,8.36,10.43,-
48,Leasehold Improvements,-,58.2,-,89.59,-,57.59,16.27,3.4,-
