,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,185,216,502,899,1810,-,-,-
1,Market Cap Growth,-75.97%,-75.97%,-72.26%,-,-,-,-,-
2,Enterprise Value,-83,-126,47,277,1228,-,-,-
3,Last Close Price,0.16,0.18,0.43,0.77,1.55,-,-,-
4,PS Ratio,3.45,4.04,6.23,10.14,19.15,-,-,-
5,PB Ratio,0.36,0.42,0.88,1.41,2.59,-,-,-
6,P/TBV Ratio,0.43,0.43,0.92,1.47,2.59,-,-,-
7,EV/Sales Ratio,-,-,0.58,3.13,13.00,-,-,-
8,Debt / Equity Ratio,0.07,0.07,0.04,0.07,0.05,-0.01,-1.78,-
9,Earnings Yield,-64.06%,-54.71%,-25.41%,-22.02%,-84.06%,-,-,-
10,FCF Yield,-85.32%,-72.87%,-45.85%,-21.89%,-8.01%,-,-,-
11,Buyback Yield / Dilution,-0.68%,-,-1.37%,-81.19%,-78.73%,-0.38%,-,-
12,Total Shareholder Return,-0.68%,-,-1.37%,-81.19%,-78.73%,-0.38%,-,-
