,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,1290,1244,1269,787.74,1084,800.7,-
1,Trading Asset Securities,414.31,626.61,290.05,642.57,121.18,-,-
2,Cash & Short-Term Investments,1704,1871,1559,1430,1205,800.7,-
3,Cash Growth,9.34%,30.79%,29.38%,78.63%,-,-,-
4,Accounts Receivable,1355,1516,1943,2432,1559,825.3,-
5,Other Receivables,3.72,4.16,4.41,3.89,-,23.01,-
6,Receivables,1359,1520,1947,2536,1559,848.31,-
7,Inventory,15.54,18.02,19.12,41.32,74.23,41.7,-
8,Restricted Cash,304.2,405.48,125.88,145.93,22.19,31.15,-
9,Other Current Assets,15.39,24.4,23.78,14.86,-,21.41,-
10,Total Current Assets,3398,3838,3674,4168,2861,1743,-
11,"Property, Plant & Equipment",369.29,396.92,410.9,420.6,641.88,485.2,-
12,Long-Term Investments,242.62,236.86,247.96,244.58,345.58,168.25,-
13,Other Intangible Assets,2.53,3.37,3.16,3.76,3.75,5.68,-
14,Long-Term Accounts Receivable,-,-,-,-,6.14,-,-
15,Long-Term Deferred Tax Assets,52.22,51.83,56.59,53.91,33.61,35.81,-
16,Other Long-Term Assets,5.51,4.79,185.26,15.66,-,17.23,-
17,Total Assets,4070,4532,4578,4907,3892,2455,-
18,Accounts Payable,787.77,815.84,978.69,1201,624.97,360.54,-
19,Accrued Expenses,125.71,150.64,152.7,273.47,201.97,174.43,-
20,Short-Term Debt,739.05,812.36,513.67,315.58,-,170,-
21,Current Portion of Long-Term Debt,238.73,341.89,171.37,48.09,250.04,38.32,-
22,Current Portion of Leases,13.09,16.12,34.66,36.66,19.72,27.17,-
23,Current Income Taxes Payable,35.19,42.78,40.04,85.43,54.31,71.93,-
24,Current Unearned Revenue,-,-,1.75,1.65,8.02,6.75,-
25,Other Current Liabilities,12.84,9.01,118.21,17.94,27.02,21.69,-
26,Total Current Liabilities,1952,2189,2011,1979,1186,870.84,-
27,Long-Term Debt,171.57,193.59,233.44,328.12,192.11,82.36,-
28,Long-Term Leases,15.29,25.88,48.52,57.68,50.37,44.16,-
29,Long-Term Deferred Tax Liabilities,4.96,4.09,2.81,2.12,6.47,6.47,-
30,Total Liabilities,2144,2412,2296,2367,1435,1004,-
31,Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,-
32,Additional Paid-In Capital,610.38,621.31,626.5,743.24,791.37,21.12,-
33,Retained Earnings,623.54,749.67,901.22,852.51,709.56,475.2,-
34,Comprehensive Income & Other,684.33,741.17,747.99,936.51,955.38,955.38,-
35,Total Common Equity,1918,2112,2276,2532,2456,1452,-
36,Minority Interest,7.78,7.71,6.65,7.32,0.27,-0.12,-
37,Shareholders' Equity,1926,2120,2282,2540,2457,1452,-
38,Total Liabilities & Equity,4070,4532,4578,4907,3892,2455,-
39,Total Debt,1178,1390,1002,786.12,512.24,362.02,-
40,Net Cash (Debt),526.42,480.89,556.96,644.19,692.49,438.68,-
41,Net Cash Growth,-5.48%,-25.35%,-19.57%,46.85%,-,-,-
42,Net Cash Per Share,0.88,0.80,0.90,1.04,1.31,0.88,-
43,Filing Date Shares Outstanding,598.45,601.09,606.15,621.25,621.25,500,497.05
44,Total Common Shares Outstanding,598.45,606.15,606.15,621.25,621.25,500,497.05
45,Working Capital,1446,1650,1663,2189,1675,872.42,-
46,Book Value Per Share,3.21,3.48,3.75,4.08,3.95,2.90,-
47,Tangible Book Value,1916,2109,2273,2529,2453,1446,-
48,Tangible Book Value Per Share,3.20,3.48,3.75,4.07,3.95,2.89,-
49,Machinery,-,306.87,-,288.31,-,256.64,-
50,Construction In Progress,-,52.81,-,46.33,-,55.96,-
51,Leasehold Improvements,-,61.53,-,74.53,-,51.83,-
