,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,124.14,178.85,163.12,149.11,227.65,-
1,Short-Term Investments,-,-,-,-,3.29,-
2,Cash & Short-Term Investments,124.14,178.85,163.12,149.11,230.95,-
3,Cash Growth,-23.90%,19.95%,-29.37%,-,-,-
4,Accounts Receivable,259.85,224.93,227.14,188.89,173.01,-
5,Other Receivables,51.04,61.94,85.26,107.58,7.64,-
6,Receivables,310.89,286.87,312.4,296.46,180.65,-
7,Other Current Assets,12.96,-,-,-,5.2,-
8,Total Current Assets,447.99,465.73,475.52,445.57,416.8,-
9,"Property, Plant & Equipment",59.35,63.3,56.71,55.2,56.08,-
10,Long-Term Investments,4.17,5.18,4.26,3.9,3.63,-
11,Goodwill,24.23,24.23,24.23,24.23,24.23,-
12,Other Intangible Assets,19.39,22.44,14.98,17.92,21.02,-
13,Long-Term Deferred Tax Assets,38.88,35.45,25.77,23.77,7.84,-
14,Other Long-Term Assets,-,0.9,13.85,16.11,-,-
15,Total Assets,594.01,617.23,615.31,586.7,529.6,-
16,Accounts Payable,23.41,22.66,16.41,13.7,18.08,-
17,Accrued Expenses,67.06,70.04,77.72,76.36,51.52,-
18,Short-Term Debt,9.04,14.56,18.58,18.25,1.87,-
19,Current Portion of Long-Term Debt,-,-,-,-,14.01,-
20,Current Portion of Leases,0.14,0.13,1.37,0.68,0.43,-
21,Current Income Taxes Payable,48.98,45.76,43.13,33.39,22.15,-
22,Current Unearned Revenue,96.84,111.42,93.86,98.52,66.24,-
23,Other Current Liabilities,4.92,14.93,5.94,3.97,0.4,-
24,Total Current Liabilities,250.39,279.5,257,244.87,174.69,-
25,Long-Term Debt,3.7,-,-,-,0.31,-
26,Long-Term Leases,3.23,3.1,2.96,3.49,3.4,-
27,Long-Term Deferred Tax Liabilities,4.38,4.38,5.02,5.71,6.38,-
28,Other Long-Term Liabilities,-,-,-,-,2.27,-
29,Total Liabilities,261.7,286.97,264.97,254.07,187.06,-
30,Common Stock,16.22,16.22,16.22,16.22,16.22,-
31,Additional Paid-In Capital,-,138.61,-,138.61,-,-
32,Retained Earnings,-,119.69,-,129.67,-,-
33,Comprehensive Income & Other,276.54,16.61,298.45,16.28,288.17,-
34,Total Common Equity,292.76,291.12,314.67,300.78,304.39,-
35,Minority Interest,39.56,39.13,35.67,31.85,38.15,-
36,Shareholders' Equity,332.31,330.26,350.34,332.63,342.54,-
37,Total Liabilities & Equity,594.01,617.23,615.31,586.7,529.6,-
38,Total Debt,16.11,17.79,22.9,22.43,20.01,-
39,Net Cash (Debt),108.02,161.06,140.22,126.68,210.93,-
40,Net Cash Growth,-22.96%,27.14%,-33.52%,-,-,-
41,Net Cash Per Share,0.54,0.81,0.70,0.63,1.20,-
42,Filing Date Shares Outstanding,200,200,200,200,200,150
43,Total Common Shares Outstanding,200,200,200,200,200,150
44,Working Capital,197.6,186.23,218.52,200.7,242.11,-
45,Book Value Per Share,1.46,1.46,1.57,1.50,1.52,-
46,Tangible Book Value,249.13,244.45,275.46,258.64,259.14,-
47,Tangible Book Value Per Share,1.25,1.22,1.38,1.29,1.30,-
48,Buildings,-,30.56,-,29.24,26.77,-
49,Machinery,-,19.94,-,18.97,19.16,-
50,Leasehold Improvements,-,20.36,-,7.42,9.04,-
