,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,3270,2889,2025,3151,4382,5013,5560,6361,6315,5217,8916,10642,24257,40348,59129,35405,-,-,-,-,-
1,Market Cap Growth,-42.38%,-42.38%,-63.58%,-50.46%,-30.61%,-3.90%,-37.64%,-40.23%,-73.97%,-87.07%,-84.92%,-69.94%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,-2126,-2290,-3454,-2715,-1523,-1469,-1412,-609,-796,-1480,632,1911,16175,33513,49976,41119,-,-,-,-,-
3,Last Close Price,13.04,10.48,6.83,10.60,14.46,16.38,17.90,20.05,20.90,15.74,27.65,-,-,-,-,-,-,-,-,-,-
4,PS Ratio,0.67,0.67,0.46,0.70,0.95,1.12,1.27,1.44,1.55,1.35,2.22,2.67,6.68,13.58,24.35,18.17,-,-,-,-,-
5,PB Ratio,0.60,0.60,0.43,0.64,0.85,0.94,0.96,1.01,0.98,0.80,1.25,1.35,2.93,4.76,6.91,4.03,-,-,-,-,-
6,P/TBV Ratio,0.64,0.64,0.46,0.71,0.93,1.02,1.04,1.05,1.03,0.83,1.28,1.39,3.00,4.84,6.93,4.04,-,-,-,-,-
7,EV/Sales Ratio,-,-,-,-,-,-,-,-,-,-,0.16,0.48,4.45,11.28,20.58,21.10,-,-,-,-,-
8,Debt / Equity Ratio,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.00,0.00,-,0.01,0.01
9,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06,-,-,-,-
10,Asset Turnover,0.56,0.59,0.58,0.66,0.56,0.55,0.52,0.57,0.45,0.40,0.35,0.46,0.38,0.30,0.31,0.56,-,-,-,-,
11,Quick Ratio,3.35,3.35,3.36,3.11,3.18,3.29,3.31,3.62,3.91,3.86,3.18,4.10,4.31,4.67,4.46,6.73,3.55,4.19,-,-,4.98
12,Current Ratio,3.51,3.51,3.48,3.24,3.28,3.46,3.42,3.73,4.01,3.98,3.40,4.32,4.39,5.19,5.42,6.81,3.67,4.29,-,-,5.11
13,Return on Equity (ROE),-0.82%,-7.24%,-14.40%,-8.52%,-21.56%,-20.52%,-12.75%,-12.37%,-19.83%,-31.30%,-37.52%,-22.30%,-15.28%,-17.68%,-25.57%,-12.85%,-,-,-25.02%,-,
14,Return on Assets (ROA),-3.48%,-7.27%,-8.43%,-6.43%,-11.92%,-10.73%,-7.10%,-6.92%,-8.52%,-13.73%,-18.83%,-10.70%,-9.31%,-10.14%,-13.74%,-6.99%,-,-,-,-,
15,Return on Capital (ROIC),-4.74%,-10.19%,-12.09%,-9.11%,-16.74%,-14.80%,-9.49%,-9.15%,-11.39%,-18.14%,-24.27%,-13.43%,-11.28%,-11.94%,-16.73%,-9.31%,-,-,-16.25%,-,
16,Earnings Yield,-12.26%,-13.88%,-33.44%,-28.45%,-21.21%,-19.69%,-18.29%,-20.63%,-28.31%,-37.75%,-23.05%,-18.44%,-6.57%,-3.01%,-1.72%,-2.15%,-,-,-,-,-
17,Buyback Yield / Dilution,6.82%,6.86%,8.16%,7.76%,4.47%,2.90%,0.99%,-1.58%,-2.63%,-3.88%,-4.55%,-320.29%,-346.82%,-348.67%,-352.63%,-11.74%,-5.26%,-,-,-,-
18,Total Shareholder Return,6.82%,6.86%,8.16%,7.76%,4.47%,2.90%,0.99%,-1.58%,-2.63%,-3.88%,-4.55%,-320.29%,-346.82%,-348.67%,-352.63%,-11.74%,-5.26%,-,-,-,-
