,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,18558,8887,4815,9299,10195,9652,18644,32332,20880,12611,7207
1,Market Cap Growth,-4.43%,-4.43%,-52.78%,-3.66%,-45.32%,-70.15%,-10.71%,156.38%,189.70%,-,-
2,Enterprise Value,16649,7302,3080,7640,8103,7128,15819,30068,19035,11067,6636
3,Last Close Price,38.45,18.82,10.20,19.70,21.60,20.45,39.50,68.50,46.85,29.80,17.00
4,PE Ratio,541.96,259.52,-,-111.41,-,-,-,-,-,36.32,18.59
5,Forward PE,22.60,18.52,13.05,54.47,-,-,-,221.97,30.17,22.34,-
6,PS Ratio,4.38,2.14,1.29,2.40,2.63,2.82,5.62,9.65,6.17,3.87,2.27
7,PB Ratio,9.70,4.28,2.34,4.28,4.73,4.02,6.38,8.85,6.81,4.51,2.82
8,P/TBV Ratio,5.51,5.51,2.96,4.83,5.53,4.68,7.39,10.40,8.38,5.94,3.85
9,P/FCF Ratio,36.12,17.29,18.79,-357.58,-,-,-,-,-,16.30,8.12
10,P/OCF Ratio,17.18,17.18,18.56,-433.49,-,-,-,-,-,14.81,7.48
11,PEG Ratio,-,-,-,-,-,-,-,-,0.85,-,-
12,EV/Sales Ratio,4.02,1.76,0.83,1.97,2.09,2.08,4.77,8.97,5.63,3.40,2.09
13,EV/EBITDA Ratio,70.14,41.07,-,-2047.67,-,-,-,-,-,20.50,9.82
14,EV/EBIT Ratio,99.10,47.83,-,-94.73,-,-,-,-,-,22.30,10.32
15,EV/FCF Ratio,32.40,14.21,12.02,-293.80,-,-,-,-,-,14.31,7.47
16,Debt / Equity Ratio,0.16,0.16,0.94,1.06,1.10,0.96,0.76,0.61,0.05,0.02,0.02
17,Debt / FCF Ratio,0.66,0.66,7.55,-88.57,-,-,-,-,-,0.08,0.05
18,Return on Capital Employed (ROCE),6.85%,6.85%,-,-3.41%,-,-,-,-,-,17.53%,24.87%
19,Earnings Yield,0.18%,0.39%,-1.90%,-0.90%,-6.14%,-11.22%,-5.69%,-1.94%,0.05%,2.75%,5.38%
20,FCF Yield,2.77%,5.78%,5.32%,-0.28%,-4.05%,-5.35%,-3.73%,-1.51%,1.57%,6.13%,12.32%
21,Buyback Yield / Dilution,-0.15%,-0.30%,-0.00%,-0.20%,0.03%,-3.28%,-6.00%,-8.93%,-24.20%,-19.21%,-
22,Total Shareholder Return,-0.15%,-0.30%,-0.00%,-0.20%,0.03%,-3.28%,-6.00%,-8.93%,-24.20%,-19.21%,-
