,Fiscal Quarter,H1 2024,H2 2023,H1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023"
0,Cash & Equivalents,73.03,110.96,-
1,Short-Term Investments,2.39,177.37,-
2,Trading Asset Securities,145.98,-,-
3,Cash & Short-Term Investments,221.4,288.33,-
4,Accounts Receivable,33.46,41.93,-
5,Other Receivables,10.93,15.95,-
6,Receivables,44.39,57.88,-
7,Inventory,155.3,141.52,-
8,Prepaid Expenses,13.39,12.34,-
9,Restricted Cash,0.82,2.21,-
10,Other Current Assets,1.71,-0.43,-
11,Total Current Assets,437.0,501.85,-
12,"Property, Plant & Equipment",219.26,223.6,-
13,Other Intangible Assets,2.98,2.26,-
14,Long-Term Deferred Tax Assets,2.43,1.9,-
15,Other Long-Term Assets,7.47,5.28,-
16,Total Assets,669.14,734.89,-
17,Accounts Payable,29.71,30.91,-
18,Accrued Expenses,20.44,28.43,-
19,Short-Term Debt,69.23,57.79,-
20,Current Portion of Leases,4.42,4.87,-
21,Current Income Taxes Payable,0.53,14.42,-
22,Current Unearned Revenue,10.56,10.94,-
23,Other Current Liabilities,18.85,13.45,-
24,Total Current Liabilities,153.74,160.8,-
25,Long-Term Leases,4.83,4.53,-
26,Long-Term Unearned Revenue,177.81,189.57,-
27,Long-Term Deferred Tax Liabilities,0.85,0.56,-
28,Other Long-Term Liabilities,4.98,6.13,-
29,Total Liabilities,342.21,361.59,-
30,Common Stock,360.0,360,-
31,Retained Earnings,-226.02,-166.14,-
32,Comprehensive Income & Other,192.96,179.44,-
33,Shareholders' Equity,326.93,373.3,-
34,Total Liabilities & Equity,669.14,734.89,-
35,Total Debt,78.48,67.2,-
36,Net Cash (Debt),142.92,221.14,-
37,Net Cash Per Share,0.41,0.63,-
38,Filing Date Shares Outstanding,400.0,360,369.19
39,Total Common Shares Outstanding,360.0,360,369.19
40,Working Capital,283.27,341.06,-
41,Book Value Per Share,0.91,1.04,-
42,Tangible Book Value,323.95,371.05,-
43,Tangible Book Value Per Share,0.9,1.03,-
44,Buildings,143.17,143.17,-
45,Machinery,90.5,84.59,-
46,Construction In Progress,4.89,2.38,-
47,Leasehold Improvements,9.61,8.97,-
