,Fiscal Quarter,H1 2024,H2 2023,H1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023"
0,Revenue,120.46,176.84,109.91
1,Revenue Growth (YoY),9.60%,-,-
2,Cost of Revenue,67.62,94.93,66.98
3,Gross Profit,52.84,81.91,42.93
4,"Selling, General & Admin",99.36,97.7,80.55
5,Research & Development,30.12,38.83,30.26
6,Other Operating Expenses,-16.01,-9.89,-15.11
7,Operating Expenses,113.48,126.65,95.7
8,Operating Income,-60.63,-44.74,-52.76
9,Interest Expense,-0.7,-0.55,-1.41
10,Interest & Investment Income,1.92,1.34,3.63
11,Currency Exchange Gain (Loss),-0.63,-0.12,1.28
12,Other Non Operating Income (Expenses),-1.14,4.36,-4.36
13,EBT Excluding Unusual Items,-61.18,-39.71,-53.63
14,Gain (Loss) on Sale of Investments,1.6,1.87,2.26
15,Gain (Loss) on Sale of Assets,-0,-0.4,-0.2
16,Pretax Income,-59.58,-38.24,-51.56
17,Income Tax Expense,0.3,13.36,0.13
18,Net Income,-59.88,-51.59,-51.69
19,Net Income to Common,-59.88,-51.59,-51.69
20,Shares Outstanding (Basic),352,351,369
21,Shares Outstanding (Diluted),352,351,369
22,Shares Change (YoY),-4.59%,-,-
23,EPS (Basic),-0.17,-0.15,-0.14
24,EPS (Diluted),-0.17,-0.15,-0.14
25,Free Cash Flow,-78.05,-47.67,-121.34
26,Free Cash Flow Per Share,-0.22,-0.14,-0.33
27,Operating Margin,-50.33%,-25.30%,-48.01%
28,Profit Margin,-49.71%,-29.18%,-47.03%
29,Free Cash Flow Margin,-64.80%,-26.96%,-110.40%
30,EBITDA,-47.21,-30.68,-41.27
31,D&A For EBITDA,13.42,14.06,11.5
32,EBIT,-60.63,-44.74,-52.76
33,Advertising Expenses,4.54,-,5.7
