,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,942.6,970.7,822.39,810.04,854.01,793.48,536.93
1,Revenue Growth (YoY),14.62%,19.83%,-3.70%,2.09%,59.06%,-,-
2,Cost of Revenue,849.72,892.98,752.48,710.38,754.39,697.58,439.69
3,Gross Profit,92.88,77.72,69.91,99.65,99.62,95.9,97.24
4,"Selling, General & Admin",124.36,126.39,97.79,112.23,100.25,87.88,68.52
5,Research & Development,14.53,12.78,12.71,14.47,13.02,10.28,8
6,Operating Expenses,143.91,142.8,114.04,125.5,116.19,99.01,77.64
7,Operating Income,-51.03,-65.08,-44.14,-25.84,-16.57,-3.11,19.6
8,Interest Expense,-23.61,-21.99,-19.84,-20.43,-22,-21.72,-14.58
9,Interest & Investment Income,0.88,8.16,2.81,0.57,0.18,0.27,0.4
10,Currency Exchange Gain (Loss),0.05,-4.74,8.38,-5.78,-,-,-
11,Other Non Operating Income (Expenses),13.24,6.18,6.28,152.52,31.28,-153.86,-273.26
12,EBT Excluding Unusual Items,-60.46,-77.47,-46.5,101.03,-7.11,-178.42,-267.85
13,Gain (Loss) on Sale of Investments,14.47,-5,6.26,0.22,-,-,-
14,Gain (Loss) on Sale of Assets,1.87,-0.56,0.79,1.56,-,-,-
15,Other Unusual Items,-,-2.41,-3.66,-,-,-,-
16,Pretax Income,-44.12,-85.44,-43.1,102.8,-7.11,-178.42,-267.85
17,Income Tax Expense,-3.54,3.23,-0.74,-2.98,-1.28,2.14,0.29
18,Earnings From Continuing Operations,-40.58,-88.67,-42.36,105.78,-5.83,-180.57,-268.14
19,Minority Interest in Earnings,0.79,-0.24,-,-,-,-,-
20,Net Income,-39.79,-88.91,-42.36,105.78,-5.83,-180.57,-268.14
21,Net Income to Common,-39.79,-88.91,-42.36,105.78,-5.83,-180.57,-268.14
22,Shares Outstanding (Basic),305,305,305,159,119,119,121
23,Shares Outstanding (Diluted),305,305,305,264,252,119,121
24,Shares Change (YoY),0.03%,15.40%,21.12%,121.34%,108.16%,-,-
25,EPS (Basic),-0.13,-0.29,-0.14,0.67,-0.05,-1.51,-2.21
26,EPS (Diluted),-0.13,-0.29,-0.14,-0.21,-0.17,-1.51,-2.21
27,Free Cash Flow,-94.37,-96.98,-62.53,-10.75,24.95,-20.18,-142.35
28,Free Cash Flow Per Share,-0.31,-0.32,-0.20,-0.04,0.10,-0.17,-1.18
29,Operating Margin,-5.41%,-6.70%,-5.37%,-3.19%,-1.94%,-0.39%,3.65%
30,Profit Margin,-4.22%,-9.16%,-5.15%,13.06%,-0.68%,-22.76%,-49.94%
31,Free Cash Flow Margin,-10.01%,-9.99%,-7.60%,-1.33%,2.92%,-2.54%,-26.51%
32,EBITDA,87.36,65.82,84.6,89.94,95.6,99.92,101.18
33,D&A For EBITDA,138.39,130.89,128.74,115.78,112.17,103.03,81.58
34,EBIT,-51.03,-65.08,-44.14,-25.84,-16.57,-3.11,19.6
