,Fiscal Quarter,Current,H1 2024,H1 2023,H1 2018
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '18 Jun 30, 2018"
0,Market Capitalization,4047,3015,-,-
1,Enterprise Value,3521,2787,-,-
2,Last Close Price,80.75,60.15,-,-
3,PE Ratio,94.63,174.95,-,-
4,PS Ratio,6.49,6.47,-,-
5,PB Ratio,3.81,2.84,-,-
6,P/TBV Ratio,2.84,2.84,-,-
7,EV/Sales Ratio,6.24,5.98,-,-
8,EV/EBITDA Ratio,19.58,69.33,-,-
9,EV/EBIT Ratio,21.03,100.30,-,-
10,Debt / Equity Ratio,-,-,-,0.01
11,Return on Capital Employed (ROCE),15.74%,2.61%,-,4.82%
12,Earnings Yield,0.96%,0.57%,-,-
13,FCF Yield,-2.23%,-3.10%,-,-
14,Buyback Yield / Dilution,-0.09%,-1.73%,-,-
15,Total Shareholder Return,-0.09%,-1.73%,-,-
