,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 5, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,1798,906,1533,3011,-,-
1,Market Cap Growth,-69.91%,-69.91%,-,-,-,-
2,Enterprise Value,1465,476,952,2368,-,-
3,Last Close Price,1.29,0.65,1.10,2.16,-,-
4,PE Ratio,81.04,40.85,-,-,-,-
5,PS Ratio,0.27,0.13,0.25,0.48,-,-
6,PB Ratio,2.46,1.24,2.13,4.36,-,-
7,P/TBV Ratio,1.24,1.24,2.14,4.37,-,-
8,EV/Sales Ratio,0.22,0.07,0.15,0.38,-,-
9,EV/EBITDA Ratio,42.49,16.58,-,-,-,-
10,EV/EBIT Ratio,76.09,23.33,-,-,-,-
11,Debt / Equity Ratio,0.43,0.43,0.23,0.07,0.00,-
12,Debt / FCF Ratio,-,-,-,-,-0.03,-
13,Return on Capital Employed (ROCE),2.73%,2.73%,-,-,-,-
14,Earnings Yield,1.23%,2.45%,-2.12%,-1.00%,-,-
15,FCF Yield,-11.83%,-23.47%,-17.89%,-3.35%,-,-
16,Buyback Yield / Dilution,-0.99%,-1.04%,-,-,-,-
17,Total Shareholder Return,-0.99%,-1.04%,-,-,-,-
