,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,1784,1953,3338,7449,-,-
1,Market Cap Growth,-73.78%,-73.78%,-,-,-,-
2,Enterprise Value,951,820,1954,9198,-,-
3,Last Close Price,5.60,6.41,10.98,24.50,-,-
4,PS Ratio,8.00,9.14,22.02,153.01,-,-
5,PB Ratio,1.34,1.53,2.25,4.26,-,-
6,P/TBV Ratio,1.54,1.54,2.26,4.29,-,-
7,EV/Sales Ratio,4.45,3.84,12.89,188.95,-,-
8,Debt / Equity Ratio,0.22,0.22,0.18,0.07,-2.11,-
9,Earnings Yield,-31.58%,-28.84%,-64.81%,-28.21%,-,-
10,FCF Yield,-29.79%,-27.21%,-14.42%,-5.99%,-,-
11,Buyback Yield / Dilution,-232.46%,-194.26%,-281.87%,-29.37%,-,-
12,Total Shareholder Return,-232.46%,-194.26%,-281.87%,-29.37%,-,-
