,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,194.12,194.12,-,-
1,Cash & Short-Term Investments,194.12,194.12,-,71.08
2,Receivables,66.72,66.72,-,-
3,Inventory,8.21,8.21,-,-
4,Other Current Assets,2.95,2.95,-,-
5,Total Current Assets,272.01,272.01,-,-
6,"Property, Plant & Equipment",188.89,188.89,-,-
7,Other Long-Term Assets,21.94,21.94,-,-
8,Total Assets,482.83,482.83,-,-
9,Accounts Payable,21.72,21.72,-,-
10,Accrued Expenses,1.98,1.98,-,-
11,Short-Term Debt,10.0,10.0,-,-
12,Current Portion of Leases,0.13,0.13,-,-
13,Current Unearned Revenue,0.23,0.23,-,-
14,Total Current Liabilities,34.05,34.05,-,-
15,Long-Term Debt,5.0,5.0,-,-
16,Long-Term Leases,0.35,0.35,-,-
17,Long-Term Unearned Revenue,2.93,2.93,-,-
18,Total Liabilities,42.33,42.33,-,-
19,Common Stock,36.29,36.29,-,-
20,Additional Paid-In Capital,49.73,49.73,-,-
21,Retained Earnings,282.36,282.36,-,-
22,Comprehensive Income & Other,72.11,72.11,-,-
23,Shareholders' Equity,440.5,440.5,-,290.43
24,Total Liabilities & Equity,482.83,482.83,-,-
25,Total Debt,15.48,15.48,-,20.55
26,Net Cash (Debt),178.64,178.64,-,50.53
27,Net Cash Per Share,0.4,0.4,-,0.13
28,Filing Date Shares Outstanding,500.0,500.0,400,400
29,Total Common Shares Outstanding,500.0,500.0,400,400
30,Working Capital,237.96,237.96,-,-
31,Book Value Per Share,0.88,0.88,-,0.74
32,Tangible Book Value,440.5,440.5,-,290.43
33,Tangible Book Value Per Share,0.88,0.88,-,0.74
