,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,2304,2561,2504,-,2112,-,2071,2071,-,-
1,Short-Term Investments,124.52,91.58,228.13,-,91.33,-,85.97,85.97,-,-
2,Trading Asset Securities,-,-,-,-,-,-,307.86,307.86,-,-
3,Cash & Short-Term Investments,2429,2653,2732,-,2203,2465,2465,2465,-,628.94
4,Cash Growth,10.24%,7.62%,10.82%,-,-,291.97%,-,-,-,-
5,Accounts Receivable,649.48,455.17,557.92,-,257.23,-,209.45,209.45,-,-
6,Other Receivables,-,72.26,-,-,71.99,-,55.04,55.04,-,-
7,Receivables,649.48,527.43,557.92,-,329.22,-,264.49,264.49,-,-
8,Inventory,251.64,203.53,246.46,-,280.42,-,294.45,294.45,-,-
9,Restricted Cash,3,9.13,9.13,-,0.74,-,0.53,0.53,-,-
10,Other Current Assets,109.46,8.04,125.34,-,6.83,-,4.68,4.68,-,-
11,Total Current Assets,3442,3401,3671,-,2820,-,3029,3029,-,-
12,"Property, Plant & Equipment",268.78,275.68,275.54,-,273.66,-,235.6,235.6,-,-
13,Long-Term Investments,99.61,93.86,90.53,-,78.06,-,30,30,-,-
14,Other Intangible Assets,51.58,55.62,56.79,-,48.45,-,52.24,52.24,-,-
15,Other Long-Term Assets,31.04,35.89,15.4,-,19.99,-,80.23,80.23,-,-
16,Total Assets,3893,3862,4109,-,3240,-,3427,3427,-,-
17,Accounts Payable,474.31,373.72,554.62,-,198.71,-,223.85,223.85,-,-
18,Accrued Expenses,-,164.23,-,-,143.99,-,161.6,161.6,-,-
19,Short-Term Debt,121.5,-,-,-,-,-,-,-,-,-
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,6212,6212,-,-
21,Current Portion of Leases,2.58,4.41,7.5,-,16.37,-,17.36,17.36,-,-
22,Current Income Taxes Payable,-,6.35,-,-,10.6,-,17.87,17.87,-,-
23,Current Unearned Revenue,25.06,25.55,26.95,-,29.57,-,20.1,20.1,-,-
24,Other Current Liabilities,273.89,61.24,194.87,-,95.59,-,941.27,941.27,-,-
25,Total Current Liabilities,897.34,635.49,783.94,-,494.82,-,7594,7594,-,-
26,Long-Term Debt,28.5,-,-,-,8503,-,784,784,-,-
27,Long-Term Leases,0.04,0.43,0.88,-,5.48,-,13.15,13.15,-,-
28,Long-Term Unearned Revenue,32.3,35.81,35.38,-,39.8,-,45.27,45.27,-,-
29,Other Long-Term Liabilities,67.6,57.78,54.93,-,49.37,-,28.18,28.18,-,-
30,Total Liabilities,1026,729.51,875.12,-,9093,-,8465,8465,-,-
31,Common Stock,0.31,0.31,0.31,-,0.09,-,0.08,0.08,-,-
32,Additional Paid-In Capital,-,12790,-,-,-,-,-,-,-,-
33,Retained Earnings,-9394,-9312,-9175,-,-5463,-,-4692,-4692,-,-
34,Treasury Stock,-,-0.01,-,-,-0.02,-,-0.02,-0.02,-,-
35,Comprehensive Income & Other,12245,-363.6,12392,-,-402.04,-,-355.49,-355.49,-,-
36,Total Common Equity,2851,3115,3217,-,-5865,-5047,-5047,-5047,-,-2644
37,Minority Interest,16.45,17.47,16.95,-,13.11,-,10.18,10.18,-,-
38,Shareholders' Equity,2867,3133,3234,-,-5852,-5037,-5037,-5037,-,-2636
39,Total Liabilities & Equity,3893,3862,4109,-,3240,-,3427,3427,-,-
40,Total Debt,152.62,4.84,8.38,-,8525,7027,7027,7027,-,4040
41,Net Cash (Debt),2276,2648,2723,-,-6322,-4561,-4561,-4561,-,-3411
42,Net Cash Per Share,5.20,5.99,6.40,-,-65.12,-46.98,-46.99,-46.99,-,-35.01
43,Filing Date Shares Outstanding,437.4,442.5,425.48,97.08,132.59,97.08,125.71,125.71,97.44,97.44
44,Total Common Shares Outstanding,437.4,450.94,425.48,97.08,132.59,97.08,125.71,125.71,97.44,97.44
45,Working Capital,2545,2766,2887,-,2325,-,-4565,-4565,-,-
46,Book Value Per Share,6.52,6.91,7.56,-,-44.24,-40.15,-40.15,-40.15,-,-26.25
47,Tangible Book Value,2799,3060,3160,-,-5914,-5100,-5100,-5100,-,-2681
48,Tangible Book Value Per Share,6.40,6.79,7.43,-,-44.60,-40.57,-40.57,-40.57,-,-26.62
49,Machinery,-,288.6,-,-,178.08,-,117.46,117.46,-,-
50,Construction In Progress,-,53.11,-,-,79.08,-,79.18,79.18,-,-
51,Leasehold Improvements,-,70.43,-,-,65.65,-,57.25,57.25,-,-
