,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Revenue,407.88,366.13,360.97,263.59,184.15,144.9,146.54,146.54,118.62,118.62
1,Revenue Growth (YoY),121.49%,152.68%,146.33%,79.87%,55.24%,22.15%,-,-,-,-
2,Cost of Revenue,336.67,312.05,316.49,240.63,165.52,150.78,182.74,182.74,102.07,102.07
3,Gross Profit,71.21,54.07,44.48,22.96,18.63,-5.88,-36.2,-36.2,16.56,16.56
4,"Selling, General & Admin",62.83,72.58,66.69,99.56,157.73,52.96,72.68,72.68,55.18,55.18
5,Research & Development,151.74,164.79,148.56,116.42,171.13,75.26,100.57,100.57,52.4,52.4
6,Other Operating Expenses,-35.27,-22.46,-11.58,-15.66,-7.26,-17.52,-10.41,-10.41,-4.79,-4.79
7,Operating Expenses,181.34,215.31,203.68,201.64,323.66,110.7,164.1,164.1,102.79,102.79
8,Operating Income,-110.13,-161.24,-159.19,-178.68,-305.03,-116.58,-200.3,-200.3,-86.23,-86.23
9,Interest Expense,-1.49,-1.2,-0.41,-0.79,-1.24,-0.64,-0.72,-0.72,-0.8,-0.8
10,Interest & Investment Income,25.29,27.07,28.59,23.5,20.47,17.27,9.15,9.15,1.58,1.58
11,Earnings From Equity Investments,3.24,1.67,3.17,-1.55,-0.45,-0.49,-,-,-,-
12,Currency Exchange Gain (Loss),-,-5.84,-,-,-40.97,-,-6.93,-6.93,-16.64,-16.64
13,Other Non Operating Income (Expenses),-,-,-2.8,-202.34,-97.76,-242,-534.94,-534.94,-207.38,-207.38
14,EBT Excluding Unusual Items,-83.09,-139.54,-130.64,-359.86,-424.98,-342.44,-733.75,-733.75,-309.47,-309.47
15,Gain (Loss) on Sale of Investments,-,4.2,-,-,-,-,0.56,0.56,-,-
16,Pretax Income,-83.09,-135.34,-130.64,-359.86,-424.98,-342.44,-733.19,-733.19,-309.47,-309.47
17,Income Tax Expense,0.12,1.51,0.03,1.24,0.46,0.4,0.37,0.37,0.03,0.03
18,Earnings From Continuing Operations,-83.21,-136.85,-130.67,-361.1,-425.45,-342.84,-733.56,-733.56,-309.5,-309.5
19,Minority Interest in Earnings,1.02,-0.52,-1.12,-2.24,-1.27,-1.66,-1.27,-1.27,0,0
20,Net Income,-82.19,-137.37,-131.79,-363.35,-426.72,-344.5,-734.83,-734.83,-309.49,-309.49
21,Net Income to Common,-82.19,-137.37,-131.79,-363.35,-426.72,-344.5,-734.83,-734.83,-309.49,-309.49
22,Shares Outstanding (Basic),437,442,425,97,97,97,97,97,97,97
23,Shares Outstanding (Diluted),437,442,425,97,97,97,97,97,97,97
24,Shares Change (YoY),350.54%,355.27%,338.28%,0.00%,-0.37%,-0.37%,-,-,-,-
25,EPS (Basic),-0.19,-0.31,-0.31,-3.74,-4.40,-3.55,-7.57,-7.57,-3.18,-3.18
26,EPS (Diluted),-0.19,-0.31,-0.31,-3.74,-4.40,-3.55,-7.57,-7.57,-3.18,-3.18
27,Free Cash Flow,-,-,-,-,-,-,-174.44,-174.44,-141.22,-141.22
28,Free Cash Flow Per Share,-,-,-,-,-,-,-1.80,-1.80,-1.45,-1.45
29,Gross Margin,17.46%,14.77%,12.32%,8.71%,10.12%,-4.06%,-24.71%,-24.71%,13.96%,13.96%
30,Operating Margin,-27.00%,-44.04%,-44.10%,-67.79%,-165.64%,-80.45%,-136.69%,-136.69%,-72.69%,-72.69%
31,Profit Margin,-20.15%,-37.52%,-36.51%,-137.85%,-231.72%,-237.75%,-501.46%,-501.46%,-260.91%,-260.91%
32,Free Cash Flow Margin,-,-,-,-,-,-,-119.04%,-119.04%,-119.05%,-119.05%
33,EBITDA,-94.09,-139.24,-143.15,-169.8,-291.83,-107.7,-189.75,-189.75,-79.03,-79.03
34,EBITDA Margin,-23.07%,-38.03%,-39.66%,-64.42%,-158.48%,-74.33%,-129.49%,-129.49%,-66.62%,-66.62%
35,D&A For EBITDA,16.04,22,16.04,8.88,13.19,8.88,10.55,10.55,7.2,7.2
36,EBIT,-110.13,-161.24,-159.19,-178.68,-305.03,-116.58,-200.3,-200.3,-86.23,-86.23
37,EBIT Margin,-27.00%,-44.04%,-44.10%,-67.79%,-165.64%,-80.45%,-136.69%,-136.69%,-72.69%,-72.69%
38,Advertising Expenses,-,3.05,-,-,0.87,-,-,-,-,-
