,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,11.02,11.02,9.82,9.82
1,Cost of Revenue,7.11,7.11,8.08,8.08
2,Gross Profit,3.92,3.92,1.74,1.74
3,"Selling, General & Admin",7.81,7.81,8.54,8.54
4,Research & Development,0.75,0.75,0.73,0.73
5,Other Operating Expenses,-0.35,-0.35,-0.7,-0.7
6,Operating Expenses,10.28,10.28,6.84,6.84
7,Operating Income,-6.37,-6.37,-5.1,-5.1
8,Interest Expense,-2.81,-2.81,-2.27,-2.27
9,Interest & Investment Income,0.33,0.33,0.54,0.54
10,Earnings From Equity Investments,-0.21,-0.21,-0.01,-0.01
11,Currency Exchange Gain (Loss),0.04,0.04,0.3,0.3
12,EBT Excluding Unusual Items,-9.02,-9.02,-6.53,-6.53
13,Gain (Loss) on Sale of Assets,0.02,0.02,0.34,0.34
14,Pretax Income,-9,-9,-6.19,-6.19
15,Income Tax Expense,-1.48,-1.48,-0.86,-0.86
16,Earnings From Continuing Operations,-7.52,-7.52,-5.33,-5.33
17,Minority Interest in Earnings,0.07,0.07,0.14,0.14
18,Net Income,-7.45,-7.45,-5.19,-5.19
19,Net Income to Common,-7.45,-7.45,-5.19,-5.19
20,Shares Outstanding (Basic),500,500,375,375
21,Shares Outstanding (Diluted),500,500,375,375
22,EPS (Basic),-0.01,-0.01,-0.01,-0.01
23,EPS (Diluted),-0.01,-0.01,-0.01,-0.01
24,Free Cash Flow,-9.06,-9.06,-19.94,-19.94
25,Free Cash Flow Per Share,-0.02,-0.02,-0.05,-0.05
26,Gross Margin,35.53%,35.53%,17.74%,17.74%
27,Operating Margin,-57.79%,-57.79%,-51.89%,-51.89%
28,Profit Margin,-67.57%,-67.57%,-52.85%,-52.85%
29,Free Cash Flow Margin,-82.25%,-82.25%,-203.03%,-203.03%
30,EBITDA,-4.32,-4.32,-3.31,-3.31
31,EBITDA Margin,-39.24%,-39.24%,-33.66%,-33.66%
32,D&A For EBITDA,2.04,2.04,1.79,1.79
33,EBIT,-6.37,-6.37,-5.1,-5.1
34,EBIT Margin,-57.79%,-57.79%,-51.89%,-51.89%
