,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,237.69,237.69,213,213
1,Cost of Revenue,155.97,155.97,138.69,138.69
2,Gross Profit,81.72,81.72,74.31,74.31
3,"Selling, General & Admin",58.64,58.64,52.63,52.63
4,Other Operating Expenses,-0.3,-0.3,-0.18,-0.18
5,Operating Expenses,58.34,58.34,52.46,52.46
6,Operating Income,23.38,23.38,21.86,21.86
7,Interest Expense,-1.34,-1.34,-1.35,-1.35
8,Pretax Income,22.03,22.03,20.51,20.51
9,Income Tax Expense,4.23,4.23,6.12,6.12
10,Net Income,17.8,17.8,14.39,14.39
11,Net Income to Common,17.8,17.8,14.39,14.39
12,Shares Outstanding (Basic),311,311,311,311
13,Shares Outstanding (Diluted),311,311,311,311
14,EPS (Basic),0.06,0.06,0.05,0.05
15,EPS (Diluted),0.06,0.06,0.05,0.05
16,Free Cash Flow,-4.24,-4.24,-29.25,-29.25
17,Free Cash Flow Per Share,-0.01,-0.01,-0.09,-0.09
18,Gross Margin,34.38%,34.38%,34.89%,34.89%
19,Operating Margin,9.84%,9.84%,10.26%,10.26%
20,Profit Margin,7.49%,7.49%,6.75%,6.75%
21,Free Cash Flow Margin,-1.78%,-1.78%,-13.73%,-13.73%
22,EBITDA,31.74,31.74,28.89,28.89
23,EBITDA Margin,13.35%,13.35%,13.56%,13.56%
24,D&A For EBITDA,8.36,8.36,7.04,7.04
25,EBIT,23.38,23.38,21.86,21.86
26,EBIT Margin,9.84%,9.84%,10.26%,10.26%
27,Effective Tax Rate,19.20%,19.20%,29.86%,29.86%
