,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Debt / Equity Ratio,0.21,0.21,0.21,-,0.29
1,Debt / EBITDA Ratio,1.10,0.73,0.73,-,0.86
2,Asset Turnover,0.98,-,-,-,
3,Inventory Turnover,-,2.05,-,-,-
4,Quick Ratio,2.06,2.06,2.06,-,-
5,Current Ratio,2.55,2.55,2.55,-,-
6,Return on Equity (ROE),20.94%,-,-,-,
7,Return on Assets (ROA),10.83%,-,-,-,
8,Return on Capital (ROIC),12.81%,-,-,-,
9,Return on Capital Employed (ROCE),14.25%,22.09%,16.23%,-,-
