,Fiscal Quarter,Current,Q1 2024,Q1 2023,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Debt / Equity Ratio,0.01,0.01,0.03,0.03,0.03,0.02,0.02
1,Asset Turnover,-,-,0.31,0.30,0.20,-,
2,Inventory Turnover,-,-,-,60.92,14.16,5.01,-
3,Quick Ratio,4.19,4.19,-,4.46,4.46,6.55,6.55
4,Current Ratio,4.46,4.46,-,4.61,4.61,6.85,6.85
5,Return on Equity (ROE),-,-,-45.55%,-42.61%,-19.77%,-,
6,Return on Assets (ROA),-,-,-19.09%,-18.71%,-13.19%,-,
7,Return on Capital (ROIC),-,-,-23.78%,-22.31%,-15.12%,-,
8,Buyback Yield / Dilution,-15.22%,1.51%,1.51%,-,-,-,-
9,Total Shareholder Return,-15.22%,1.51%,1.51%,-,-,-,-
