,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Investments in Debt Securities,3429264,3198217,-,2933680,1740750,2686798,1617635,2453647,1571231,2377114,1531012,2327297,1471596,2039095,1246052,1770179,1115462,1494639,954504,1438542,Upgrade
1,Investments in Equity & Preferred Securities,282844,360448,266428,1293414,258339,1197913,264070,1119844,268320,1075955,266818,893696,251957,905174,248587,874377,226969,786468,227480,772149,Upgrade
2,Policy Loans,-,-,-,270486,-,267081,-,254407,-,249190,-,236209,-,225184,-,204252,-,188154,-,178249,Upgrade
3,Other Investments,621522,555648,3541925,420115,2496797,488841,2346782,521925,2139733,553107,1962158,539762,1886213,561669,1852203,552875,1650070,597458,1624470,536236,Upgrade
4,Total Investments,6274693,5989631,5668992,5184327,4758834,4894997,4474258,4586798,4206336,4470107,3962652,4217102,3799091,3916280,3514531,3577464,3169049,3230566,2958389,3078923,Upgrade
5,Cash & Equivalents,76479,85485,257878,103138,158633,150006,174288,85645,121213,62866,82882,55819,57837,52187,86022,36261,54463,50009,72038,30517,Upgrade
6,Reinsurance Recoverable,26994,26542,25920,7973,8677,7748,7613,7840,8600,7560,6947,6630,7071,6297,6153,6095,5929,5273,4984,5161,Upgrade
7,Other Receivables,-,-,-,422361,722188,445106,710999,426564,705444,524590,783271,522837,792755,564671,788087,535879,757297,573065,765618,505598,Upgrade
8,Separate Account Assets,-,-,-,8416,2291,533,227,7,7,8,8,9,9,9,9,10,10,10,10,10,Upgrade
9,"Property, Plant & Equipment",54417,54821,54262,54774,54595,54929,55134,55887,54527,55156,55635,57388,55078,55322,54808,54846,53087,53731,53503,54240,Upgrade
10,Other Intangible Assets,8172,8254,8273,8369,8340,8374,8443,8532,8396,8441,8335,8507,8140,8201,8258,8341,8021,8057,8086,8070,Upgrade
11,Restricted Cash,-,4902,-,46428,-,45490,-,43308,-,31895,-,5075,-,29853,-,21372,-,32713,-,24565,Upgrade
12,Other Current Assets,-,-,-,4626,-,711,-,4789,-,1737,-,7546,-,8869,-,2799,-,4541,-,7209,Upgrade
13,Long-Term Deferred Tax Assets,9442,19736,25008,30287,33925,26276,19629,22307,11362,136,3861,121,115,120,161,87,137,128,159,128,Upgrade
14,Long-Term Deferred Charges,-,-,-,473,-,439,-,525,-,627,-,822,-,865,-,1062,-,935,-,1120,Upgrade
15,Other Long-Term Assets,31357,33267,30510,17307,11884,9251,11995,9782,12200,10401,12254,10624,12100,10119,11956,8250,11715,7005,11932,11193,Upgrade
16,Total Assets,6481554,6222638,6070843,5888479,5759367,5643860,5462586,5251984,5128085,5173524,4915845,4892480,4732196,4652793,4469985,4252466,4059708,3966033,3874719,3726734,Upgrade
17,Accrued Expenses,6015,7392,7835,17106,12914,21287,18893,19773,14128,16904,18451,19074,15057,17038,17731,20258,15185,19994,22594,21643,Upgrade
18,Insurance & Annuity Liabilities,5574084,-,5241249,4860000,4792738,4735033,4580699,4338672,4259122,4192357,4086219,3843528,3763916,3702568,3589589,3369850,3281495,3227652,3128672,2922158,Upgrade
19,Unpaid Claims,-,66109,-,91053,93380,94305,90240,86972,88479,88729,85435,83052,83576,82277,78391,77022,77181,76781,72976,69423,Upgrade
20,Unearned Premiums,2111,5353817,2141,64038,63781,35210,35208,63938,28636,33808,3062,62761,28925,33783,35476,67722,41565,32344,32888,73899,Upgrade
21,Reinsurance Payable,311,265,263,748,1460,1553,1001,998,1564,1443,1082,808,1813,1045,486,1036,1514,1343,1020,817,Upgrade
22,Current Portion of Long-Term Debt,12632,-,-,12719,-,3387,-,12255,-,-,-,794,-,845,-,-,-,3185,-,3126,Upgrade
23,Current Portion of Leases,-,777,-,757,-,896,-,919,-,1024,-,1093,-,1177,-,1273,-,1336,-,1331,Upgrade
24,Short-Term Debt,122003,112081,166406,216704,154614,127944,79630,148954,89245,176883,81262,240922,189299,171457,110049,123890,72222,49953,64853,119203,Upgrade
25,Current Income Taxes Payable,1249,1102,1966,309,992,151,1534,238,1075,276,1328,248,1145,215,4756,191,1274,181,3235,223,Upgrade
26,Long-Term Debt,34994,12657,12890,34999,47635,44520,47643,35516,53179,52528,51951,51946,52600,51810,52890,52907,53369,50341,54096,50794,Upgrade
27,Long-Term Leases,1294,547,1239,498,1280,493,1459,650,1790,907,2007,1089,2317,1325,2452,1391,2721,1624,2951,1760,Upgrade
28,Long-Term Deferred Tax Liabilities,-,-,-,1549,647,1289,732,272,545,3815,316,7481,8932,14261,10320,15286,7254,10151,5472,10330,Upgrade
29,Separate Account Liability,-,-,-,8416,2291,533,227,7,7,8,8,9,9,9,9,10,10,10,10,10,Upgrade
30,Other Current Liabilities,25482,23373,17798,1136,10,15304,-,1274,-,26800,90665,1159,-,19455,-,965,-,21970,-,1008,Upgrade
31,Other Long-Term Liabilities,123764,140385,128308,107562,136157,102886,135044,95372,128201,88411,20669,89371,106212,75411,92891,62287,81838,45957,66449,40742,Upgrade
32,Total Liabilities,5903939,5718505,5580095,5418437,5307899,5184881,4992310,4806863,4665971,4685367,4442455,4405346,4253801,4174130,3995040,3795529,3635628,3543856,3455216,3317392,Upgrade
33,Common Stock,28265,28265,28265,28265,28265,28265,28265,28265,28265,28265,28265,28265,28265,28265,28265,28265,28265,28265,28265,28265,Upgrade
34,Additional Paid-In Capital,53952,53937,-,53934,-,53953,-,53554,-,54003,54215,55004,54250,54348,-,53999,-,55185,-,55009,Upgrade
35,Retained Earnings,561875,494653,488730,366524,361636,361583,377162,359277,358529,352828,360895,345493,343315,335788,341496,312930,309780,293237,300626,283536,Upgrade
36,Comprehensive Income & Other,-77388,-83021,-36589,11387,51977,5561,55537,-4927,66652,44754,21733,50299,45002,53048,97986,54862,79457,39219,84824,36954,Upgrade
