,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Other Revenue,0.02,0.02,2,3,3,0.09
1,Revenue,0.02,0.02,2,3,3,0.09
2,Revenue Growth (YoY),-99.37%,-77.91%,-,-,-,-
3,Gross Profit,0.02,0.02,2,3,3,0.09
4,"Selling, General & Admin",7.64,7.64,3.55,16.57,16.57,1.43
5,Research & Development,18.85,18.85,9.05,12.31,12.31,15.15
6,Other Operating Expenses,-,-,-14.58,-,-,-0.07
7,Operating Expenses,26.49,26.49,-1.99,28.87,28.87,16.51
8,Operating Income,-26.47,-26.47,3.99,-25.87,-25.87,-16.42
9,Interest Expense,-0.28,-0.28,-0.22,-0.11,-0.11,-1.35
10,Interest & Investment Income,0.87,0.87,2.78,0.01,0.01,0
11,Currency Exchange Gain (Loss),1.44,1.44,-2.93,0.01,0.01,-0.01
12,Other Non Operating Income (Expenses),5.89,5.89,-60.92,-4.78,-4.78,-0.76
13,EBT Excluding Unusual Items,-18.55,-18.55,-57.3,-30.74,-30.74,-18.53
14,Gain (Loss) on Sale of Investments,0.51,0.51,-,-,-,-0.06
15,Pretax Income,-18.04,-18.04,-57.3,-30.74,-30.74,-18.6
16,Net Income,-18.04,-18.04,-57.3,-30.74,-30.74,-18.6
17,Net Income to Common,-18.04,-18.04,-57.3,-30.74,-30.74,-18.6
18,Shares Outstanding (Basic),106,106,94,92,92,91
19,Shares Outstanding (Diluted),106,106,94,92,92,91
20,Shares Change (YoY),15.01%,15.96%,-,-,-,-
21,EPS (Basic),-0.17,-0.17,-0.61,-0.34,-0.34,-0.20
22,EPS (Diluted),-0.17,-0.17,-0.61,-0.34,-0.34,-0.20
23,Free Cash Flow,-62.66,-62.66,-10.33,-9.02,-9.02,-11.09
24,Free Cash Flow Per Share,-0.59,-0.59,-0.11,-0.10,-0.10,-0.12
25,Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
26,Operating Margin,-139315.79%,-139315.79%,199.20%,-862.33%,-862.33%,-19096.51%
27,Profit Margin,-94939.47%,-94939.47%,-2860.51%,-1024.82%,-1024.82%,-21622.09%
28,Free Cash Flow Margin,-329807.89%,-329807.89%,-515.88%,-300.65%,-300.65%,-12889.53%
29,EBITDA,-24.79,-24.79,5.59,-24.27,-24.27,-14.62
30,EBITDA Margin,-,-,278.98%,-,-,-
31,D&A For EBITDA,1.68,1.68,1.6,1.6,1.6,1.81
32,EBIT,-26.47,-26.47,3.99,-25.87,-25.87,-16.42
33,EBIT Margin,-,-,199.20%,-,-,-
