,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,2.03,-,1.37,-,-,25.91,-,-,-,-
1,Other Revenue,4.05,-4.08,7.1,-3.43,7.46,0.74,-,12.76,-,-
2,Revenue,6.08,-4.08,8.47,-3.43,7.46,26.66,-,12.76,-,-
3,Revenue Growth (YoY),-28.20%,-,13.57%,-,-,108.91%,-,-,-,-
4,Cost of Revenue,1.48,-,0.94,-,-,-,-,-,-,-
5,Gross Profit,4.6,-4.08,7.53,-3.43,7.46,26.66,-,12.76,-,-
6,"Selling, General & Admin",34.21,47.42,50.2,48.74,33.85,100.54,32.86,21.98,50.03,49.53
7,Research & Development,55.04,68.66,66.75,98.24,82.13,109.13,89.98,55.59,47.82,181.56
8,Operating Expenses,89.24,116.07,116.95,146.98,115.98,209.67,122.84,77.57,97.85,231.09
9,Operating Income,-84.64,-120.15,-109.42,-150.4,-108.52,-183.01,-122.84,-64.81,-97.85,-231.09
10,Interest Expense,-3.29,-3.38,-3.2,-2.82,-2.14,-3.32,-2.5,-0.89,-1.52,-1.03
11,Interest & Investment Income,-,6.18,-,9.58,-,16.73,-,17.35,-,2.99
12,Earnings From Equity Investments,-,-,-,-2.21,-3.19,-2.62,-1.67,-0.75,-,-
13,Currency Exchange Gain (Loss),-2.89,7.16,-19.97,-32.35,-29.55,7.48,2.39,-2.04,2.04,-0.54
14,Other Non Operating Income (Expenses),-0.07,1.23,-1.55,1.42,-0.84,-8.8,9.97,15.96,9.91,-0.27
15,EBT Excluding Unusual Items,-90.89,-108.96,-134.15,-176.77,-144.24,-173.55,-114.65,-35.18,-87.42,-229.94
16,Gain (Loss) on Sale of Investments,0.26,-0.05,0.05,39.32,0.45,-0.25,0.25,-6.58,6.58,-
17,Gain (Loss) on Sale of Assets,-,-,-,-1.44,-,-,-,-,-,-
18,Asset Writedown,-,-,-,-1.48,-,-,-,-,-,-
19,Pretax Income,-90.62,-109.02,-134.1,-140.37,-143.79,-173.79,-114.4,-41.76,-80.84,-229.94
20,Net Income,-90.62,-109.02,-134.1,-140.37,-143.79,-173.79,-114.4,-41.76,-80.84,-229.94
21,Net Income to Common,-90.62,-109.02,-134.1,-140.37,-143.79,-173.79,-114.4,-41.76,-80.84,-229.94
22,Shares Outstanding (Basic),1071,1018,1018,996,988,988,1002,1006,1006,874
23,Shares Outstanding (Diluted),1071,1018,1018,996,988,988,1002,1006,1006,874
24,Shares Change (YoY),5.26%,2.26%,3.02%,0.78%,-1.36%,-1.81%,-0.45%,15.10%,25.92%,-
25,EPS (Basic),-0.08,-0.11,-0.13,-0.14,-0.15,-0.18,-0.11,-0.04,-0.08,-0.26
26,EPS (Diluted),-0.08,-0.11,-0.13,-0.14,-0.15,-0.18,-0.11,-0.04,-0.08,-0.26
27,Free Cash Flow,-98.69,-113.18,-124,-207.03,-206.26,-188.9,-156.4,-135.23,-82.06,-216.13
28,Free Cash Flow Per Share,-0.09,-0.11,-0.12,-0.21,-0.21,-0.19,-0.16,-0.13,-0.08,-0.25
29,Operating Margin,-1391.91%,-,-1292.05%,-,-1455.32%,-686.55%,-,-507.88%,-,-
30,Profit Margin,-1490.25%,-,-1583.37%,-,-1928.26%,-651.95%,-,-327.27%,-,-
31,Free Cash Flow Margin,-1622.86%,-,-1464.20%,-,-2765.96%,-708.63%,-,-1059.83%,-,-
32,EBITDA,-75.08,-108.33,-102.11,-140.48,-103.81,-175.61,-120.82,-62.38,-96.23,-229.76
33,D&A For EBITDA,9.57,11.82,7.32,9.92,4.71,7.41,2.02,2.43,1.61,1.33
34,EBIT,-84.64,-120.15,-109.42,-150.4,-108.52,-183.01,-122.84,-64.81,-97.85,-231.09
