,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,6.14,8.55,8.28,8.8,8.96,8.56,9.31,9.52,10.09,11.03
1,Short-Term Investments,1.51,0.99,0.87,0.69,0.74,0.91,0.63,0.45,0.23,0.21
2,Cash & Short-Term Investments,7.65,9.53,9.15,9.49,9.7,9.47,9.93,9.97,10.33,11.24
3,Cash Growth,-16.39%,0.43%,-5.64%,0.22%,-2.36%,-5.03%,-3.79%,-11.28%,-,-
4,Accounts Receivable,31.74,24.08,25.05,25.02,29.96,26.03,28.09,25.81,26.43,41.6
5,Other Receivables,0.48,0.52,1.38,1.57,1.55,0.52,0.92,0.25,0.64,0.37
6,Receivables,32.23,24.6,26.43,26.59,31.51,26.55,29.02,26.06,27.07,41.97
7,Prepaid Expenses,0.44,0.36,0.24,0.34,0.29,0.4,0.43,0.48,0.44,0.32
8,Other Current Assets,-,-,-,1.26,-,-,0.1,0.8,4.72,-
9,Total Current Assets,40.32,34.49,35.81,37.68,41.49,36.41,39.49,37.31,42.56,53.53
10,"Property, Plant & Equipment",11.82,11.33,11.21,10.7,13.44,16.12,17.73,19.21,20.37,20.72
11,Long-Term Investments,1.29,1.79,1.28,2.35,1.84,2.37,2.36,2.33,2.32,1.13
12,Other Long-Term Assets,16.22,14.8,15.31,14.65,16.66,16.14,16.14,16.25,16.24,17.91
13,Total Assets,69.65,62.41,63.61,65.39,73.44,71.04,75.74,75.09,81.49,93.3
14,Accounts Payable,7.07,6.76,4.27,4.61,4.28,3.64,4.83,5.02,3.78,5.57
15,Accrued Expenses,8.93,4.08,7.62,7.39,9.61,8.5,7.17,2.24,3.85,5.09
16,Short-Term Debt,4.48,4.7,4.61,4.28,4.36,5.7,6,5.61,7.76,5.24
17,Current Portion of Long-Term Debt,6.05,6.12,6.13,4.94,5.78,4.25,4.35,3.72,2.42,4.46
18,Current Portion of Leases,0.75,0.35,0.42,0.83,1.06,1.07,1.79,2.1,2.16,1.72
19,Current Income Taxes Payable,-,-,-,-,-,-,-,-,0.06,1
20,Current Unearned Revenue,3.9,0.19,0.03,0.2,0.02,0.13,0.33,-,0.03,-
21,Other Current Liabilities,4.01,4.25,4.23,4.68,5.12,4.72,4,3.38,3.02,3.56
22,Total Current Liabilities,35.18,26.46,27.32,26.94,30.22,28.01,28.49,22.07,23.1,26.64
23,Long-Term Debt,5.81,6.38,7.18,7.96,12.65,13.72,14.73,15.68,14.06,9.48
24,Long-Term Leases,1.48,1.36,1.15,1.22,1.57,1.65,2.03,2.76,2.45,2.7
25,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,0.2,0.2,0.3
26,Total Liabilities,42.47,34.2,35.65,36.12,44.44,43.39,45.25,40.7,39.8,39.12
27,Common Stock,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
28,Additional Paid-In Capital,18.74,18.74,18.74,18.74,18.74,18.74,18.74,-,18.74,18.74
29,Retained Earnings,-1.19,-0.15,-0.4,0.91,0.63,-0.71,2.13,-,13.32,25.82
30,Comprehensive Income & Other,8.77,8.77,8.77,8.77,8.77,8.77,8.77,33.55,8.77,8.77
31,Shareholders' Equity,27.17,28.21,27.96,29.28,29,27.65,30.49,34.39,41.68,54.18
32,Total Liabilities & Equity,69.65,62.41,63.61,65.39,73.44,71.04,75.74,75.09,81.49,93.3
33,Total Debt,18.56,18.91,19.5,19.23,25.41,26.4,28.91,29.86,28.86,23.59
34,Net Cash (Debt),-10.91,-9.38,-10.34,-9.74,-15.71,-16.93,-18.97,-19.89,-18.54,-12.35
35,Net Cash Per Share,-0.02,-0.02,-0.02,-0.02,-0.03,-0.04,-0.04,-0.04,-0.04,-0.03
36,Filing Date Shares Outstanding,480,480,480,480,480,480,480,480,480,480
37,Total Common Shares Outstanding,480,480,480,480,480,480,480,480,480,480
38,Working Capital,5.13,8.03,8.49,10.74,11.27,8.4,11.01,15.25,19.46,26.89
39,Book Value Per Share,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.09,0.11
40,Tangible Book Value,27.17,28.21,27.96,29.28,29,27.65,30.49,34.39,41.68,54.18
41,Tangible Book Value Per Share,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.09,0.11
42,Land,-,-,-,-,1.16,-,2.44,-,2.44,-
43,Buildings,2.74,1.85,1.31,1.31,1.87,4.29,1.86,3.55,1.81,3.55
44,Machinery,16.07,15.16,14.93,15.2,15.95,18.94,19.27,21.71,21.52,15.71
45,Leasehold Improvements,11.02,1.34,11.02,1.34,11.23,1.7,1.7,1.7,1.7,1.7
