,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,7176,6833,6907,6152,5182,4984,4719,4468,4305,4303,Upgrade
1,Revenue Growth (YoY),3.90%,11.07%,33.28%,23.43%,9.81%,11.56%,9.63%,3.84%,5.25%,15.73%,Upgrade
2,Cost of Revenue,3831,3712,3693,3437,2928,2869,2623,2460,2507,2402,Upgrade
3,Gross Profit,3344,3122,3213,2715,2254,2115,2096,2008,1798,1900,Upgrade
4,"Selling, General & Admin",1061,1028,1356,1215,1151,1242,1090,1187,1039,1095,Upgrade
5,Research & Development,446.8,-338.68,338.68,-242.61,242.61,-203.17,203.17,-162.76,162.76,-118.56,Upgrade
6,Other Operating Expenses,83.02,772.11,6.28,602.59,1.02,494.34,0.61,336.66,16.52,377.58,Upgrade
7,Operating Expenses,1629,1454,1714,1552,1402,1535,1295,1356,1220,1346,Upgrade
8,Operating Income,1715,1668,1500,1163,852.11,580.62,801.07,652.54,578.1,554.11,Upgrade
9,Interest Expense,-25.17,-28.16,-38.74,-59.79,-21.8,-27.87,-32.36,-54.23,-127.05,-142.88,Upgrade
10,Interest & Investment Income,57.6,53.98,51.43,41.23,29.51,49.17,33.61,55.51,57.28,33.24,Upgrade
11,Earnings From Equity Investments,-0.18,-0.02,0.17,-0.19,-,-,-,-,-,-,Upgrade
12,Currency Exchange Gain (Loss),30.77,-53.63,50.68,26.89,-48.57,32.88,9.79,10.35,-40.67,-9.26,Upgrade
13,Other Non Operating Income (Expenses),182.79,43.96,63.62,50.85,47.57,-148.39,-78.51,-83.6,-179.42,-132.83,Upgrade
14,EBT Excluding Unusual Items,1961,1684,1627,1222,858.83,486.4,733.61,580.57,288.24,302.38,Upgrade
15,Gain (Loss) on Sale of Investments,29.63,36,36.74,17.97,-,-0.47,0.47,-,-,-,Upgrade
16,Gain (Loss) on Sale of Assets,-0.44,-1.37,-2.33,-1.59,-2.8,13.76,-17.06,5.88,37.66,199.56,Upgrade
17,Asset Writedown,-88.33,13.7,-56.09,-61.08,-19.26,-19.25,-,1.39,-,2.96,Upgrade
18,Other Unusual Items,-0.16,0.03,7,2.58,-9.81,-,5.19,-31.4,-,-,Upgrade
19,Pretax Income,1902,1732,1612,1180,826.95,480.44,722.2,556.44,325.9,504.9,Upgrade
20,Income Tax Expense,410.71,315.39,327.92,228.31,197.44,115.48,97.59,58.36,123.06,159.05,Upgrade
21,Earnings From Continuing Operations,1491,1417,1284,951.51,629.52,364.97,624.62,498.08,202.84,345.85,Upgrade
22,Minority Interest in Earnings,0.41,0.25,0.26,0.07,-,0.06,-1.54,2.07,-,-,Upgrade
23,Net Income,1491,1417,1284,951.58,629.52,365.02,623.08,500.15,202.84,345.85,Upgrade
24,Net Income to Common,1491,1417,1284,951.58,629.52,365.02,623.08,500.15,202.84,345.85,Upgrade
25,Net Income Growth,16.11%,48.90%,104.04%,160.69%,1.03%,-27.02%,207.18%,44.62%,-31.46%,-41.56%,Upgrade
26,Shares Outstanding (Basic),1817,1817,1817,1817,1822,1840,1840,1838,1694,1640,Upgrade
27,Shares Outstanding (Diluted),1817,1817,1817,1817,1822,1840,1840,1838,1694,1640,Upgrade
28,Shares Change (YoY),-,-0.01%,-0.28%,-1.22%,-0.99%,0.12%,8.62%,12.06%,3.33%,-19.66%,Upgrade
29,EPS (Basic),0.82,0.78,0.71,0.52,0.35,0.20,0.34,0.27,0.12,0.21,Upgrade
30,EPS (Diluted),0.82,0.78,0.71,0.52,0.35,0.20,0.34,0.27,0.12,0.21,Upgrade
31,EPS Growth,16.11%,48.92%,104.62%,163.90%,2.04%,-27.10%,182.84%,29.06%,-33.67%,-14.04%,Upgrade
32,Free Cash Flow,1066,437.49,727.47,909.77,341.23,543.39,517,531.29,505.78,727.63,Upgrade
33,Free Cash Flow Per Share,0.59,0.24,0.40,0.50,0.19,0.30,0.28,0.29,0.30,0.44,Upgrade
34,Dividend Per Share,0.160,0.280,0.120,0.140,0.050,0.080,0.040,-,-,-,Upgrade
35,Dividend Growth,33.33%,100.00%,140.00%,75.00%,25.00%,-,-,-,-,-,Upgrade
36,Operating Margin,23.90%,24.40%,21.71%,18.90%,16.44%,11.65%,16.98%,14.61%,13.43%,12.88%,Upgrade
37,Profit Margin,20.78%,20.73%,18.60%,15.47%,12.15%,7.32%,13.20%,11.19%,4.71%,8.04%,Upgrade
38,Free Cash Flow Margin,14.86%,6.40%,10.53%,14.79%,6.59%,10.90%,10.96%,11.89%,11.75%,16.91%,Upgrade
39,EBITDA,2012,1908,1797,1400,1139,878.75,1099,950.02,876.98,868.88,Upgrade
40,D&A For EBITDA,297.06,240.58,297.43,236.63,287.04,298.13,297.93,297.48,298.88,314.77,Upgrade
41,EBIT,1715,1668,1500,1163,852.11,580.62,801.07,652.54,578.1,554.11,Upgrade
