Stock Symbol,Date,Stock Price
4336,2024-09-30,1619.2
4336,2024-06-30,1618.8
4336,2024-03-31,599.408
4336,2023-12-31,599.088
4336,2023-09-30,598.768
4336,2023-06-30,598.449
4336,2023-03-31,598.13
4336,2022-12-31,597.871
4336,2022-09-30,597.611
4336,2022-06-30,597.352
4336,2022-03-31,696.653
4336,2021-12-31,696.414
4336,2021-09-30,696.175
4336,2021-06-30,451.28
4336,2021-03-31,451.042
4336,2020-12-31,450.823
4336,2020-09-30,450.605
4336,2020-06-30,275.703
4336,2020-03-31,275.485
4336,2019-12-31,275.276
