,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+18 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+18 Quarters
0,Cash & Equivalents,21092,22461,24952,24554,21110,21762,29382,31475,32917,33794,-,28124,29673,22523,13887,20160,20202,18966,23262,16720,Upgrade
1,Investment Securities,50050,42516,68157,49257,62231,50579,58695,44698,50278,36294,-,32958,40350,29482,44346,31984,35976,29071,29535,35406,Upgrade
2,Trading Asset Securities,670.06,670.06,667.47,667.38,906.14,825.41,1669,1909,2051,1510,-,2552,2606,3022,3711,3200,5230,6606,7834,9538,Upgrade
3,Total Investments,50720,43187,68824,49924,63137,51404,60364,46607,52329,37804,-,35510,42955,32504,48057,35184,41205,35677,37369,44945,Upgrade
4,Gross Loans,183950,181497,181590,178421,177751,179370,176515,172234,167441,174174,-,157135,146133,142131,136863,130249,120864,110509,102666,96352,Upgrade
5,Allowance for Loan Losses,-,-6792,-,-6554,-,-6129,-,-5360,-,-5575,-,-4628,-,-4207,-3833,-3502,-,-3199,-,-2710,Upgrade
6,Other Adjustments to Gross Loans,-,-323.97,-,-309.76,-,-161.38,-,-204.37,-,-259.28,-,-285.27,-,-233.83,-,-172.08,-,-184.92,-,-247.83,Upgrade
7,Net Loans,183950,174382,181590,171557,177751,173079,176515,166670,167441,168340,-,152222,146133,137690,133030,126575,120864,107126,102666,93394,Upgrade
8,"Property, Plant & Equipment",2706,2896,2809,3030,2988,3183,3126,3293,3177,3690,-,3880,3380,3775,3428,3914,4125,4632,4519,4778,Upgrade
9,Goodwill,15.13,15.13,15.13,15.13,15.13,15.13,15.13,15.13,15.13,401.34,-,401.34,401.33,401.34,401.33,401.34,401.33,401.34,401.33,401.34,Upgrade
10,Other Intangible Assets,96.49,-,98.13,-,99.53,-,102.68,-,105.03,-,-,-,86.64,-,93.08,-,76.47,-,85.57,-,Upgrade
11,Accrued Interest Receivable,-,7421,-,5104,-,2498,-,4011,-,252.44,-,598.96,-,1695,1231,874.29,-,1741,-,939.85,Upgrade
12,Other Receivables,-,330.21,-,277.7,-,406.31,-,233.45,-,291.84,-,256.87,-,319.91,-,276.54,-,265.6,6244,106.58,Upgrade
13,Restricted Cash,-,11589,-,12595,-,12657,-,12633,-,12705,-,11578,-,12776,-,11543,-,9718,-,10876,Upgrade
14,Other Current Assets,-,15.95,-,31.67,-,-,-,27.93,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Long-Term Deferred Tax Assets,1676,1635,1398,1644,1202,1405,1112,1219,1062,1288,-,1004,931.43,920.97,899.57,773.22,698.51,659.06,658.73,561.5,Upgrade
16,Other Real Estate Owned & Foreclosed,-,1014,-,917.68,-,741.4,-,683.82,-,762.31,-,413.06,-,504.17,-,503.28,-,385.94,-,338.2,Upgrade
17,Other Long-Term Assets,1804,16.52,1807,7.56,1698,8.79,1456,7.94,1284,16.12,-,15.33,1277,30.24,1170,13.55,1188,15.21,963.49,63.04,Upgrade
