,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,85.19,78.91,72.46,81.41,67.97,68.85,59.12,57.34
1,Revenue Growth (YoY),17.57%,-3.07%,6.59%,18.24%,14.97%,20.08%,-,-
2,Cost of Revenue,26.5,23.13,24.23,23.14,23.23,21.14,18.5,16.79
3,Gross Profit,58.69,55.78,48.23,58.27,44.74,47.71,40.62,40.55
4,"Selling, General & Admin",31.28,31.41,26,28.84,27.92,27.21,27.29,22.77
5,Research & Development,9.65,7.4,7.51,6.87,7.39,6.72,6.42,5.73
6,Other Operating Expenses,-0.27,-0.17,-0.71,-1.43,-0.53,-0.4,-0.89,-0.51
7,Operating Expenses,40.65,39,32.86,34.27,34.63,33.94,32.87,27.83
8,Operating Income,18.04,16.77,15.37,24,10.12,13.78,7.76,12.72
9,Interest Expense,-0.09,-0.13,-0.07,-0.06,-0.06,-1.41,-4.56,-1.05
10,Interest & Investment Income,5.72,6.2,6.41,4.25,2.14,0.25,0.01,0.01
11,Earnings From Equity Investments,-0.85,-0.66,-0.57,-0.27,-0.13,-0.07,-0.06,-0.15
12,Currency Exchange Gain (Loss),0.03,-0.75,0.33,-0.69,0.23,-1.2,-0.45,-0.45
13,Other Non Operating Income (Expenses),-,-,-0.01,-,-0.01,-,-0,-0
14,EBT Excluding Unusual Items,22.86,21.44,21.47,27.23,12.3,11.35,2.7,11.08
15,Impairment of Goodwill,-1.57,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,-0.13,-0.16,0.18,0.79,-0.13,-1.35,-0.01,-0.04
17,Gain (Loss) on Sale of Assets,-0.01,-,-0.05,-,-0.03,-,-0.06,-0.02
18,Asset Writedown,-,-,-,-,-0.03,-0.31,-,-
19,Other Unusual Items,-0.03,-,0,0.01,-,0,-8.93,-6.03
20,Pretax Income,21.12,21.29,21.6,28.03,12.1,9.69,-6.3,4.98
21,Income Tax Expense,0.15,2.41,1.71,2.85,1.65,1.65,1.47,1.66
22,Earnings From Continuing Operations,20.97,18.87,19.89,25.18,10.45,8.04,-7.77,3.32
23,Minority Interest in Earnings,-0.09,-0.05,-,-,-,-,-,-
24,Net Income,20.89,18.83,19.89,25.18,10.45,8.04,-7.77,3.32
25,Net Income to Common,20.89,18.83,19.89,25.18,10.45,8.04,-7.77,3.32
26,Net Income Growth,5.02%,-25.24%,90.26%,213.34%,-,142.01%,-,-
27,Shares Outstanding (Basic),825,827,828,828,589,577,577,577
28,Shares Outstanding (Diluted),826,827,835,831,770,783,577,577
29,Shares Change (YoY),-1.09%,-0.52%,8.49%,6.10%,33.42%,35.74%,-,-
30,EPS (Basic),0.03,0.02,0.02,0.03,0.02,0.01,-0.01,0.01
31,EPS (Diluted),0.03,0.02,0.02,0.03,0.01,0.01,-0.01,0.01
32,EPS Growth,6.24%,-24.83%,75.34%,153.15%,-,107.94%,-,-
33,Free Cash Flow,-,1.56,6.9,10.53,7.54,12.99,5.66,13.59
34,Free Cash Flow Per Share,-,0.00,0.01,0.01,0.01,0.02,0.01,0.02
35,Operating Margin,21.18%,21.26%,21.21%,29.48%,14.88%,20.01%,13.12%,22.18%
36,Profit Margin,24.52%,23.86%,27.45%,30.93%,15.38%,11.67%,-13.13%,5.79%
37,Free Cash Flow Margin,-,1.97%,9.53%,12.93%,11.10%,18.87%,9.58%,23.70%
38,EBITDA,18.4,18.36,16.17,25.14,10.86,14.98,8.74,14.13
39,D&A For EBITDA,0.36,1.59,0.81,1.14,0.74,1.21,0.98,1.41
40,EBIT,18.04,16.77,15.37,24,10.12,13.78,7.76,12.72
