,Fiscal Quarter,H1 2024,H2 2023,H1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023"
0,Cash & Equivalents,0.55,2.8,4.53
1,Cash & Short-Term Investments,0.55,2.8,4.53
2,Cash Growth,-87.85%,-,-
3,Other Receivables,-,-,24.1
4,Receivables,-,-,24.1
5,Total Current Assets,0.55,2.8,28.63
6,Other Long-Term Assets,1081,1056,1001
7,Total Assets,1082,1059,1030
8,Accrued Expenses,115.69,56.18,59.91
9,Other Current Liabilities,1004,1039,1003
10,Total Current Liabilities,1119,1095,1062
11,Total Liabilities,1119,1095,1062
12,Common Stock,0,0,0
13,Retained Earnings,-220.86,-171.98,-121.72
14,Comprehensive Income & Other,183.18,136.31,88.93
15,Shareholders' Equity,-37.68,-35.67,-32.78
16,Total Liabilities & Equity,1082,1059,1030
17,Net Cash (Debt),0.55,2.8,4.53
18,Net Cash Growth,-87.85%,-,-
19,Net Cash Per Share,0.00,0.11,0.18
20,Filing Date Shares Outstanding,125.1,125.1,125.1
21,Total Common Shares Outstanding,125.1,125.1,125.1
22,Working Capital,-1119,-1092,-1034
23,Book Value Per Share,-0.30,-0.29,-0.26
24,Tangible Book Value,-37.68,-35.67,-32.78
25,Tangible Book Value Per Share,-0.30,-0.29,-0.26
