,Fiscal Quarter,Current,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+18 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+18 Quarters
0,Market Capitalization,17,28,36,38,34,66,750,769,120,39,39,94,122,113,75,93,41,36,109,121,162,Upgrade
1,Market Cap Growth,-58.01%,-58.01%,-95.19%,-95.06%,-71.43%,70.83%,1827.97%,717.98%,-1.60%,-65.71%,-47.83%,0.87%,200.00%,211.11%,-31.85%,-22.82%,-75.00%,-83.93%,-55.00%,-59.18%,-62.26%,Upgrade
2,Enterprise Value,107,184,193,234,230,241,924,851,202,238,166,221,248,335,243,262,209,157,230,252,293,Upgrade
3,Last Close Price,0.15,0.25,0.38,0.40,0.36,0.70,7.90,8.10,1.26,0.96,0.87,2.11,2.73,2.55,1.68,2.09,0.91,0.82,2.46,2.71,3.64,Upgrade
4,PE Ratio,-,-,-,-,-,-2.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,1.17,2.09,2.45,2.36,1.24,1.60,15.11,12.53,1.87,0.46,0.33,0.58,0.49,0.45,0.32,0.43,0.22,0.14,0.31,0.27,0.31,Upgrade
6,PB Ratio,-0.24,-0.24,-0.31,-0.32,-0.29,-0.64,-7.51,-7.70,-1.01,-0.33,-0.35,-0.85,-,-1.61,-1.24,-1.55,-,-1.93,-66.49,-73.39,-,Upgrade
7,P/FCF Ratio,0.36,0.36,0.80,3.01,5.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,P/OCF Ratio,0.36,0.36,0.80,3.01,5.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
9,EV/Sales Ratio,8.00,13.84,13.07,14.53,8.33,5.78,18.62,13.86,3.15,2.83,1.40,1.36,1.00,1.33,1.04,1.22,1.15,0.61,0.66,0.56,0.55,Upgrade
10,EV/EBITDA Ratio,-,-,-,-52.11,-173.53,-23.72,-,-53.29,-,-,-,13.55,-,-,13.97,111.55,-3.89,-,-,-,-,Upgrade
11,EV/EBIT Ratio,-,-,-,-43.63,-77.92,-17.55,-,-39.47,-,-,-,48.30,-,-,-49.46,-9.89,-,-,-,-,-,Upgrade
12,EV/FCF Ratio,2.39,2.39,4.29,18.56,36.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Debt / Equity Ratio,-0.74,-0.74,-0.74,-1.30,-1.30,-1.90,-1.71,-1.71,-0.66,-0.66,-1.76,-1.76,-,-1.72,-3.65,-3.65,-,-8.78,-83.10,-83.10,-,Upgrade
14,Debt / EBITDA Ratio,-,-,-,136.94,136.94,15.29,-,13.12,-,-,-,2.82,-,-,4.25,2.91,-,-,-,-,-,Upgrade
15,Debt / FCF Ratio,1.10,1.10,1.89,12.13,24.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Asset Turnover,0.11,0.11,0.11,0.10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
17,Inventory Turnover,19.61,55.88,51.90,12.14,7.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Quick Ratio,0.16,0.16,0.16,0.17,0.17,0.18,-,0.17,-,0.06,-,0.17,-,0.09,-,0.28,-,0.12,-,0.20,-,Upgrade
19,Current Ratio,0.16,0.16,0.16,0.18,0.18,0.18,-,0.17,-,0.17,-,0.18,-,0.23,-,0.43,-,0.23,-,0.31,-,Upgrade
20,Return on Assets (ROA),-2.97%,-2.91%,0.13%,0.12%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
21,Return on Capital (ROIC),-,-136.41%,0.45%,0.24%,9.80%,-30.56%,40.22%,-,-86.04%,-17.45%,-,-,-19.03%,14.27%,-,-,-34.71%,-23.06%,-,-,Upgrade,
22,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-18.99%,-,-,-,-,-,Upgrade
23,Earnings Yield,-103.89%,-63.35%,-34.97%,-51.51%,-65.15%,-34.99%,-4.39%,-3.76%,-34.76%,-114.66%,-114.84%,-43.46%,-40.17%,-44.92%,-77.44%,-69.15%,-283.07%,-323.10%,-113.68%,-108.39%,-35.46%,Upgrade
24,FCF Yield,276.69%,276.69%,124.48%,33.18%,18.43%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
25,Buyback Yield / Dilution,-12.69%,-19.49%,-19.49%,-0.57%,-21.91%,-134.28%,-134.28%,-132.95%,-92.18%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
26,Total Shareholder Return,-12.69%,-19.49%,-19.49%,-0.57%,-21.91%,-134.28%,-134.28%,-132.95%,-92.18%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
