,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+10 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+10 Quarters
0,Revenue,43.1,43.1,21.41,28.88,54.85,38.27,46.69,23.93,77.13,37.26,17.81,48.44,57.2,30.81,45.74,44.53,37.93,45.29,50.71,63.77,Upgrade
1,Revenue Growth (YoY),-21.43%,12.63%,-54.15%,20.70%,-28.89%,2.71%,162.19%,-50.60%,34.85%,20.94%,-61.07%,8.79%,50.80%,-31.97%,-9.80%,-30.17%,-38.90%,3.63%,-27.47%,5.25%,Upgrade
2,Cost of Revenue,37.58,37.58,25.12,25.94,50.24,34.24,40.32,20.12,69.01,33.07,16.61,42.06,51.27,27.24,37.63,38.89,32.13,42.06,49.46,53.13,Upgrade
3,Gross Profit,5.52,5.52,-3.72,2.94,4.61,4.03,6.37,3.81,8.12,4.19,1.2,6.38,5.93,3.57,8.11,5.64,5.8,3.22,1.25,10.64,Upgrade
4,"Selling, General & Admin",4.93,4.93,15.61,3.76,8.54,5.23,13.77,9.46,8.81,7.76,6.61,7.09,5.71,5.81,9.77,6.51,7.17,6.88,7.37,6.32,Upgrade
5,Operating Expenses,4.93,4.93,15.61,3.76,8.54,5.23,13.77,9.46,8.81,7.76,6.61,7.09,5.71,5.81,9.77,6.51,7.17,6.88,7.37,6.32,Upgrade
6,Operating Income,0.59,0.59,-19.32,-0.82,-3.94,-1.2,-7.41,-5.65,-0.69,-3.57,-5.41,-0.7,0.22,-2.24,-1.66,-0.87,-1.38,-3.65,-6.12,4.32,Upgrade
7,Interest Expense,-0.06,-0.06,-0.88,-0.71,-0.16,-0.37,-0.56,-0.35,-0.57,-0.43,-0.51,-0.41,-0.36,-0.44,-0.53,-0.3,-0.49,-0.43,-0.47,-0.29,Upgrade
8,Interest & Investment Income,-,-,-,-,-,-,0.02,-,-,-,-,-,-,-,0,-,-,-,0,-,Upgrade
