,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+12 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+12 Quarters
0,Operating Revenue,93.84,93.84,84.06,86.72,85.21,78.25,78.72,106.31,106.99,113.97,127.49,119.68,117.3,115.29,133.13,120.29,119.02,86.98,100.32,108.05,Upgrade
1,Other Revenue,0.02,0.02,-1.19,-,0.03,-,0.02,-,-0.11,-,-0.01,-,-0.31,-,0.07,-,0.03,-,0.12,0.08,Upgrade
2,Revenue,93.86,93.86,82.87,86.72,85.24,78.25,78.73,106.31,106.89,113.97,127.48,119.68,116.99,115.29,133.19,120.29,119.05,86.98,100.44,108.14,Upgrade
3,Revenue Growth (YoY),10.11%,19.95%,5.26%,-18.43%,-20.25%,-31.34%,-38.24%,-11.17%,-8.64%,-1.15%,-4.29%,-0.51%,-1.73%,32.55%,32.61%,11.24%,6.99%,-7.92%,4.08%,18.43%,Upgrade
4,Cost of Revenue,0.92,0.92,1.04,1.12,0.96,0.89,1.06,1.39,1.82,1.85,1.88,2.8,6.13,14.96,14.73,15.25,2.87,1.9,2.54,2.59,Upgrade
5,Gross Profit,92.94,92.94,81.83,85.6,84.28,77.36,77.68,104.92,105.06,112.11,125.61,116.88,110.86,100.33,118.46,105.04,116.18,85.08,97.9,105.55,Upgrade
6,"Selling, General & Admin",83.57,83.57,77.41,76.26,74.17,73.25,70.52,95.39,94.64,108.35,107.75,105.5,98.51,95.59,117.09,87.12,105.78,82.68,91.01,99.39,Upgrade
7,Other Operating Expenses,4.71,4.71,4.95,3.67,3.31,2.82,3.66,3.59,4.33,3.49,4.7,3.27,4.62,3.36,4.26,4.37,4.85,2.78,3.44,4.61,Upgrade
8,Operating Expenses,88.66,88.66,83.22,80.12,77.72,76.32,74.46,99.35,99.33,112.11,112.46,109.26,103.61,99.45,123.32,91.63,110.81,86.05,95.34,104.56,Upgrade
9,Operating Income,4.29,4.29,-1.39,5.48,6.56,1.05,3.21,5.57,5.73,0.01,13.14,7.62,7.25,0.88,-4.86,13.4,5.36,-0.97,2.57,0.99,Upgrade
10,Interest Expense,-0.03,-0.03,-0.29,-,-0.16,-,-0.1,-,-0.04,-0.03,-0.19,-0,-0.02,-,-0.48,-0.31,-0.06,-,-0.49,-,Upgrade
11,Interest & Investment Income,0.93,0.93,2.57,1.46,0.51,0.65,0.29,0.01,0.02,-,0.02,-,0.15,0.09,0.01,-,0.08,0.55,0.7,0.2,Upgrade
12,Earnings From Equity Investments,-,-,-0.55,-0,0.04,-0.15,-0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Currency Exchange Gain (Loss),-0.09,-0.09,0.22,-,1.15,-,-2.45,-,-1.52,-,-1.08,-,-0.77,-,-,-,-,-,-,-,Upgrade
14,Other Non Operating Income (Expenses),0.06,0.06,-0.35,-0.53,-0.29,3.84,4.08,0.41,0.47,4.48,2.03,0.77,0.07,0.11,0.89,0.66,0.78,0.09,-0.05,0.02,Upgrade
15,EBT Excluding Unusual Items,5.17,5.17,0.21,6.4,7.81,5.39,4.91,5.99,4.67,4.46,13.92,8.4,6.68,1.09,-4.44,13.75,6.15,-0.33,2.73,1.2,Upgrade
16,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,0.36,-,-,-,0.02,-,-,-,0.24,-,-,-,0.15,-,Upgrade
17,Other Unusual Items,-,-,-,-,-,-,2.4,-,0.8,-,0.16,-,-,-,6.6,-,-,-,-,-,Upgrade
18,Pretax Income,5.17,5.17,0.21,6.4,7.81,5.39,7.67,5.99,5.47,4.46,14.1,8.4,6.68,1.09,2.4,13.75,6.15,-0.33,2.88,1.2,Upgrade
19,Income Tax Expense,0.59,0.59,-0.2,0.6,1.4,0.24,0.93,0.77,0.71,0.01,1.7,1.58,1.49,0.03,-0.61,2.1,1.11,-0.06,0.92,0.14,Upgrade
20,Net Income,4.57,4.57,0.41,5.81,6.41,5.14,6.74,5.22,4.76,4.46,12.4,6.82,5.19,1.06,3.01,11.66,5.04,-0.26,1.96,1.06,Upgrade
21,Net Income to Common,4.57,4.57,0.41,5.81,6.41,5.14,6.74,5.22,4.76,4.46,12.4,6.82,5.19,1.06,3.01,11.66,5.04,-0.26,1.96,1.06,Upgrade
