,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023,Q1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022"
0,Market Capitalization,6302,22271,21630,-,-,-
1,Enterprise Value,5897,21837,21196,-,-,-
2,Last Close Price,5.90,20.85,20.22,-,-,-
3,PE Ratio,70.37,191.19,334.33,-,-,-
4,Forward PE,-,80.85,36.67,-,-,-
5,PS Ratio,1.01,4.28,4.49,-,-,-
6,PB Ratio,1.69,5.96,5.74,-,-,-
7,P/TBV Ratio,5.96,5.96,5.74,-,-,-
8,P/FCF Ratio,-,22.78,19.46,-,-,-
9,P/OCF Ratio,108.49,18.15,15.82,-,-,-
10,EV/Sales Ratio,1.04,4.19,4.40,-,-,-
11,EV/EBITDA Ratio,18.43,64.72,66.65,-,-,-
12,EV/EBIT Ratio,27.46,85.11,84.47,-,-,-
13,EV/FCF Ratio,-431.39,22.33,19.07,-,-,-
14,Debt / Equity Ratio,0.16,0.16,0.16,-34.12,-34.12,8.87
15,Debt / EBITDA Ratio,1.91,1.49,1.49,20.84,7.92,6.52
16,Debt / FCF Ratio,-,0.62,0.55,4.28,4.83,4.71
17,Asset Turnover,1.21,-,-,-,-,
18,Inventory Turnover,-,3.88,-,-,-,-
19,Quick Ratio,1.70,1.70,1.70,-,1.52,-
20,Current Ratio,3.32,3.32,3.32,-,3.65,-
21,Return on Equity (ROE),7.24%,-,-,-,-,
22,Return on Assets (ROA),4.05%,-,-,-,-,
23,Return on Capital (ROIC),4.36%,-,1.60%,-,-,
24,Return on Capital Employed (ROCE),5.62%,6.71%,6.51%,-,5.29%,-
25,Earnings Yield,1.29%,0.49%,0.29%,-,-,-
26,FCF Yield,-0.22%,4.39%,5.14%,-,-,-
27,Buyback Yield / Dilution,-42.13%,-61.06%,-,-,-,-
28,Total Shareholder Return,-41.54%,-61.06%,-,-,-,-
