,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","May '20 May 31, 2020"
0,Cash & Equivalents,1453,1902,1501,1460,1742,2538,-,-
1,Trading Asset Securities,912.48,516.75,819.32,601.57,551.55,330.08,-,-
2,Cash & Short-Term Investments,2366,2418,2320,2062,2293,2868,-,-
3,Cash Growth,1.96%,17.31%,1.18%,-28.13%,-,-,-,-
4,Accounts Receivable,1377,1195,1122,1093,883.63,764.3,-,-
5,Other Receivables,99.56,129.59,155.31,182.58,99.91,124.19,-,-
6,Receivables,1476,1325,1277,1275,983.54,888.49,-,-
7,Inventory,6.5,6.85,11.72,15.58,10.62,4.2,-,-
8,Prepaid Expenses,4.78,4.53,3.82,4.02,1.93,2.1,-,-
9,Other Current Assets,27.98,26.07,24.36,69.15,67.99,70.25,-,-
10,Total Current Assets,3881,3781,3637,3425,3357,3833,-,-
11,"Property, Plant & Equipment",30.89,35.4,39.67,54.9,49.2,54.53,-,-
12,Long-Term Investments,67.39,84.38,77.96,289.07,266.37,3,-,-
13,Other Intangible Assets,137.36,138.23,133.04,186.8,192.83,173.94,-,-
14,Long-Term Deferred Tax Assets,143.86,160.85,152.47,146.03,144.09,144.09,-,-
15,Other Long-Term Assets,0.2,0.19,0.4,0.42,0.6,-,-,-
16,Total Assets,4261,4200,4041,4103,4010,4209,-,-
17,Accounts Payable,831.62,703.04,556.8,616.89,452.22,488.03,-,-
18,Accrued Expenses,194.41,197.56,157.19,194.97,155.63,189.51,-,-
19,Current Portion of Leases,15.8,12.41,17.62,23.22,19.12,16.65,-,-
20,Current Income Taxes Payable,0.38,3.67,-,-,-,-,-,-
21,Current Unearned Revenue,76.54,70.35,55.86,46.66,38.37,34.49,-,-
22,Other Current Liabilities,228.96,220.09,187.99,187.08,163.26,150.28,-,-
23,Total Current Liabilities,1348,1207,975.45,1069,828.6,878.97,-,-
24,Long-Term Leases,7.39,11.48,11.12,17.31,16.33,20.51,-,-
25,Total Liabilities,1355,1219,986.57,1086,844.92,899.47,-,-
26,Common Stock,933.46,933.46,933.46,933.46,933.46,933.46,-,-
27,Additional Paid-In Capital,4162,4162,4162,4162,4162,4162,-,-
28,Retained Earnings,-2791,-2854,-2873,-2904,-2761,-2617,-,-
29,Treasury Stock,-169.64,-39.28,-,-,-,-,-,-
30,Comprehensive Income & Other,772.07,778.89,832.67,825.06,831.06,831.06,-,-
31,Shareholders' Equity,2906,2981,3054,3017,3166,3309,-,-
32,Total Liabilities & Equity,4261,4200,4041,4103,4010,4209,-,-
33,Total Debt,23.19,23.89,28.75,40.54,35.44,37.16,-,-
34,Net Cash (Debt),2343,2395,2292,2021,2258,2831,-,-
35,Net Cash Growth,2.22%,18.48%,1.50%,-28.61%,-,-,-,-
36,Net Cash Per Share,2.56,2.58,2.46,-,2.42,3.83,-,-
37,Filing Date Shares Outstanding,914.55,929.1,933.46,933.46,933.46,933.46,663.88,343.9
38,Total Common Shares Outstanding,915.77,929.1,933.46,933.46,933.46,933.46,663.88,343.9
39,Working Capital,2534,2574,2662,2357,2529,2954,-,-
40,Book Value Per Share,3.17,3.21,3.27,3.23,3.39,3.55,-,-
41,Tangible Book Value,2769,2843,2921,2830,2973,3136,-,-
42,Tangible Book Value Per Share,3.02,3.06,3.13,3.03,3.18,3.36,-,-
43,Machinery,44.74,43.34,38.28,37.8,33.53,31.66,-,-
