,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,49589,42026,46200,49777,49510,63120,42062,43995,26448,13652,19507,18570,24509,36065,49077,56768,62196,-,-,-,-,Upgrade
1,Market Cap Growth,-15.57%,-33.42%,9.84%,13.14%,87.20%,362.34%,115.62%,136.92%,7.91%,-62.15%,-60.25%,-67.29%,-60.59%,-,-,-,-,-,-,-,-,Upgrade
2,Enterprise Value,45680,36793,39789,43593,43475,56246,34787,37794,20627,7627,13535,12808,17955,28763,41467,49237,59474,-,-,-,-,Upgrade
3,Last Close Price,40.35,37.15,36.83,39.59,38.92,50.46,31.58,34.25,19.97,9.41,-,-,-,-,-,-,-,-,-,-,-,Upgrade
4,PE Ratio,16.64,20.94,24.12,26.48,-,29.86,22.01,26.87,21.99,13.81,26.16,27.44,34.88,56.69,-31.44,-33.50,-35.55,-,-,-,-,Upgrade
5,PS Ratio,2.16,3.09,3.72,4.27,-,4.71,3.39,3.65,2.36,1.21,1.65,1.47,1.97,3.09,4.50,5.87,6.93,-,-,-,-,Upgrade
6,PB Ratio,3.97,3.97,4.42,5.05,-,-,-,-,3.00,1.65,2.37,2.21,2.97,4.57,6.13,7.38,8.27,-,-,-,-,Upgrade
7,P/TBV Ratio,4.00,4.00,4.45,5.08,-,-,-,-,3.02,1.66,2.39,2.23,3.00,4.62,6.20,7.47,8.37,-,-,-,-,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,27.17,175.34,-,-,-,356.86,-,-,-,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-,-,-,-,-,-,-,24.69,47.88,-,-,-,307.62,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,2.35,2.70,3.21,3.74,-,4.20,2.81,3.14,1.84,0.68,1.15,1.01,1.44,2.47,3.80,5.09,6.63,-,-,-,-,Upgrade
11,EV/EBITDA Ratio,11.00,13.97,15.25,17.02,-,18.65,13.64,17.46,13.13,5.71,12.10,11.82,16.50,40.46,87.39,187.27,395.18,-,-,-,-,Upgrade
12,EV/EBIT Ratio,11.95,14.35,16.46,18.34,-,21.23,15.06,19.82,14.77,6.46,14.05,13.67,18.97,42.71,95.32,224.23,550.35,-,-,-,-,Upgrade
13,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-,18.85,120.94,-,-,-,309.52,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.22,0.22,0.20,0.14,-,-,-,-,0.09,0.09,0.09,0.10,0.10,0.11,0.12,0.09,0.10,-0.30,-3.16,-2.50,-,Upgrade
15,Debt / EBITDA Ratio,0.56,0.60,0.66,0.43,-,-,-,-,0.31,0.36,0.57,0.69,0.46,0.83,1.06,0.71,2.05,6.20,15.97,3.48,-,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,1.07,7.67,-,-,-,4.53,-,-,35.46,-,-,Upgrade
17,Asset Turnover,1.14,1.05,-,-,-,-,-,0.84,0.97,0.84,0.85,1.02,0.99,0.94,0.86,1.14,1.43,1.05,-,-,Upgrade,
18,Inventory Turnover,-,4.65,4.68,-,-,-,-,-,4.23,5.58,5.14,5.09,5.15,4.98,5.13,4.68,4.84,4.45,3.26,-,-,Upgrade
19,Quick Ratio,1.53,1.53,1.76,1.80,-,-,-,-,1.82,1.93,1.68,1.79,1.59,1.99,2.11,2.30,2.19,1.13,0.98,0.97,-,Upgrade
20,Current Ratio,2.14,2.14,2.38,2.18,-,-,-,-,2.36,2.30,2.13,2.11,2.05,2.43,2.64,2.69,2.60,1.54,1.51,1.45,-,Upgrade
21,Return on Equity (ROE),26.89%,25.14%,-,-,-,-,-,18.80%,22.25%,12.07%,5.48%,11.10%,9.37%,6.77%,7.17%,3.73%,-,-,-,-,Upgrade,
22,Return on Assets (ROA),13.38%,11.68%,-,-,-,-,-,9.43%,9.97%,4.28%,3.26%,6.47%,4.90%,2.99%,3.77%,2.08%,0.58%,-2.16%,-,-,Upgrade,
23,Return on Capital (ROIC),18.27%,16.20%,-,-,-,-,-,13.37%,14.41%,6.27%,4.81%,9.56%,7.10%,4.31%,5.54%,5.95%,-,-19.83%,-,-,Upgrade,
24,Return on Capital Employed (ROCE),30.51%,20.49%,19.87%,21.80%,-,-,-,-,14.91%,13.43%,10.98%,10.47%,10.68%,7.88%,5.01%,2.68%,1.34%,13.92%,-,46.17%,-,Upgrade
25,Earnings Yield,6.01%,4.78%,4.15%,3.78%,-,3.35%,4.54%,3.73%,4.55%,7.26%,3.83%,3.65%,2.87%,1.37%,-3.47%,-3.30%,-3.10%,-,-,-,-,Upgrade
26,FCF Yield,-,-,-,-,-,-,-,-,-,3.68%,0.57%,-,-,-0.10%,0.28%,-,-,-,-,-,Upgrade,
27,Dividend Yield,2.67%,-,5.82%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Buyback Yield / Dilution,-0.12%,1.28%,0.32%,1.50%,-,-0.23%,-4.09%,-4.24%,-2.21%,1.55%,1.50%,0.96%,-18.64%,-34.08%,-158.84%,-28.20%,-1.84%,0.75%,45.40%,-,-,Upgrade
29,Total Shareholder Return,2.55%,1.28%,6.13%,1.50%,-,-0.23%,-4.09%,-4.24%,-2.21%,1.55%,1.50%,0.96%,-18.64%,-34.08%,-158.84%,-28.20%,-1.84%,0.75%,45.40%,-,-,Upgrade
