,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,5146,4192,1722,1382,437.5,331.82,18908,-,2442,515.56,2247,-,-,-,-
1,Short-Term Investments,138000,138000,160000,160000,-,-,-,-,-,-,1,-,-,-,-
2,Cash & Short-Term Investments,143146,142192,161722,161382,437.5,331.82,18908,2442,2442,515.56,2248,-,-,-,-
3,Cash Growth,32619.41%,42752.82%,755.29%,6507.85%,-82.09%,-35.64%,741.16%,-,-,-,-,-,-,-,-
4,Accounts Receivable,15703,6284,6329,6311,6277,6306,6346,-,20170,30191,28361,-,-,-,-
5,Other Receivables,251688,233193,279770,308056,383211,377136,367894,-,441144,427921,424163,-,-,-,-
6,Receivables,267391,239477,286099,314368,389488,383442,374240,-,461314,458112,452523,-,-,-,-
7,Inventory,2833,6441,6456,6469,6476,9580,82.49,-,9714,12057,12947,-,-,-,-
8,Prepaid Expenses,106.56,8.9,100.86,128.93,157.97,187.1,68.63,-,2.23,162.44,3.16,-,-,-,-
9,Other Current Assets,158310,160375,113071,112598,272641,272914,272160,-,276429,277174,275543,-,-,-,-
10,Total Current Assets,571786,548494,567448,594945,669200,666455,665459,-,749901,748021,743265,-,-,-,-
11,"Property, Plant & Equipment",26125,17679,222848,18642,19124,19606,20090,-,21058,21543,22027,-,-,-,-
12,Long-Term Investments,76000,76000,55002,56000,-,-,-,-,-,-,-,-,-,-,-
13,Goodwill,47264,49373,52256,53590,55699,57808,59916,-,64134,66687,68796,-,-,-,-
14,Other Intangible Assets,286.99,312.26,337.54,362.81,388.09,413.36,438.63,-,489.18,514.91,540.18,-,-,-,-
15,Other Long-Term Assets,214460,214689,9266,185953,173967,182132,182234,-,244023,243860,243952,-,-,-,-
16,Total Assets,935922,906547,907158,909493,918378,926414,928138,-,1079605,1080626,1078580,-,-,-,-
17,Accounts Payable,10120,8331,8329,8479,8341,11550,1241,-,14517,9744,8224,-,-,-,-
18,Accrued Expenses,14106,2444,2353,2352,2365,2382,2411,-,2579,2558,2475,-,-,-,-
19,Short-Term Debt,99164,71025,71025,71025,76053,76053,84051,-,194042,192050,194050,-,-,-,-
20,Current Income Taxes Payable,4.75,1.89,-,1.84,1.84,2.27,18.08,-,6966,7471,7299,-,-,-,-
21,Current Unearned Revenue,125.35,152.23,146.27,161.05,145.33,136.5,145.62,-,8.55,125.12,125.12,-,-,-,-
22,Other Current Liabilities,4000,1147,138.22,165.57,485.92,460.23,411.75,-,1360,963.89,903.97,-,-,-,-
23,Total Current Liabilities,127520,83100,81991,82184,87392,90584,88278,-,219473,212912,213078,-,-,-,-
24,Long-Term Debt,1271,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Long-Term Unearned Revenue,3774,3789,3835,3842,3897,3928,3958,-,4142,4070,4081,-,-,-,-
26,Other Long-Term Liabilities,35024,46914,46914,46914,46914,46914,46914,-,46914,47415,47415,-,-,-,-
27,Total Liabilities,167589,133803,132740,132940,138203,141426,139150,-,270529,264397,264574,-,-,-,-
28,Common Stock,689877,689877,689877,689877,689877,689877,689877,-,689877,689877,666562,-,-,-,-
29,Additional Paid-In Capital,65712,65712,65712,65712,65712,65712,65712,-,65712,65712,65712,-,-,-,-
30,Retained Earnings,-24213,-19358,-17684,-15583,-11857,-7120,-3178,-,4671,11125,32078,-,-,-,-
31,Comprehensive Income & Other,-,-,-,-,-,-,36577,-,-,49516,49655,-,-,-,-
32,Total Common Equity,731375,736231,737905,740006,743732,748469,788988,760260,760260,816229,814006,-,-,-,-
33,Minority Interest,36958,36513,36513,36547,36443,36520,-,-,48816,-,-,-,-,-,-
34,Shareholders' Equity,768333,772743,774418,776553,780175,784988,788988,809076,809076,816229,814006,-,-,-,-
35,Total Liabilities & Equity,935922,906547,907158,909493,918378,926414,928138,-,1079605,1080626,1078580,-,-,-,-
36,Total Debt,100435,71025,71025,71025,76053,76053,84051,194042,194042,192050,194050,-,-,-,-
37,Net Cash (Debt),42711,71168,90697,90357,-75616,-75721,-65143,-191600,-191600,-191535,-191802,-,-,-,-
38,Net Cash Per Share,1521.71,1827.47,1470.19,1309.76,-,-,-944.27,-,-,-2776.36,-2780.18,-,-,-,-
39,Filing Date Shares Outstanding,28.07,68.99,61.69,68.99,-,-,68.99,-,68.99,68.99,68.99,-,-,-,-
40,Total Common Shares Outstanding,28.07,68.99,61.69,68.99,-,-,68.99,-,68.99,68.99,68.99,-,-,-,-
41,Working Capital,444266,465394,485457,512761,581808,575871,577181,-,530428,535110,530187,-,-,-,-
42,Book Value Per Share,26057.44,10671.92,11961.36,10726.64,-,-,11436.65,11020.23,11020.23,11831.53,11799.05,-,-,-,-
43,Tangible Book Value,683824,686546,685312,686053,687645,690248,728633,695637,695637,749027,744670,-,-,-,-
44,Tangible Book Value Per Share,24363.30,9951.72,11108.83,9944.58,-,-,10561.78,10083.49,10083.49,10857.41,10794.02,-,-,-,-
45,Construction In Progress,-,-,204687,-,-,-,-,-,-,-,-,-,-,-,-
