,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Revenue,113439,133120,88832,75751,123557,133439,99166,75500,112202,143737,78975,57718,95480,73345,61098,69317,120627,143347,56519,59281,Upgrade
1,Revenue Growth (YoY),-8.19%,-0.24%,-10.42%,0.33%,10.12%,-7.16%,25.57%,30.81%,17.51%,95.98%,29.26%,-16.73%,-20.85%,-48.83%,8.10%,16.93%,36.43%,-4.61%,-19.27%,-15.57%,Upgrade
2,Cost of Revenue,70333,94959,55772,51879,77674,96009,69363,52310,47199,116551,55007,37371,48381,56620,44046,37487,66506,106199,42055,29883,Upgrade
3,Gross Profit,43106,38160,33060,23871,45883,37430,29803,23191,65002,27186,23968,20347,47099,16724,17052,31830,54121,37148,14464,29398,Upgrade
4,"Selling, General & Admin",37461,33240,29550,21902,39979,32511,25950,20953,55852,24127,23067,18499,40234,15429,15968,29543,47340,32739,13922,27815,Upgrade
5,Operating Expenses,37461,33240,29550,21902,39979,32511,25950,20953,55852,24127,23067,18499,40234,15429,15968,29543,47340,32739,13922,27815,Upgrade
6,Operating Income,5644,4920,3510,1969,5904,4919,3853,2238,9150,3059,900.44,1848,6865,1295,1084,2287,6782,4410,541.78,1583,Upgrade
7,Interest & Investment Income,684.6,197.46,593.05,478.63,354.8,376.97,333.86,216.3,3.05,49.4,325.07,185.66,228.95,139.71,688.17,290.81,395.37,160.25,548.14,326.41,Upgrade
8,Other Non Operating Income (Expenses),-240.26,-18.08,-2.89,-26.61,-125.11,-9.53,-147.32,-78.41,-235.76,61.92,259.99,-7.73,123.94,55.58,126.74,170.91,103.62,333.4,492.66,614.63,Upgrade
9,Pretax Income,6089,5100,4100,2421,6133,5287,4040,2375,8918,3170,1485,2026,7218,1491,1899,2749,7281,4903,1583,2524,Upgrade
10,Income Tax Expense,1215,1033,724.65,588.74,1238,1090,843.03,627.68,2179,683.18,223.96,533.34,1633,208.75,450.27,792.88,1672,1089,421.44,706.6,Upgrade
11,Net Income,4874,4067,3375,1832,4895,4196,3197,1748,6739,2487,1262,1492,5585,1282,1449,1956,5609,3815,1161,1817,Upgrade
12,Net Income to Common,4874,4067,3375,1832,4895,4196,3197,1748,6739,2487,1262,1492,5585,1282,1449,1956,5609,3815,1161,1817,Upgrade
13,Net Income Growth,-0.44%,-3.09%,5.58%,4.83%,-27.37%,68.73%,153.41%,17.12%,20.66%,94.01%,-12.93%,-23.70%,-0.42%,-66.40%,24.78%,7.64%,63.00%,-8.04%,-25.81%,-12.22%,Upgrade
14,Shares Outstanding (Basic),4,4,4,4,4,4,4,4,4,4,3,5,4,5,4,4,4,4,4,4,Upgrade
15,Shares Outstanding (Diluted),4,4,4,4,4,4,4,4,4,4,3,5,4,5,4,4,4,4,4,4,Upgrade
