,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,26112,26112,11436,27042,7556,21620,4476,-,7935,9227,20372,12360,8077,-,-,19450,-,13803,8677,21312,Upgrade
1,Short-Term Investments,2073,2073,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,28185,28185,11436,27042,7556,21620,4476,-,7935,9227,20372,12360,8077,-,-,19450,13803,13803,8677,21312,Upgrade
3,Cash Growth,273.00%,30.37%,155.48%,-,-4.77%,134.31%,-78.03%,-,-1.75%,-,-,-36.45%,-41.49%,-,-,-8.73%,-22.44%,-61.40%,-64.64%,67.02%,Upgrade
4,Accounts Receivable,42889,42889,32089,39722,48225,32096,19841,-,26382,25917,24559,17741,45117,-,-,67243,-,54919,28860,28513,Upgrade
5,Other Receivables,58210,58210,65960,66871,56023,53593,92478,-,52073,60837,39380,36584,35572,-,-,50638,-,78747,68323,66353,Upgrade
6,Receivables,101100,101100,98048,106592,104248,85688,112319,-,78455,86754,63939,54325,80689,-,-,117881,-,133666,97183,94865,Upgrade
7,Inventory,22652,22652,10177,8946,12383,9736,6625,-,9948,7642,9635,11158,13810,-,-,11746,-,20787,19672,14329,Upgrade
8,Prepaid Expenses,42.21,42.21,410.96,515.61,450.76,169.89,411.12,-,168.48,168.48,291.96,370.94,48,-,-,-,-,182.82,555.26,-,Upgrade
