,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Cash & Equivalents,962.44,1885,79.63,2.63,6.91,4.06,14.58,38221,145.88,1445,1428,3347,3211,-,2360,2892,2750,2275,-,1599,Upgrade
1,Cash & Short-Term Investments,962.44,1885,79.63,2.63,6.91,4.06,14.58,38221,145.88,1445,1428,3347,3211,-,2360,2892,2750,2275,-,1599,Upgrade
2,Cash Growth,13833.99%,46261.83%,446.02%,-99.99%,-95.27%,-99.72%,-98.98%,1041.98%,-95.46%,-,-39.49%,15.74%,16.77%,-,-,80.85%,142.76%,118.87%,-,-,Upgrade
3,Accounts Receivable,1774,972.53,1588,662.05,1941,1618,1298,959.49,1518,1079,389.3,353.09,1467,-,915.18,1134,2645,2187,-,2296,Upgrade
4,Other Receivables,11,11,11,11,11,0.05,-,1.29,2009,2009,2012,3409,9164,-,8690,3981,1341,6541,-,23926,Upgrade
5,Receivables,1785,983.53,1599,673.05,1952,1618,1298,960.77,3527,3088,2401,3763,10632,-,9605,5115,3986,8728,-,26221,Upgrade
6,Inventory,10.88,15.98,13.25,140.01,68.21,13.5,15.46,33.45,26.82,28.59,12.15,38.03,10.57,-,30.31,49.54,49.9,65.73,-,33.39,Upgrade
7,Prepaid Expenses,-,1.36,4.13,7.57,13.21,8.13,12.73,-,-,-,-,-,1.11,-,45.42,67.64,58.56,69.38,-,445.48,Upgrade
8,Other Current Assets,12473,12021,11510,11048,10646,10115,9602,9220,8817,8428,8073,8376,7976,-,7470,9940,10655,7027,-,3182,Upgrade
9,Total Current Assets,15232,14907,13206,11871,12686,11758,10942,48434,12516,12990,11915,15523,21830,-,19511,18064,17499,18165,-,31481,Upgrade
10,"Property, Plant & Equipment",98.75,104.34,109.93,-,-,-,-,-,2.48,4.96,7.44,9.92,12.4,-,17.36,19.84,22.32,24.8,-,51.84,Upgrade
11,Long-Term Investments,33000,33000,37710,37710,37710,37710,37710,-,5700,5700,5700,5700,5700,-,5700,5700,5700,5700,-,13700,Upgrade
12,Other Long-Term Assets,44.6,49.29,53.99,-,0.03,0.94,1.85,11.42,30004,30005,30006,30007,30155,-,30149,30149,30147,30154,-,146.91,Upgrade
13,Total Assets,48375,48060,51080,49581,50396,49469,48654,48446,48223,48700,47628,51240,57698,-,55377,53933,53368,54044,-,51280,Upgrade
14,Accounts Payable,3888,3745,4528,3898,4977,4667,4648,4078,3806,4392,3553,5624,9862,-,10280,8234,8040,7989,-,8280,Upgrade
15,Accrued Expenses,668.79,586.79,2905,2167,1898,1352,634.96,566.17,595.93,580.97,528.91,521.36,704.88,-,565.26,561.53,515.22,472.42,-,273.31,Upgrade
16,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,1405,1798,-,175,370,-,-,-,-,Upgrade
17,Current Income Taxes Payable,165.46,147.53,131.12,59.94,67.54,47.62,39.46,546.36,598.84,584.91,548.84,706.17,3159,-,2511,2402,2448,2667,-,499.51,Upgrade
18,Other Current Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,863.52,-,12.48,612.85,-,12.96,-,26.04,Upgrade
19,Total Current Liabilities,4722,4479,7564,6125,6942,6066,5322,5190,5001,5558,4630,8257,16387,-,13543,12181,11003,11142,-,9079,Upgrade
20,Total Liabilities,4722,4479,7564,6125,6942,6066,5322,5190,5001,5558,4630,8257,16387,-,13543,12181,11003,11142,-,9079,Upgrade
21,Common Stock,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,-,35000,35000,35000,35000,-,35000,Upgrade
22,Retained Earnings,8653,8581,8516,8456,8454,8403,8332,8255,8222,8142,7998,7984,6310,-,6834,6752,7365,7902,-,7201,Upgrade
23,Shareholders' Equity,43653,43581,43516,43456,43454,43403,43332,43255,43222,43142,42998,42984,41310,-,41834,41752,42365,42902,-,42201,Upgrade
24,Total Liabilities & Equity,48375,48060,51080,49581,50396,49469,48654,48446,48223,48700,47628,51240,57698,-,55377,53933,53368,54044,-,51280,Upgrade
25,Total Debt,-,-,-,-,-,-,-,-,-,-,-,1405,1798,-,175,370,-,-,-,-,Upgrade
26,Net Cash (Debt),962.44,1885,79.63,2.63,6.91,4.06,14.58,38221,145.88,1445,1428,1942,1413,-,2185,2522,2750,2275,-,1599,Upgrade
27,Net Cash Growth,13833.99%,46261.83%,446.02%,-99.99%,-95.27%,-99.72%,-98.98%,1868.25%,-89.67%,-,-34.64%,-23.00%,-48.62%,-,-,57.71%,142.76%,118.87%,-,-,Upgrade
28,Net Cash Per Share,281.63,546.36,22.90,1.14,2.02,1.16,4.21,10686.16,42.10,-,-,555.08,395.54,-,613.08,922.96,787.14,650.73,-,449.48,Upgrade
29,Filing Date Shares Outstanding,3.42,3.45,3.48,2.31,3.42,3.5,3.46,3.58,3.47,-,-,3.5,3.57,-,3.56,2.73,3.49,3.5,3.54,3.56,Upgrade
30,Total Common Shares Outstanding,3.42,3.45,3.48,2.31,3.42,3.5,3.46,3.58,3.47,-,-,3.5,3.57,-,3.56,2.73,3.49,3.5,3.54,3.56,Upgrade
31,Working Capital,10510,10427,5642,5746,5744,5692,5620,43244,7515,7432,7284,7267,5443,-,5968,5883,6496,7023,-,22402,Upgrade
32,Book Value Per Share,12773.65,12634.41,12511.20,18831.61,12714.06,12414.34,12516.51,12093.89,12473.69,-,-,12286.83,11566.28,-,11736.57,15281.08,12128.09,12272.90,-,11862.69,Upgrade
33,Tangible Book Value,43653,43581,43516,43456,43454,43403,43332,43255,43222,43142,42998,42984,41310,-,41834,41752,42365,42902,-,42201,Upgrade
34,Tangible Book Value Per Share,12773.65,12634.41,12511.20,18831.61,12714.06,12414.34,12516.51,12093.89,12473.69,-,-,12286.83,11566.28,-,11736.57,15281.08,12128.09,12272.90,-,11862.69,Upgrade
