,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Mar '25 Mar 3, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Market Capitalization,56700,52500,69650,42350,29050,69300,37800,47250,41650,45150,54250,59500,80850,106050,117600,117600,119000,129150,92400,93450,114800,Upgrade
1,Market Cap Growth,26.05%,-24.24%,84.26%,-10.37%,-30.25%,53.49%,-30.32%,-20.59%,-48.48%,-57.43%,-53.87%,-49.40%,-32.06%,-17.89%,27.27%,25.84%,3.66%,12.50%,22.22%,0.75%,-4.37%,Upgrade
2,Enterprise Value,55738,50615,69570,42347,29046,69296,37785,9029,41504,43705,52822,57558,79437,103865,115415,115078,116250,126875,90801,91851,113667,Upgrade
3,Last Close Price,16200.00,15000.00,19900.00,12100.00,8300.00,19800.00,10800.00,13500.00,11900.00,12900.00,15500.00,17000.00,23100.00,30300.00,33600.00,33600.00,34000.00,36900.00,26400.00,26700.00,32800.00,Upgrade
4,PE Ratio,284.21,264.16,390.76,231.89,145.50,301.90,146.53,142.17,155.54,55.31,81.12,88.84,109.24,-,-256.26,-235.52,-217.98,-,-535.35,-378.52,664.14,Upgrade
5,PS Ratio,1.12,1.04,1.39,0.85,0.59,1.45,0.81,1.06,0.96,1.07,1.31,1.49,2.06,2.76,3.12,3.04,3.25,3.50,2.42,2.56,2.99,Upgrade
6,PB Ratio,1.27,1.20,1.60,0.97,0.67,1.59,0.87,1.09,0.96,1.04,1.26,1.38,1.88,2.57,-,2.81,2.85,3.05,2.15,-,2.72,Upgrade
7,P/TBV Ratio,1.20,1.20,1.60,0.97,0.67,1.59,0.87,1.09,0.96,1.04,1.26,1.38,1.88,2.57,-,2.81,2.85,3.05,2.15,-,2.72,Upgrade
8,P/FCF Ratio,-,-,-,682.09,-,-,-,-,1.43,-,-6.34,-,-,-,-,-412.80,-,-,-,-,23.01,Upgrade
