,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023"
0,Revenue,629557,434219,572865,392552
1,Cost of Revenue,578542,384634,521525,339568
2,Gross Profit,51016,49585,51340,52984
3,"Selling, General & Admin",20777,17764,21966,18995
4,Operating Expenses,20777,17764,21966,18995
5,Operating Income,30239,31820,29373,33989
6,Interest Expense,-13172,-10286,-7398,-7718
7,Interest & Investment Income,327.91,668.16,-,1163
8,Currency Exchange Gain (Loss),-598.48,-,304.57,-
9,Other Non Operating Income (Expenses),157.24,-1440,-1402,-492.14
10,Pretax Income,16953,20762,20877,26942
11,Income Tax Expense,3984,4658,4737,4989
12,Earnings From Continuing Operations,12968,16105,16140,21952
13,Minority Interest in Earnings,-135.42,83.86,-1107,-183.4
14,Net Income,12833,16189,15033,21769
15,Net Income to Common,12833,16189,15033,21769
16,Shares Outstanding (Basic),25,30,31,22
17,Shares Outstanding (Diluted),25,30,31,22
18,EPS (Basic),503.33,535.51,481.05,1007.68
19,EPS (Diluted),503.33,535.51,481.05,1007.68
20,Free Cash Flow,-135496,-,35267,-
21,Free Cash Flow Per Share,-5314.30,-,1128.54,-
22,Gross Margin,8.10%,11.42%,8.96%,13.50%
23,Operating Margin,4.80%,7.33%,5.13%,8.66%
24,Profit Margin,2.04%,3.73%,2.62%,5.55%
25,Free Cash Flow Margin,-21.52%,-,6.16%,-
26,EBITDA,35732,35774,33333,-
27,EBITDA Margin,5.68%,8.24%,5.82%,-
28,D&A For EBITDA,5494,3953,3960,-
29,EBIT,30239,31820,29373,33989
30,EBIT Margin,4.80%,7.33%,5.13%,8.66%
31,Effective Tax Rate,23.50%,22.43%,22.69%,18.52%
32,Revenue as Reported,629557,434219,572865,392552
