,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023"
0,Last Close Price,8500.00,10200.00,9360.00,8320.00,9520.00
1,Debt / Equity Ratio,1.60,1.60,1.43,0.96,-
2,Debt / EBITDA Ratio,7.08,6.02,5.25,3.44,-
3,Debt / FCF Ratio,-,-,-,13.01,-
4,Asset Turnover,1.59,-,-,-,
5,Inventory Turnover,3.55,4.84,-,-,-
6,Quick Ratio,0.69,0.69,0.54,0.46,-
7,Current Ratio,1.31,1.31,1.34,1.50,-
8,Return on Equity (ROE),9.76%,-,-,-,
9,Return on Assets (ROA),4.77%,-,-,-,
10,Return on Capital (ROIC),5.65%,-,-,-,
11,Return on Capital Employed (ROCE),15.02%,18.06%,14.61%,13.04%,-
