,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023
,Period Ending,"Mar '25 Mar 3, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023"
0,Last Close Price,12800.00,13806.71,14366.44,14651.89,16732.63
1,Asset Turnover,1.25,-,-,-,
2,Inventory Turnover,7.68,2.00,-,-,-
3,Quick Ratio,1.02,1.04,1.32,1.60,-
4,Current Ratio,2.31,2.31,2.40,2.21,-
5,Return on Equity (ROE),6.91%,-,-,-,
6,Return on Assets (ROA),-3.25%,-,-,-,
7,Return on Capital (ROIC),-5.33%,-,-,-,
8,Return on Capital Employed (ROCE),7.19%,-,10.65%,-,-
