,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,2880786,2671405,3126266,2888006,2418705,1833884,1877204,1696703,1379023,1487323,1364583,1299603,2649745,2895226,2324845,2173224,1617283,1321263,880842,700341,570381,Upgrade
1,Market Cap Growth,45.67%,45.67%,66.54%,70.21%,75.39%,23.30%,37.57%,30.56%,-47.96%,-48.63%,-41.30%,-40.20%,63.84%,119.13%,163.93%,210.31%,183.54%,83.00%,11.93%,-13.39%,-38.28%,Upgrade
2,Last Close Price,39900.00,37000.00,42479.15,39241.71,32864.93,24918.48,24548.20,22187.79,18033.48,19449.72,17042.64,16231.09,33093.39,36159.26,28335.96,26487.96,19711.97,16103.98,9883.92,7858.53,6400.25,Upgrade
3,PE Ratio,17.24,15.59,16.43,15.10,10.84,9.37,7.76,6.97,7.67,7.40,9.98,9.89,12.97,13.18,11.65,10.87,8.70,13.30,8.34,6.53,-,Upgrade
4,PS Ratio,3.46,3.13,3.54,3.18,2.91,2.46,2.71,2.69,2.22,2.07,1.61,1.43,2.57,2.82,2.54,2.65,2.46,2.48,1.82,1.40,1.19,Upgrade
5,PB Ratio,1.18,1.09,1.26,1.19,1.01,0.79,0.80,0.74,0.62,0.68,0.62,0.60,1.21,1.35,1.11,1.06,0.83,0.70,0.47,0.38,0.32,Upgrade
6,P/FCF Ratio,4.98,-,26.19,17.63,-,-,-39.58,-,-,0.81,1.04,-3.08,-,-,-,-6.46,-,-,-,3.82,2.27,Upgrade
7,P/OCF Ratio,4.57,-,24.89,16.70,-,-,-48.67,-,-,0.81,1.03,-3.11,-,-,-,-6.60,-,-,-,3.75,2.23,Upgrade
8,Debt / Equity Ratio,1.19,1.19,0.76,1.48,1.71,1.45,0.73,1.00,0.78,0.45,0.53,0.72,1.35,1.22,1.11,0.96,0.62,0.53,0.27,0.18,0.23,Upgrade
9,Debt / FCF Ratio,5.03,-,15.76,22.02,-,-,-35.95,-,-,0.54,0.88,-3.73,-,-,-,-5.85,-,-,-,1.85,1.63,Upgrade
10,Asset Turnover,0.16,0.12,0.17,0.12,0.18,0.16,0.18,0.11,0.18,0.12,0.15,0.14,0.23,0.16,0.30,0.23,0.28,0.17,0.27,0.13,Upgrade,
11,Quick Ratio,1.14,1.14,1.74,1.43,1.11,0.95,1.66,1.35,1.49,1.77,1.67,1.46,1.22,1.27,1.30,1.46,1.89,1.99,4.25,6.05,41.75,Upgrade
12,Current Ratio,1.32,1.32,2.00,1.53,1.47,1.09,1.66,1.75,2.07,2.15,1.99,1.89,1.56,1.57,1.57,1.66,2.05,2.09,4.32,6.09,42.19,Upgrade
13,Return on Equity (ROE),5.46%,5.80%,7.85%,9.31%,9.03%,6.30%,14.07%,4.96%,8.15%,6.96%,2.88%,8.91%,18.44%,6.33%,17.76%,13.36%,10.11%,7.12%,16.50%,-5.09%,Upgrade,
14,Return on Assets (ROA),2.62%,2.60%,2.90%,3.44%,3.94%,3.01%,6.96%,2.75%,4.34%,3.40%,1.20%,3.31%,7.10%,2.61%,8.48%,7.27%,6.45%,5.60%,13.25%,-3.93%,Upgrade,
15,Earnings Yield,5.95%,6.41%,6.09%,6.62%,9.23%,10.67%,10.00%,11.16%,9.12%,9.88%,14.66%,14.98%,10.10%,9.77%,10.00%,10.72%,13.53%,10.02%,13.88%,17.70%,14.63%,Upgrade
16,FCF Yield,20.06%,21.63%,3.82%,5.67%,-68.35%,-88.25%,-2.53%,-33.39%,128.57%,122.97%,96.60%,-32.45%,-65.44%,-56.57%,-64.44%,-15.49%,-36.51%,-23.37%,-2.06%,26.17%,43.99%,Upgrade
17,Dividend Yield,2.51%,-,-,-,-,-,-,-,-,5.14%,-,-,-,2.21%,-,-,-,4.97%,-,-,-,Upgrade
18,Payout Ratio,33.06%,168.55%,-,-,0.01%,134.93%,-,0.02%,-,126.97%,-,-,-,58.05%,-,0.00%,-,150.84%,-,-,-,Upgrade
19,Buyback Yield / Dilution,22.41%,12.67%,-30.24%,44.02%,-17.74%,-2.32%,-10.04%,-331.35%,-18.52%,17.11%,2.15%,77.99%,43.62%,-20.07%,35.08%,-16.96%,-49.66%,-22.33%,-21.57%,-62.25%,18.40%,Upgrade
20,Total Shareholder Return,24.92%,12.67%,-30.24%,44.02%,-17.74%,-2.32%,-10.04%,-331.35%,-18.52%,22.26%,2.15%,77.99%,43.62%,-17.86%,35.08%,-16.96%,-49.66%,-17.36%,-21.57%,-62.25%,18.40%,Upgrade
