,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters
0,Cash & Equivalents,38860,51417,35216,-,28449,-,22730,-,31644,36852,60509,-,-,47545,109497,55906,6944,9792,15184,13620,Upgrade
1,Short-Term Investments,213351,174663,74074,-,104363,-,96475,-,207008,153753,117256,-,-,3000,3000,3000,3000,3000,-,-,Upgrade
2,Cash & Short-Term Investments,252211,226080,109290,132812,132812,-,119205,-,238653,190605,177765,-,-,50545,112497,58906,9944,12792,15184,13620,Upgrade
3,Cash Growth,89.90%,-,-8.32%,-,-44.35%,-,-32.94%,-,-,277.10%,58.02%,-,-,295.13%,640.87%,332.50%,305.82%,536.43%,864.13%,1062.45%,Upgrade
4,Accounts Receivable,51435,39078,142316,-,135976,-,87941,-,111003,118671,135377,-,-,120310,75050,93127,45532,67951,43856,70750,Upgrade
5,Other Receivables,87942,166112,229456,-,416211,-,298493,-,316628,309825,230250,-,-,796,718.61,763.08,33056,43429,75933,52174,Upgrade
6,Receivables,197377,205191,371771,-,552187,-,386434,-,427631,428496,365628,-,-,121106,75768,93891,78588,111380,119789,122924,Upgrade
7,Inventory,562408,588458,622983,-,473106,-,570045,-,498650,472803,447512,-,-,137834,141295,152862,157293,161618,153969,152939,Upgrade
8,Prepaid Expenses,358.94,537,649.77,-,295.12,-,533.44,-,351.82,613.95,728.19,-,-,227.42,73.99,96.91,152.67,333.44,219.45,730.62,Upgrade
9,Other Current Assets,20300,24149,62236,-,54355,-,120229,-,93088,61163,72614,-,-,85385,70925,46380,29693,28990,12508,11172,Upgrade
10,Total Current Assets,1032655,1044414,1166931,-,1212755,-,1196447,-,1258374,1153681,1064247,-,-,395098,400560,352136,275671,315113,301670,301387,Upgrade
11,"Property, Plant & Equipment",35302,36092,33674,-,34981,-,39213,-,44313,46902,48066,-,-,39094,38776,35692,36012,36670,38481,39927,Upgrade
12,Long-Term Investments,95405,75186,38351,-,71469,-,49894,-,54710,54547,54288,-,-,94178,66834,67000,-,-,-,-,Upgrade
13,Goodwill,3066,3170,3273,-,3480,-,3686,-,3893,3996,4100,-,-,-,-,-,-,-,-,-,Upgrade
14,Other Intangible Assets,408.33,443.33,478.33,-,548.33,-,618.33,-,688.33,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Long-Term Deferred Tax Assets,234.73,171.4,108.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Other Long-Term Assets,21114,21494,21873,-,3623,-,4030,-,4672,4202,4023,-,-,3194,3544,3592,4296,4104,4369,4379,Upgrade
17,Total Assets,1188185,1180970,1264689,-,1326855,-,1293887,-,1366650,1263328,1174724,-,-,531564,509714,458420,315979,355887,344519,345692,Upgrade
18,Accounts Payable,45268,63670,63704,-,118688,-,81191,-,59495,83160,60214,-,-,29066,36572,42408,36689,48731,60118,69237,Upgrade
19,Accrued Expenses,2703,1287,1299,-,1776,-,1970,-,5366,1505,457.94,-,-,-,-,218.38,-,953.29,359.39,92.7,Upgrade
20,Short-Term Debt,267860,239777,302291,-,333161,-,367808,-,481748,354675,318386,-,-,130162,107749,94972,108994,114711,113053,99025,Upgrade
21,Current Income Taxes Payable,9174,8014,8249,-,8382,-,6888,-,8194,6816,5381,-,-,3445,2947,3858,2430,1895,1914,1716,Upgrade
22,Current Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,109.09,27.27,109.09,57.27,-,-,-,Upgrade
23,Other Current Liabilities,12859,27690,50881,-,18004,-,48067,-,16693,30151,24176,-,-,13807,2039,414.17,10378,28525,12375,14375,Upgrade
24,Total Current Liabilities,337863,340439,426424,-,480011,-,505923,-,571496,476308,408615,-,-,176589,149334,141980,158547,194815,187820,184446,Upgrade
25,Long-Term Debt,470,536,-,-,17841,-,26341,-,34456,39263,26400,-,-,3473,1411,1826,2430,-,-,4996,Upgrade
26,Long-Term Deferred Tax Liabilities,-,-,97.63,-,266.5,-,497.58,-,386.73,534.52,759.32,-,-,-,-,-,-,-,-,-,Upgrade
27,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3236,-,-,Upgrade
28,Total Liabilities,338333,340975,426522,-,498119,-,532761,-,606339,516106,435775,-,-,180062,150745,143806,160978,198051,187820,189443,Upgrade
29,Common Stock,618000,618000,618000,-,618000,-,618000,-,600000,600000,600000,-,-,300000,300000,300000,150000,150000,150000,150000,Upgrade
30,Retained Earnings,54156,47207,46132,-,38176,-,30716,-,47558,35244,28381,-,-,11002,18469,14514,5001,7836,6700,6250,Upgrade
31,Total Common Equity,672156,665207,664131,656176,656176,-,648716,-,647558,635244,628381,-,-,311002,318469,314514,155001,157836,156700,156250,Upgrade
32,Minority Interest,177696,174789,174036,-,172561,-,112411,-,112752,111978,110568,-,-,40500,40500,100,-,-,-,-,Upgrade
33,Shareholders' Equity,849851,839996,838167,828737,828737,-,761127,-,760311,747222,738949,-,-,351502,358969,314614,155001,157836,156700,156250,Upgrade
34,Total Liabilities & Equity,1188185,1180970,1264689,-,1326855,-,1293887,-,1366650,1263328,1174724,-,-,531564,509714,458420,315979,355887,344519,345692,Upgrade
35,Total Debt,268330,240313,302291,351002,351002,-,394148,-,516204,393938,344786,-,-,133635,109160,96798,111424,114711,113053,104021,Upgrade
36,Net Cash (Debt),-16119,-14233,-193001,-218189,-218189,-,-274943,-,-277551,-203333,-167022,-,-,-83089,3337,-37892,-101481,-101918,-97868,-90401,Upgrade
37,Net Cash Per Share,-260.83,-230.30,-3132.39,-3541.20,-3530.58,-,-4448.92,-,-,-3290.18,-2702.62,-,-,-2688.98,108.00,-1226.27,-6568.33,-6596.66,-,-,Upgrade
38,Filing Date Shares Outstanding,61.8,61.8,61.8,61.61,61.8,-,61.8,-,61.8,61.8,61.8,-,-,30.9,30.9,30.9,15.45,15.45,-,-,Upgrade
39,Total Common Shares Outstanding,61.8,61.8,61.8,61.61,61.8,-,61.8,-,61.8,61.8,61.8,-,-,30.9,30.9,30.9,15.45,15.45,-,-,Upgrade
40,Working Capital,694791,703976,740507,-,732744,-,690524,-,686877,677372,655632,-,-,218509,251226,210156,117124,120298,113850,116940,Upgrade
41,Book Value Per Share,10876.31,10763.87,10746.47,10617.73,10617.73,-,10497.03,-,10478.29,10279.04,10167.98,-,-,10064.79,10306.42,10178.46,10032.45,10215.93,-,-,Upgrade
42,Tangible Book Value,668681,661594,660380,652148,652148,-,644411,-,642977,631248,624282,-,-,311002,318469,314514,155001,157836,156700,156250,Upgrade
43,Tangible Book Value Per Share,10820.09,10705.41,10685.77,10552.56,10552.56,-,10427.37,-,10404.16,10214.37,10101.64,-,-,10064.79,10306.42,10178.46,10032.45,10215.93,-,-,Upgrade
44,Construction In Progress,1232,2499,482.16,-,482.16,-,382.82,-,364.82,339.21,312.43,-,-,-,4390,-,749.14,-,-,522.76,Upgrade
