,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,22143,13254,14731,15711,13399,20757,8260,9809,-,11624,5591,13397,-,5013,5861,13574,10069,13708,11957,13681,Upgrade
1,Short-Term Investments,7502,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,924.69,-,-,-,Upgrade
2,Cash & Short-Term Investments,29645,13254,14731,15711,13399,20757,8260,9809,-,11624,5591,13397,-,5013,5861,13574,10994,13708,11957,13681,Upgrade
3,Cash Growth,121.24%,-36.15%,78.35%,60.17%,-,78.58%,47.72%,-26.78%,-,131.89%,-4.61%,-1.30%,-,-63.43%,-50.98%,-0.79%,10.23%,-,-,68.71%,Upgrade
4,Accounts Receivable,46313,63760,44705,64064,52083,68957,62861,72378,-,69668,71045,56529,-,74573,50642,56224,44207,35611,39056,34187,Upgrade
5,Other Receivables,8607,7470,7666,7676,7524,7287,7335,7341,-,8743,7464,7344,-,8091,11038,1657,10877,3265,9652,1951,Upgrade
6,Receivables,54920,71230,52371,71740,59607,76245,70196,79718,-,78411,78510,63873,-,82664,61680,57881,55084,38876,48708,36138,Upgrade
7,Inventory,145325,143009,174386,223849,274032,237691,251072,286511,-,333057,284274,245315,-,192055,197348,248937,240374,163515,172051,182294,Upgrade
8,Prepaid Expenses,2443,3025,2929,1817,1912,2676,3090,2373,-,2137,2650,1544,-,3254,4183,727.06,635.1,730.35,1004,733.06,Upgrade
9,Other Current Assets,9929,6498,4148,3643,4152,14649,12825,11728,-,10887,16534,8524,-,14302,21054,10195,13224,9755,8905,4956,Upgrade
10,Total Current Assets,242263,237016,248566,316761,353102,352017,345443,390139,-,436116,387558,332653,-,297288,290127,331314,320312,226585,242624,237803,Upgrade
11,"Property, Plant & Equipment",28049,28655,30177,31410,32889,34171,35580,37400,-,40287,41000,43447,-,46566,48299,48005,45282,44741,36270,37815,Upgrade
12,Other Intangible Assets,12811,12823,12834,12859,12954,13050,13145,13240,-,13096,13217,13338,-,13701,13822,13943,14063,14184,13338,13400,Upgrade
13,Other Long-Term Assets,3791,3798,3942,3726,3904,3925,4067,4280,-,5126,5626,5953,-,6574,4744,4146,4072,3972,4149,4378,Upgrade
14,Total Assets,286913,282292,295519,364756,402850,403163,398235,445059,-,494625,447401,395392,-,364129,356992,397409,383729,289483,296381,293395,Upgrade
15,Accounts Payable,34943,25808,22919,22026,27603,50859,39155,50978,-,111270,78558,33508,-,75872,75534,111856,120121,20238,37155,49944,Upgrade
16,Accrued Expenses,21799,24665,17894,16263,25128,23184,21746,18868,-,25656,26465,23793,-,17635,14014,21957,16639,27258,15185,21025,Upgrade
17,Short-Term Debt,76152,74956,106416,168892,186135,162769,178008,212453,-,193628,188357,165114,-,116637,118779,119093,89975,92986,98464,91953,Upgrade
18,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,759.6,-,-,-,-,Upgrade
19,Current Income Taxes Payable,638.06,10537,4184,2054,2689,10842,6382,3936,-,7545,5621,4590,-,9900,6489,3717,12085,3087,6645,664.91,Upgrade
20,Current Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,939.2,-,1150,-,1531,Upgrade
21,Other Current Liabilities,3040,3350,3414,4580,4573,3866,5504,6507,-,5744,4932,9072,-,14263,5584,4187,10134,14138,11195,6320,Upgrade
22,Total Current Liabilities,136572,139316,154827,213815,246128,251519,250795,292743,-,343844,303934,236078,-,234307,220400,262510,248952,158856,168645,171438,Upgrade
