,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 6, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,252000,270000,215000,225000,249500,340000,335000,215000,187000,243500,267500,329000,248000,167500,175000,135000,125000,153000,120000,119000,109500,Upgrade
1,Market Cap Growth,-20.59%,-20.59%,-35.82%,4.65%,33.42%,39.63%,25.23%,-34.65%,-24.60%,45.37%,52.86%,143.70%,98.40%,9.48%,45.83%,13.45%,14.16%,2.00%,-42.31%,-43.33%,-3.10%,Upgrade
2,Enterprise Value,298637,331862,306875,378401,422485,482292,505059,417985,369405,425905,450696,481176,362518,282018,292469,242419,206070,232278,206508,197272,188545,Upgrade
3,Last Close Price,50400.00,54000.00,43000.00,45000.00,48642.02,66285.71,65310.92,41915.97,35090.00,45692.06,50195.59,61735.88,44850.37,30292.08,30039.20,23173.10,21456.57,26262.84,19823.94,19658.74,18089.34,Upgrade
4,PE Ratio,163.64,208.50,-214.73,-,-,27.91,37.22,18.06,-,15.20,8.09,10.33,8.33,6.39,16.20,-,6.90,8.42,5.11,7.55,8.70,Upgrade
5,PS Ratio,0.37,0.40,0.31,0.32,0.35,0.46,0.43,0.27,0.23,0.30,0.31,0.38,0.30,0.20,0.23,0.19,0.17,0.22,0.18,0.19,0.19,Upgrade
6,PB Ratio,1.73,1.86,1.56,1.66,1.71,2.24,2.28,1.51,1.27,-,1.83,2.37,1.61,-,1.43,1.06,0.96,1.19,0.95,0.96,0.93,Upgrade
7,P/TBV Ratio,2.04,2.04,1.72,1.83,1.87,2.45,2.51,1.66,1.39,-,2.02,2.63,1.76,-,1.61,1.18,1.08,1.34,1.07,1.08,1.05,Upgrade
8,P/FCF Ratio,1.91,2.04,2.51,2.70,4.38,-,3.74,3.44,60.46,-,-7.47,-,-,-,-5.77,-,-,63.51,-3.25,-,-,Upgrade
9,P/OCF Ratio,2.02,2.02,2.48,2.66,4.30,-,3.70,3.37,37.76,-,-8.81,-,-,-,-8.03,-,-,9.85,-4.63,-,-,Upgrade
10,EV/Sales Ratio,0.44,0.49,0.44,0.55,0.59,0.65,0.64,0.52,0.45,0.53,0.53,0.56,0.44,0.34,0.38,0.33,0.28,0.33,0.31,0.32,0.33,Upgrade
11,EV/EBITDA Ratio,19.99,22.22,25.06,21.85,-,15.82,17.46,13.02,12.28,11.24,7.57,8.67,7.30,6.63,13.01,9.12,6.22,6.56,5.55,7.37,8.53,Upgrade
12,EV/EBIT Ratio,34.01,37.79,53.47,-,-,21.09,23.84,17.19,17.20,14.53,8.84,10.25,8.61,7.94,18.78,-,7.69,8.08,6.73,9.84,12.33,Upgrade
13,EV/FCF Ratio,2.26,2.51,3.58,4.54,7.42,-,5.65,6.69,119.44,-,-12.58,-,-,-,-9.65,-,-,96.42,-5.59,-,-,Upgrade
14,Debt / Equity Ratio,0.52,0.52,0.54,0.79,1.16,1.23,1.11,1.25,1.44,-,1.33,1.36,1.07,-,0.97,0.97,0.93,0.72,0.73,0.80,0.78,Upgrade
15,Debt / EBITDA Ratio,5.11,1.94,3.67,33.47,-,6.50,4.00,5.24,11.50,-,3.63,7.28,3.33,-,3.22,43.78,5.73,3.19,1.74,3.39,3.04,Upgrade
16,Debt / FCF Ratio,0.58,0.58,0.88,1.28,2.97,-,1.82,2.85,68.80,-,-5.41,-,-,-,-3.94,-,-,38.22,-2.52,-,-,Upgrade
17,Asset Turnover,2.17,2.74,2.00,-,1.66,1.96,1.80,-,-,1.83,1.98,-,-,2.39,1.78,2.03,2.23,2.38,2.37,2.30,Upgrade,
18,Inventory Turnover,2.60,3.17,4.03,2.70,-,2.06,2.55,2.28,-,-,2.25,2.68,-,-,3.65,2.49,2.69,3.07,3.18,3.18,2.98,Upgrade
19,Quick Ratio,0.62,0.62,0.61,0.43,0.41,0.30,0.39,0.31,0.31,-,0.26,0.28,0.33,-,0.37,0.31,0.27,0.27,0.33,0.36,0.29,Upgrade
20,Current Ratio,1.77,1.77,1.70,1.61,1.48,1.43,1.40,1.38,1.33,-,1.27,1.28,1.41,-,1.27,1.32,1.26,1.29,1.43,1.44,1.39,Upgrade
21,Return on Equity (ROE),20.77%,5.94%,-6.55%,-,13.57%,12.15%,8.58%,-,-,20.53%,0.65%,-,-,19.46%,-5.76%,9.45%,11.02%,26.43%,10.78%,10.70%,Upgrade,
22,Return on Assets (ROA),7.35%,3.13%,-0.56%,-,3.30%,5.16%,3.91%,-,-,6.05%,2.23%,-,-,5.12%,-0.73%,2.51%,3.99%,10.11%,4.83%,4.91%,Upgrade,
23,Return on Capital (ROIC),9.62%,3.97%,-0.66%,-,4.11%,6.56%,4.84%,-,-,8.54%,2.90%,-,-,7.49%,-1.10%,4.16%,6.10%,13.41%,6.52%,7.09%,Upgrade,
24,Return on Capital Employed (ROCE),5.84%,5.84%,4.01%,-,-,14.59%,13.97%,16.49%,14.10%,-,33.81%,32.74%,26.43%,-,12.00%,-,19.87%,21.33%,23.47%,15.70%,12.54%,Upgrade
25,Earnings Yield,0.61%,0.48%,-0.47%,0.60%,2.71%,3.58%,2.69%,5.54%,4.83%,6.58%,12.36%,9.68%,12.00%,15.64%,6.17%,9.62%,14.49%,11.88%,19.56%,13.24%,11.49%,Upgrade
26,FCF Yield,52.48%,48.98%,39.83%,37.06%,22.82%,17.06%,26.71%,29.06%,1.65%,-,-13.40%,-10.24%,-10.09%,-28.28%,-17.32%,-19.33%,-19.44%,1.57%,-30.80%,-43.42%,-,Upgrade
27,Dividend Yield,2.38%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.39%,-,-,-,5.53%,Upgrade
28,Payout Ratio,388.98%,-,-,-,-,-,0.50%,240.25%,-,-,-,5277.56%,-,47.37%,-,-,0.68%,141.64%,-,-,-,Upgrade
29,Buyback Yield / Dilution,-0.04%,0.06%,-0.08%,-0.15%,0.67%,-0.11%,0.02%,0.10%,-0.65%,0.08%,0.06%,-0.08%,0.00%,-0.01%,-0.10%,0.05%,0.02%,-0.02%,0.29%,-0.31%,-,Upgrade
30,Total Shareholder Return,2.35%,0.06%,-0.08%,-0.15%,0.67%,-0.11%,0.02%,0.10%,-0.65%,0.08%,0.06%,-0.08%,0.00%,-0.01%,-0.10%,0.05%,8.41%,-0.02%,0.29%,-0.31%,5.53%,Upgrade
